Time (days),ComCat Data
0.0,0.0
0.56971335,497.0
1.1394267,628.0
1.7091401,1055.0
2.2788534,1289.0
2.8485668,1445.0
3.4182801,1518.0
3.9879935,1594.0
4.557707,1654.0
5.12742,1710.0
5.6971335,1754.0
6.2668467,1797.0
6.8365602,1828.0
7.4062734,1866.0
7.975987,1913.0
8.5457,1941.0
9.115414,1972.0
9.685127,1990.0
10.25484,2009.0
10.8245535,2027.0
11.394267,2043.0
11.963981,2062.0
12.533693,2087.0
13.103407,2098.0
13.6731205,2114.0
14.242834,2131.0
14.812547,2148.0
15.38226,2160.0
15.951974,2173.0
16.521687,2185.0
17.0914,2193.0
17.661114,2200.0
18.230827,2209.0
18.80054,2221.0
19.370255,2228.0
19.939968,2237.0
20.50968,2247.0
21.079393,2254.0
21.649107,2263.0
22.21882,2271.0
22.788534,2276.0
23.358248,2282.0
23.927961,2284.0
24.497675,2288.0
25.067387,2293.0
25.6371,2300.0
26.206814,2307.0
26.776527,2309.0
27.346241,2316.0
27.915955,2321.0
28.485668,2327.0
29.055382,2334.0
29.625093,2340.0
30.194807,2344.0
30.76452,2350.0
31.334234,2357.0
31.903948,2362.0
32.47366,2367.0
33.043373,2369.0
33.613087,2375.0
34.1828,2377.0
34.752514,2383.0
35.322227,2386.0
35.89194,2389.0
36.461655,2392.0
37.03137,2398.0
37.60108,2399.0
38.170795,2403.0
38.74051,2404.0
39.310223,2411.0
39.879936,2413.0
40.449646,2417.0
41.01936,2421.0
41.589073,2423.0
42.158787,2428.0
42.7285,2430.0
43.298214,2433.0
43.867928,2433.0
44.43764,2433.0
45.007355,2435.0
45.57707,2440.0
46.146782,2441.0
46.716496,2443.0
47.28621,2444.0
47.855923,2449.0
48.425636,2452.0
48.99535,2454.0
49.56506,2457.0
50.134773,2460.0
50.704487,2464.0
51.2742,2470.0
51.843914,2474.0
52.413628,2476.0
52.98334,2480.0
53.553055,2484.0
54.12277,2486.0
54.692482,2486.0
55.262196,2487.0
55.83191,2489.0
56.401623,2490.0
56.971336,2492.0
57.54105,2498.0
58.110764,2499.0
58.680473,2500.0
59.250187,2504.0
59.8199,2509.0
60.389614,2511.0
60.959328,2515.0
61.52904,2516.0
62.098755,2518.0
62.66847,2521.0
63.238182,2521.0
63.807896,2523.0
64.37761,2524.0
64.94732,2525.0
65.51704,2528.0
66.08675,2530.0
66.65646,2532.0
67.22617,2533.0
67.79589,2536.0
68.3656,2538.0
68.93532,2538.0
69.50503,2540.0
70.074745,2542.0
70.644455,2543.0
71.21417,2544.0
71.78388,2544.0
72.35359,2545.0
72.92331,2547.0
73.49302,2549.0
74.06274,2553.0
74.63245,2554.0
75.20216,2556.0
75.77187,2556.0
76.34159,2556.0
76.9113,2557.0
77.48102,2559.0
78.05073,2564.0
78.620445,2565.0
79.190155,2566.0
79.75987,2567.0
80.32958,2568.0
80.89929,2569.0
81.46901,2572.0
82.03872,2573.0
82.60844,2574.0
83.17815,2575.0
83.74786,2577.0
84.31757,2577.0
84.88729,2578.0
85.457,2583.0
86.02672,2585.0
86.59643,2585.0
87.166145,2587.0
87.735855,2589.0
88.30557,2591.0
88.87528,2596.0
89.44499,2596.0
90.01471,2596.0
90.58442,2597.0
91.15414,2598.0
91.72385,2599.0
92.293564,2600.0
92.86327,2603.0
93.43299,2605.0
94.0027,2606.0
94.57242,2607.0
95.14213,2608.0
95.711845,2609.0
96.281555,2612.0
96.85127,2614.0
97.42098,2617.0
97.9907,2617.0
98.56041,2618.0
99.13012,2618.0
99.69984,2619.0
100.26955,2620.0
100.839264,2622.0
101.40897,2626.0
101.97869,2627.0
102.5484,2629.0
103.11812,2630.0
103.68783,2631.0
104.257545,2634.0
104.827255,2636.0
105.39697,2636.0
105.96668,2637.0
106.5364,2637.0
107.10611,2641.0
107.67582,2643.0
108.24554,2646.0
108.81525,2647.0
109.384964,2647.0
109.95467,2648.0
110.52439,2650.0
111.0941,2651.0
111.66382,2652.0
112.23353,2652.0
112.803246,2654.0
113.372955,2654.0
113.94267,2655.0
114.51238,2655.0
115.0821,2656.0
115.65181,2656.0
116.22153,2659.0
116.79124,2661.0
117.36095,2661.0
117.930664,2661.0
118.500374,2661.0
119.07009,2663.0
119.6398,2664.0
120.20952,2665.0
120.77923,2667.0
121.348946,2669.0
121.918655,2674.0
122.48837,2679.0
123.05808,2679.0
123.6278,2681.0
124.19751,2682.0
124.76723,2686.0
125.33694,2686.0
125.90665,2689.0
126.476364,2690.0
127.046074,2692.0
127.61579,2694.0
128.1855,2694.0
128.75522,2694.0
129.32494,2697.0
129.89464,2699.0
130.46436,2700.0
131.03407,2700.0
131.60379,2701.0
132.1735,2703.0
132.74321,2705.0
133.31293,2705.0
133.88264,2707.0
134.45235,2708.0
135.02206,2709.0
135.59178,2709.0
136.16148,2709.0
136.7312,2712.0
137.30092,2712.0
137.87064,2714.0
138.44034,2715.0
139.01006,2717.0
139.57977,2719.0
140.14949,2721.0
140.7192,2721.0
141.28891,2722.0
141.85863,2723.0
142.42834,2724.0
142.99805,2724.0
143.56776,2727.0
144.13748,2729.0
144.70718,2730.0
145.2769,2732.0
145.84662,2732.0
146.41634,2732.0
146.98604,2732.0
147.55576,2735.0
148.12547,2735.0
148.69519,2737.0
149.2649,2737.0
149.83461,2738.0
150.40433,2738.0
150.97404,2740.0
151.54375,2740.0
152.11346,2740.0
152.68318,2740.0
153.25288,2741.0
153.8226,2748.0
154.39232,2750.0
154.96204,2750.0
155.53174,2752.0
156.10146,2752.0
156.67117,2754.0
157.24089,2754.0
157.8106,2756.0
158.38031,2756.0
158.95003,2758.0
159.51974,2760.0
160.08945,2760.0
160.65916,2760.0
161.22888,2763.0
161.79858,2763.0
162.3683,2764.0
162.93802,2764.0
163.50774,2764.0
164.07744,2764.0
164.64716,2765.0
165.21687,2767.0
165.78659,2768.0
166.3563,2771.0
166.92601,2773.0
167.49573,2773.0
168.06544,2774.0
168.63515,2775.0
169.20486,2779.0
169.77458,2783.0
170.34428,2784.0
170.914,2784.0
171.48372,2784.0
172.05344,2784.0
172.62314,2784.0
173.19286,2785.0
173.76257,2785.0
174.33229,2786.0
174.902,2787.0
175.47171,2789.0
176.04143,2790.0
176.61115,2790.0
177.18085,2791.0
177.75056,2791.0
178.32028,2792.0
178.88998,2792.0
179.4597,2793.0
180.02942,2793.0
180.59914,2793.0
181.16884,2793.0
181.73856,2793.0
182.30827,2797.0
182.87799,2798.0
183.4477,2800.0
184.01741,2802.0
184.58713,2802.0
185.15685,2802.0
185.72655,2804.0
186.29626,2804.0
186.86598,2805.0
187.4357,2805.0
188.0054,2807.0
188.57512,2807.0
189.14484,2807.0
189.71454,2807.0
190.28426,2807.0
190.85397,2807.0
191.42369,2808.0
191.9934,2809.0
192.56311,2809.0
193.13283,2810.0
193.70255,2812.0
194.27225,2812.0
194.84196,2813.0
195.41168,2813.0
195.9814,2815.0
196.5511,2816.0
197.12082,2819.0
197.69054,2819.0
198.26024,2819.0
198.82996,2820.0
199.39967,2821.0
199.96939,2821.0
200.5391,2823.0
201.10881,2824.0
201.67853,2826.0
202.24825,2826.0
202.81795,2829.0
203.38766,2829.0
203.95738,2830.0
204.5271,2830.0
205.0968,2830.0
205.66652,2831.0
206.23624,2831.0
206.80594,2831.0
207.37566,2831.0
207.94537,2832.0
208.51509,2832.0
209.0848,2832.0
209.65451,2832.0
210.22423,2833.0
210.79395,2833.0
211.36365,2833.0
211.93336,2834.0
212.50308,2835.0
213.0728,2837.0
213.6425,2837.0
214.21222,2837.0
214.78194,2837.0
215.35164,2838.0
215.92136,2838.0
216.49107,2838.0
217.06079,2839.0
217.6305,2840.0
218.20021,2840.0
218.76993,2840.0
219.33965,2840.0
219.90935,2844.0
220.47906,2844.0
221.04878,2844.0
221.6185,2844.0
222.1882,2844.0
222.75792,2844.0
223.32764,2844.0
223.89734,2845.0
224.46706,2845.0
225.03677,2846.0
225.60649,2847.0
226.1762,2847.0
226.74591,2848.0
227.31563,2849.0
227.88535,2850.0
228.45505,2850.0
229.02477,2850.0
229.59448,2850.0
230.1642,2851.0
230.7339,2852.0
231.30362,2853.0
231.87334,2854.0
232.44305,2855.0
233.01276,2857.0
233.58247,2858.0
234.15219,2858.0
234.7219,2858.0
235.29161,2858.0
235.86133,2858.0
236.43105,2859.0
237.00075,2859.0
237.57047,2859.0
238.14018,2859.0
238.7099,2860.0
239.2796,2860.0
239.84932,2861.0
240.41904,2862.0
240.98875,2865.0
241.55846,2865.0
242.12817,2866.0
242.69789,2866.0
243.2676,2866.0
243.83731,2868.0
244.40703,2868.0
244.97675,2868.0
245.54645,2868.0
246.11617,2868.0
246.68588,2870.0
247.2556,2871.0
247.8253,2871.0
248.39502,2873.0
248.96474,2873.0
249.53445,2873.0
250.10416,2874.0
250.67387,2876.0
251.24359,2876.0
251.8133,2876.0
252.38301,2876.0
252.95273,2876.0
253.52245,2876.0
254.09215,2876.0
254.66187,2876.0
255.23158,2876.0
255.8013,2876.0
