Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,1076.4628,623.0,3038.0,817.0,719.0,1.0,0.0715,475.32358
2.6,855.03406,492.0,2410.0,649.0,582.0,1.0,0.0715,377.5568
2.7,679.1663,387.0,1914.0,516.0,473.0,1.0,0.0715,299.8714
2.8,539.4169,304.0,1523.0,411.0,367.0,1.0,0.0715,238.12148
2.9,428.43903,239.0,1215.0,326.0,285.0,1.0,0.0715,189.13397
3.0,340.34998,187.0,963.0,260.0,229.0,1.0,0.0715,150.25182
3.1,270.34232,146.0,766.0,207.0,179.0,1.0,0.0715,119.33738
3.2,214.7476,114.0,609.0,164.0,144.0,1.0,0.0715,94.79819
3.3,170.56367,88.0,485.0,131.0,116.0,1.0,0.0715,75.31489
3.4,135.4381,68.0,384.0,104.0,95.0,1.0,0.0715,59.79615
3.5,107.56612,53.0,306.0,83.0,72.0,1.0,0.0715,47.49006
3.6,85.46088,40.0,242.0,66.0,62.0,1.0,0.0715,37.71738
3.7,67.87639,31.0,193.0,53.0,47.0,1.0,0.0715,29.96441
3.8,53.86532,23.0,154.0,42.0,38.0,1.0,0.0715,23.78141
3.9,42.76157,17.0,122.0,33.0,29.0,1.0,0.0715,18.86521
4.0,33.94488,13.0,98.0,26.0,23.0,1.0,0.0715,14.979
4.1,26.93142,9.0,78.0,21.0,18.0,1.0,0.0715,11.88608
4.2,21.37673,7.0,63.0,17.0,14.0,1.0,0.0715,9.43727
4.3,16.96367,5.0,50.0,13.0,11.0,0.99991,0.0715,7.49271
4.4,13.45412,3.0,40.0,10.0,8.0,0.99957,0.0715,5.94259
4.5,10.6746,2.0,33.0,8.0,7.0,0.99788,0.0715,4.71706
4.6,8.45851,1.0,26.0,6.0,5.0,0.99293,0.0715,3.73486
4.7,6.6969,1.0,22.0,5.0,4.0,0.98163,0.0715,2.95717
4.8,5.29436,0.0,18.0,4.0,3.0,0.96018,0.0715,2.34103
4.9,4.18512,0.0,14.0,3.0,2.0,0.92502,0.0715,1.84858
5.0,3.30185,0.0,12.0,2.0,1.0,0.87515,0.0715,1.4571
5.1,2.60381,0.0,10.0,2.0,1.0,0.81256,0.0715,1.14866
5.2,2.05094,0.0,8.0,1.0,1.0,0.7384,0.0715,0.90374
5.3,1.61152,0.0,7.0,1.0,0.0,0.6594,0.0715,0.71108
5.4,1.26104,0.0,6.0,1.0,0.0,0.57762,0.0715,0.55623
5.5,0.98259,0.0,5.0,0.0,0.0,0.49515,0.0715,0.43223
5.6,0.76294,0.0,4.0,0.0,0.0,0.41878,0.0715,0.33588
5.7,0.58822,0.0,3.0,0.0,0.0,0.3488,0.0715,0.25972
5.8,0.44831,0.0,3.0,0.0,0.0,0.28396,0.07149,0.1979
5.9,0.33801,0.0,2.0,0.0,0.0,0.22706,0.07147,0.14852
6.0,0.26033,0.0,2.0,0.0,0.0,0.18233,0.07141,0.11331
6.1,0.19101,0.0,2.0,0.0,0.0,0.14083,0.0609,0.08466
6.2,0.12704,0.0,1.0,0.0,0.0,0.09961,0.04806,0.05659
6.3,0.09337,0.0,1.0,0.0,0.0,0.07557,0.03943,0.04203
6.4,0.07102,0.0,1.0,0.0,0.0,0.05773,0.03381,0.03118
6.5,0.05448,0.0,1.0,0.0,0.0,0.04487,0.02891,0.02402
6.6,0.04415,0.0,1.0,0.0,0.0,0.03824,0.02671,0.02041
6.7,0.03544,0.0,1.0,0.0,0.0,0.03082,0.02284,0.01645
6.8,0.0284,0.0,1.0,0.0,0.0,0.0254,0.01991,0.01348
6.9,0.02165,0.0,0.0,0.0,0.0,0.02006,0.01641,0.01056
7.0,0.01653,0.0,0.0,0.0,0.0,0.01571,0.01334,0.00794
7.1,0.01385,0.0,0.0,0.0,0.0,0.01332,0.01189,0.00658
7.2,0.01042,0.0,0.0,0.0,0.0,0.01004,0.00919,0.00487
7.3,0.00742,0.0,0.0,0.0,0.0,0.00715,0.00671,0.00346
7.4,0.00635,0.0,0.0,0.0,0.0,0.00616,0.00597,0.00302
7.5,0.00491,0.0,0.0,0.0,0.0,0.00482,0.00476,0.00232
7.6,0.00258,0.0,0.0,0.0,0.0,0.00256,0.00254,0.00126
7.7,9.2E-4,0.0,0.0,0.0,0.0,9.1E-4,9.1E-4,3.8E-4
7.8,5.5E-4,0.0,0.0,0.0,0.0,5.5E-4,5.5E-4,2.7E-4
7.9,3.2E-4,0.0,0.0,0.0,0.0,3.2E-4,3.2E-4,1.6E-4
8.0,1.1E-4,0.0,0.0,0.0,0.0,1.1E-4,1.1E-4,7.0E-5
8.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
