Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.88218,0.0,3.0,0.0,0.0,0.49338,8.0E-5,0.67359
2.6,0.70002,0.0,3.0,0.0,0.0,0.41965,8.0E-5,0.53487
2.7,0.55653,0.0,3.0,0.0,0.0,0.35292,8.0E-5,0.42484
2.8,0.44251,0.0,2.0,0.0,0.0,0.29371,8.0E-5,0.33752
2.9,0.35112,0.0,2.0,0.0,0.0,0.24158,8.0E-5,0.26738
3.0,0.27974,0.0,2.0,0.0,0.0,0.19902,8.0E-5,0.21327
3.1,0.22256,0.0,2.0,0.0,0.0,0.16301,8.0E-5,0.16946
3.2,0.17735,0.0,1.0,0.0,0.0,0.13319,8.0E-5,0.13517
3.3,0.14088,0.0,1.0,0.0,0.0,0.10797,8.0E-5,0.10728
3.4,0.11221,0.0,1.0,0.0,0.0,0.08779,8.0E-5,0.08554
3.5,0.08918,0.0,1.0,0.0,0.0,0.07077,8.0E-5,0.06817
3.6,0.07016,0.0,1.0,0.0,0.0,0.05621,8.0E-5,0.05342
3.7,0.05564,0.0,1.0,0.0,0.0,0.04521,8.0E-5,0.0425
3.8,0.04436,0.0,1.0,0.0,0.0,0.03628,8.0E-5,0.0339
3.9,0.03545,0.0,1.0,0.0,0.0,0.02941,8.0E-5,0.02722
4.0,0.02786,0.0,0.0,0.0,0.0,0.0234,8.0E-5,0.0215
4.1,0.02242,0.0,0.0,0.0,0.0,0.01898,8.0E-5,0.01732
4.2,0.01757,0.0,0.0,0.0,0.0,0.01497,8.0E-5,0.01366
4.3,0.01383,0.0,0.0,0.0,0.0,0.01181,8.0E-5,0.01065
4.4,0.01107,0.0,0.0,0.0,0.0,0.00947,8.0E-5,0.00846
4.5,0.00891,0.0,0.0,0.0,0.0,0.00771,8.0E-5,0.00679
4.6,0.00702,0.0,0.0,0.0,0.0,0.00619,8.0E-5,0.00534
4.7,0.00576,0.0,0.0,0.0,0.0,0.00507,8.0E-5,0.00432
4.8,0.00469,0.0,0.0,0.0,0.0,0.00418,8.0E-5,0.00354
4.9,0.00363,0.0,0.0,0.0,0.0,0.00331,8.0E-5,0.00279
5.0,0.00275,0.0,0.0,0.0,0.0,0.00248,8.0E-5,0.00207
5.1,0.0022,0.0,0.0,0.0,0.0,0.002,8.0E-5,0.00168
5.2,0.00173,0.0,0.0,0.0,0.0,0.00156,8.0E-5,0.00131
5.3,0.00138,0.0,0.0,0.0,0.0,0.00125,8.0E-5,0.00106
5.4,0.00111,0.0,0.0,0.0,0.0,0.001,8.0E-5,8.5E-4
5.5,8.9E-4,0.0,0.0,0.0,0.0,8.0E-4,8.0E-5,6.7E-4
5.6,7.3E-4,0.0,0.0,0.0,0.0,6.6E-4,8.0E-5,5.6E-4
5.7,5.9E-4,0.0,0.0,0.0,0.0,5.4E-4,8.0E-5,4.7E-4
5.8,4.7E-4,0.0,0.0,0.0,0.0,4.4E-4,8.0E-5,3.7E-4
5.9,3.4E-4,0.0,0.0,0.0,0.0,3.3E-4,8.0E-5,2.6E-4
6.0,2.5E-4,0.0,0.0,0.0,0.0,2.4E-4,8.0E-5,2.1E-4
6.1,1.9E-4,0.0,0.0,0.0,0.0,1.8E-4,8.0E-5,1.6E-4
6.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,7.0E-5,9.0E-5
6.3,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,7.0E-5,8.0E-5
6.4,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,7.0E-5,7.0E-5
6.5,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,5.0E-5,5.0E-5
6.6,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,3.0E-5
6.7,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,3.0E-5
6.8,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,2.0E-5
6.9,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,2.0E-5
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
