Time (days),ComCat Data
0.0,0.0
0.5669021,1504.0
1.1338042,1929.0
1.7007062,2186.0
2.2676084,2374.0
2.8345103,2555.0
3.4014125,2682.0
3.9683144,2802.0
4.535217,2902.0
5.1021185,3013.0
5.6690207,3097.0
6.235923,3188.0
6.802825,3261.0
7.369727,3317.0
7.936629,3372.0
8.503531,3418.0
9.070434,3467.0
9.637335,3511.0
10.204237,3561.0
10.771139,3606.0
11.338041,3653.0
11.904943,3690.0
12.471846,3745.0
13.038748,3786.0
13.60565,3824.0
14.172552,3848.0
14.739454,3873.0
15.306356,3901.0
15.873258,3916.0
16.44016,3935.0
17.007063,3952.0
17.573965,3979.0
18.140867,3994.0
18.707767,4011.0
19.27467,4030.0
19.841572,4041.0
20.408474,4078.0
20.975376,4104.0
21.542278,4116.0
22.10918,4131.0
22.676083,4144.0
23.242985,4160.0
23.809887,4175.0
24.37679,4198.0
24.943691,4213.0
25.510593,4219.0
26.077496,4229.0
26.644398,4237.0
27.2113,4253.0
27.778202,4264.0
28.345104,4273.0
28.912006,4283.0
29.478909,4296.0
30.04581,4307.0
30.612713,4315.0
31.179613,4325.0
31.746515,4332.0
32.31342,4343.0
32.88032,4351.0
33.447224,4360.0
34.014126,4366.0
34.581028,4372.0
35.14793,4382.0
35.714832,4389.0
36.281734,4393.0
36.848637,4402.0
37.415535,4404.0
37.982437,4417.0
38.54934,4421.0
39.11624,4432.0
39.683144,4444.0
40.250046,4456.0
40.816948,4471.0
41.38385,4477.0
41.950752,4485.0
42.517654,4490.0
43.084557,4495.0
43.65146,4506.0
44.21836,4510.0
44.785263,4516.0
45.352165,4518.0
45.919067,4526.0
46.48597,4538.0
47.05287,4544.0
47.619774,4549.0
48.186676,4581.0
48.75358,4589.0
49.32048,4596.0
49.887383,4605.0
50.454285,4612.0
51.021187,4615.0
51.58809,4623.0
52.15499,4631.0
52.721893,4638.0
53.288795,4640.0
53.855698,4642.0
54.4226,4646.0
54.989502,4648.0
55.556404,4651.0
56.123306,4659.0
56.69021,4661.0
57.25711,4663.0
57.824013,4669.0
58.390915,4673.0
58.957817,4675.0
59.52472,4685.0
60.09162,4688.0
60.658524,4691.0
61.225426,4694.0
61.792328,4696.0
62.359226,4699.0
62.92613,4700.0
63.49303,4701.0
64.05994,4705.0
64.62684,4713.0
65.19374,4716.0
65.76064,4719.0
66.327545,4723.0
66.89445,4729.0
67.46135,4730.0
68.02825,4733.0
68.59515,4735.0
69.162056,4736.0
69.72896,4739.0
70.29586,4741.0
70.86276,4742.0
71.429665,4744.0
71.99657,4748.0
72.56347,4755.0
73.13037,4758.0
73.69727,4763.0
74.264175,4765.0
74.83107,4766.0
75.39797,4767.0
75.964874,4768.0
76.53178,4776.0
77.09868,4780.0
77.66558,4781.0
78.23248,4784.0
78.799385,4785.0
79.36629,4788.0
79.93319,4792.0
80.50009,4793.0
