Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.1545662E-5,2.320548E-5,5.3204785E-5,2.292768,3.0E-5,9.2335285E-5,9.944872E-5,2.0943779E-4,2.1059878,1.1E-4,0.0011236023,0.0012101957,0.00256855,2.122425,0.00136,0.011179381,0.012044045,0.016272496,1.3510823,0.00428
6.1,2.1545662E-5,2.320548E-5,5.3204785E-5,2.292768,3.0E-5,9.2335285E-5,9.944872E-5,2.0943779E-4,2.1059878,1.1E-4,0.0011236023,0.0012101957,0.00256855,2.122425,0.00136,0.011179381,0.012044045,0.016272496,1.3510823,0.00428
6.2,2.1545662E-5,2.320548E-5,5.3204785E-5,2.292768,3.0E-5,9.2335285E-5,9.944872E-5,2.0943779E-4,2.1059878,1.1E-4,0.0011236023,0.0012101957,0.00256855,2.122425,0.00136,0.011179381,0.012044045,0.016272496,1.3510823,0.00428
6.3,1.0025529E-5,1.0751739E-5,3.0751526E-5,2.8601441,2.0E-5,4.2965847E-5,4.607814E-5,1.36074E-4,2.9531138,9.0E-5,5.229836E-4,5.608702E-4,9.806346E-4,1.7484163,4.2E-4,0.005217545,0.0055958605,0.0072366274,1.2932109,0.00165
6.4,1.0025529E-5,1.0751739E-5,3.0751526E-5,2.8601441,2.0E-5,4.2965847E-5,4.607814E-5,1.36074E-4,2.9531138,9.0E-5,5.229836E-4,5.608702E-4,9.806346E-4,1.7484163,4.2E-4,0.005217545,0.0055958605,0.0072366274,1.2932109,0.00165
6.5,6.9617327E-6,7.459927E-6,1.7459852E-5,2.3404856,1.0E-5,2.9835655E-5,3.1970772E-5,8.196918E-5,2.5638783,5.0E-5,3.6318856E-4,3.8918332E-4,5.991016E-4,1.5393815,2.1E-4,0.0036259557,0.0038858727,0.0049019093,1.2614692,0.00102
6.6,4.9919777E-6,5.3490485E-6,1.5348995E-5,2.8694813,1.0E-5,2.1394015E-5,2.2924329E-5,5.2923642E-5,2.3086233,3.0E-5,2.60441E-4,2.7907468E-4,4.190356E-4,1.5015179,1.4E-4,0.0026013597,0.0027879013,0.0034959218,1.2539618,7.1E-4
6.7,3.6630722E-6,3.9263646E-6,1.3926326E-5,3.5468752,1.0E-5,1.5698786E-5,1.68272E-5,3.6826863E-5,2.1885319,2.0E-5,1.9111596E-4,2.0485764E-4,3.2483306E-4,1.5856526,1.2E-4,0.0019095168,0.0020472514,0.0025861461,1.2632283,5.4E-4
6.8,2.5599613E-6,2.7461572E-6,1.274613E-5,4.6414423,1.0E-5,1.0971216E-5,1.176922E-5,3.1768985E-5,2.699328,2.0E-5,1.3356637E-4,1.4328578E-4,2.4327145E-4,1.697806,1.0E-4,0.0013348613,0.0014324193,0.0018018893,1.2579342,3.7E-4
6.9,1.7684905E-6,1.8977261E-6,1.1897707E-5,6.2694545,1.0E-5,7.579223E-6,8.133112E-6,2.8132949E-5,3.4590633,2.0E-5,9.2273134E-5,9.902064E-5,1.9901074E-4,2.0097904,1.0E-4,9.223483E-4,9.902064E-4,0.0012799192,1.2925782,2.9E-4
