Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.695525E-6,5.835687E-6,5.835687E-6,1.0,0.0,2.4409164E-5,2.5009867E-5,2.5009867E-5,1.0,0.0,2.9714106E-4,3.044566E-4,3.2445052E-4,1.0656708,2.0E-5,0.0029674405,0.0030407908,0.0031105778,1.0229503,7.0E-5
6.1,5.695525E-6,5.835687E-6,5.835687E-6,1.0,0.0,2.4409164E-5,2.5009867E-5,2.5009867E-5,1.0,0.0,2.9714106E-4,3.044566E-4,3.2445052E-4,1.0656708,2.0E-5,0.0029674405,0.0030407908,0.0031105778,1.0229503,7.0E-5
6.2,5.695525E-6,5.835687E-6,5.835687E-6,1.0,0.0,2.4409164E-5,2.5009867E-5,2.5009867E-5,1.0,0.0,2.9714106E-4,3.044566E-4,3.2445052E-4,1.0656708,2.0E-5,0.0029674405,0.0030407908,0.0031105778,1.0229503,7.0E-5
6.3,3.2995713E-6,3.3841818E-6,3.3841818E-6,1.0,0.0,1.4140943E-5,1.4503558E-5,1.4503558E-5,1.0,0.0,1.7215237E-4,1.7656699E-4,1.9656346E-4,1.1132514,2.0E-5,0.0017201907,0.0017643141,0.0018142259,1.0282897,5.0E-5
6.4,3.2995713E-6,3.3841818E-6,3.3841818E-6,1.0,0.0,1.4140943E-5,1.4503558E-5,1.4503558E-5,1.0,0.0,1.7215237E-4,1.7656699E-4,1.9656346E-4,1.1132514,2.0E-5,0.0017201907,0.0017643141,0.0018142259,1.0282897,5.0E-5
6.5,2.782202E-6,2.856292E-6,2.856292E-6,1.0,0.0,1.1923668E-5,1.2241196E-5,1.2241196E-5,1.0,0.0,1.4516099E-4,1.490267E-4,1.6902371E-4,1.1341841,2.0E-5,0.001450662,0.0014893004,0.0015392259,1.0335228,5.0E-5
6.6,2.3163404E-6,2.3813168E-6,2.3813168E-6,1.0,0.0,9.927136E-6,1.0205605E-5,1.0205605E-5,1.0,0.0,1.20856166E-4,1.2424636E-4,1.4424388E-4,1.1609505,2.0E-5,0.0012079047,0.0012417892,0.0012917271,1.0402145,5.0E-5
6.7,2.037056E-6,2.0968664E-6,2.0968664E-6,1.0,0.0,8.7302105E-6,8.98654E-6,8.98654E-6,1.0,0.0,1.0628513E-4,1.09405795E-4,1.194047E-4,1.0913929,1.0E-5,0.0010623431,0.0010935355,0.0011235026,1.027404,3.0E-5
6.8,1.8356744E-6,1.891873E-6,1.891873E-6,1.0,0.0,7.867153E-6,8.1080025E-6,8.1080025E-6,1.0,0.0,9.577837E-5,9.87106E-5,1.0870962E-4,1.1012962,1.0E-5,9.57371E-4,9.866816E-4,0.001016652,1.030375,3.0E-5
6.9,1.6310546E-6,1.6835291E-6,1.6835291E-6,1.0,0.0,6.9902153E-6,7.2151056E-6,7.2151056E-6,1.0,0.0,8.510255E-5,8.784049E-5,9.7839606E-5,1.1138327,1.0E-5,8.5069967E-4,8.780689E-4,9.080426E-4,1.0341359,3.0E-5
7.0,1.2058036E-6,1.2511459E-6,1.2511459E-6,1.0,0.0,5.1677193E-6,5.362043E-6,5.362043E-6,1.0,0.0,6.291517E-5,6.528094E-5,7.528029E-5,1.153174,1.0E-5,6.289736E-4,6.5262E-4,6.8260037E-4,1.0459386,3.0E-5
7.1,1.052382E-6,1.0954265E-6,1.0954265E-6,1.0,0.0,4.5102006E-6,4.6946766E-6,4.6946766E-6,1.0,0.0,5.491031E-5,5.7156198E-5,6.7155626E-5,1.1749492,1.0E-5,5.4896745E-4,5.714159E-4,6.013987E-4,1.0524712,3.0E-5
7.2,1.0067454E-6,1.0490321E-6,1.0490321E-6,1.0,0.0,4.3146156E-6,4.495844E-6,4.495844E-6,1.0,0.0,5.252918E-5,5.473554E-5,6.4734995E-5,1.1826867,1.0E-5,5.251676E-4,5.4722145E-4,5.7720504E-4,1.0547924,3.0E-5
7.3,9.3596316E-7,9.77026E-7,9.77026E-7,1.0,0.0,4.0112645E-6,4.187248E-6,4.187248E-6,1.0,0.0,4.8836053E-5,5.097856E-5,6.097805E-5,1.1961509,1.0E-5,4.8825322E-4,5.096694E-4,5.296593E-4,1.0392212,2.0E-5
7.4,8.8117395E-7,9.210127E-7,9.210127E-7,1.0,0.0,3.7764542E-6,3.9471915E-6,3.9471915E-6,1.0,0.0,4.5977362E-5,4.8056005E-5,5.8055524E-5,1.2080805,1.0E-5,4.596785E-4,4.8045686E-4,5.004473E-4,1.041607,2.0E-5
7.5,8.292386E-7,8.6769757E-7,8.6769757E-7,1.0,0.0,3.5538749E-6,3.7186987E-6,3.7186987E-6,1.0,0.0,4.326757E-5,4.5274224E-5,5.527377E-5,1.2208662,1.0E-5,4.3259145E-4,4.5265074E-4,4.7264167E-4,1.0441642,2.0E-5
7.6,7.553842E-7,7.916719E-7,7.916719E-7,1.0,0.0,3.2373566E-6,3.3928752E-6,3.3928752E-6,1.0,0.0,3.9414106E-5,4.1307478E-5,4.1307478E-5,1.0,0.0,3.9407116E-4,4.1299872E-4,4.2299458E-4,1.0242032,1.0E-5
7.7,6.5285366E-7,6.854822E-7,6.854822E-7,1.0,0.0,2.797941E-6,2.9377775E-6,2.9377775E-6,1.0,0.0,3.40644E-5,3.5766858E-5,3.5766858E-5,1.0,0.0,3.405918E-4,3.576117E-4,3.6760813E-4,1.0279533,1.0E-5
7.8,3.4586725E-7,3.6494507E-7,3.6494507E-7,1.0,0.0,1.4822873E-6,1.5640494E-6,1.5640494E-6,1.0,0.0,1.80467E-5,1.904214E-5,1.904214E-5,1.0,0.0,1.8045233E-4,1.9040552E-4,2.004036E-4,1.0525094,1.0E-5
