Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2706755E-5,1.427325E-5,1.427325E-5,1.0,0.0,5.4456385E-5,6.116984E-5,6.116984E-5,1.0,0.0,6.628048E-4,7.4452494E-4,7.4452494E-4,1.0,0.0,0.006608314,0.007425221,0.0074847755,1.0080205,6.0E-5
6.1,8.342579E-6,9.530948E-6,9.530948E-6,1.0,0.0,3.5753423E-5,4.0846404E-5,4.0846404E-5,1.0,0.0,4.3521097E-4,4.972132E-4,4.972132E-4,1.0,0.0,0.0043435963,0.0049644476,0.0050141993,1.0100216,5.0E-5
6.2,6.923899E-6,7.986489E-6,7.986489E-6,1.0,0.0,2.9673516E-5,3.422747E-5,3.422747E-5,1.0,0.0,3.6121515E-4,4.1665902E-4,4.1665902E-4,1.0,0.0,0.003606286,0.004161971,0.004191846,1.0071781,3.0E-5
6.3,2.728396E-6,3.441296E-6,3.441296E-6,1.0,0.0,1.1693074E-5,1.4748333E-5,1.4748333E-5,1.0,0.0,1.4235388E-4,1.7954703E-4,1.7954703E-4,1.0,0.0,0.0014226272,0.0017954092,0.0018053913,1.0055598,1.0E-5
6.4,2.7136944E-6,3.425583E-6,3.425583E-6,1.0,0.0,1.1630066E-5,1.4680992E-5,1.4680992E-5,1.0,0.0,1.4158686E-4,1.7872728E-4,1.7872728E-4,1.0,0.0,0.0014149669,0.0017872249,0.001797207,1.0055853,1.0E-5
6.5,2.6971882E-6,3.4079203E-6,3.4079203E-6,1.0,0.0,1.1559327E-5,1.4605296E-5,1.4605296E-5,1.0,0.0,1.4072572E-4,1.7780584E-4,1.7780584E-4,1.0,0.0,0.0014063664,0.0017780253,0.0017880074,1.0056142,1.0E-5
6.6,2.669092E-6,3.3779284E-6,3.3779284E-6,1.0,0.0,1.1438916E-5,1.447676E-5,1.447676E-5,1.0,0.0,1.3925991E-4,1.7624117E-4,1.7624117E-4,1.0,0.0,0.0013917267,0.0017624034,0.0017723858,1.0056641,1.0E-5
6.7,2.6408059E-6,3.3479428E-6,3.3479428E-6,1.0,0.0,1.1317691E-5,1.4348252E-5,1.4348252E-5,1.0,0.0,1.3778417E-4,1.7467684E-4,1.7467684E-4,1.0,0.0,0.0013769877,0.0017467848,0.0017567673,1.0057148,1.0E-5
6.8,2.1786943E-6,2.8713075E-6,2.8713075E-6,1.0,0.0,9.337228E-6,1.230555E-5,1.230555E-5,1.0,0.0,1.1367482E-4,1.498105E-4,1.498105E-4,1.0,0.0,0.0011361669,0.001498471,0.0015084561,1.0066634,1.0E-5
6.9,1.4411696E-6,2.0846273E-6,2.0846273E-6,1.0,0.0,6.1764263E-6,8.934088E-6,8.934088E-6,1.0,0.0,7.51954E-5,1.08767366E-4,1.08767366E-4,1.0,0.0,7.5169955E-4,0.0010884725,0.0010984617,1.0091772,1.0E-5
