Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6420427E-5,1.4702125E-5,1.4702125E-5,1.0,0.0,7.037136E-5,6.30078E-5,6.30078E-5,1.0,0.0,8.5643446E-4,7.668884E-4,7.668884E-4,1.0,0.0,0.008531413,0.007646218,0.0076561416,1.0012978,1.0E-5
6.1,1.6420427E-5,1.4702125E-5,1.4702125E-5,1.0,0.0,7.037136E-5,6.30078E-5,6.30078E-5,1.0,0.0,8.5643446E-4,7.668884E-4,7.668884E-4,1.0,0.0,0.008531413,0.007646218,0.0076561416,1.0012978,1.0E-5
6.2,1.6420427E-5,1.4702125E-5,1.4702125E-5,1.0,0.0,7.037136E-5,6.30078E-5,6.30078E-5,1.0,0.0,8.5643446E-4,7.668884E-4,7.668884E-4,1.0,0.0,0.008531413,0.007646218,0.0076561416,1.0012978,1.0E-5
6.3,1.2046778E-5,9.869239E-6,9.869239E-6,1.0,0.0,5.1628023E-5,4.2296182E-5,4.2296182E-5,1.0,0.0,6.283899E-4,5.148576E-4,5.148576E-4,1.0,0.0,0.0062661595,0.0051389323,0.0051488806,1.001936,1.0E-5
6.4,1.2046778E-5,9.869239E-6,9.869239E-6,1.0,0.0,5.1628023E-5,4.2296182E-5,4.2296182E-5,1.0,0.0,6.283899E-4,5.148576E-4,5.148576E-4,1.0,0.0,0.0062661595,0.0051389323,0.0051488806,1.001936,1.0E-5
6.5,1.0244343E-5,7.885128E-6,7.885128E-6,1.0,0.0,4.390359E-5,3.3793087E-5,3.3793087E-5,1.0,0.0,5.343951E-4,4.1137385E-4,4.1137385E-4,1.0,0.0,0.005331118,0.0041081575,0.004118116,1.0024242,1.0E-5
6.6,9.605408E-6,7.182736E-6,7.182736E-6,1.0,0.0,4.1165385E-5,3.0782907E-5,3.0782907E-5,1.0,0.0,5.010733E-4,3.747378E-4,3.747378E-4,1.0,0.0,0.00499945,0.0037430588,0.0037530214,1.0026616,1.0E-5
6.7,8.60418E-6,6.1285727E-6,6.1285727E-6,1.0,0.0,3.687454E-5,2.6265157E-5,2.6265157E-5,1.0,0.0,4.48855E-4,3.197509E-4,3.197509E-4,1.0,0.0,0.004479495,0.0031948227,0.0031948227,1.0,0.0
6.8,5.187994E-6,2.5655524E-6,2.5655524E-6,1.0,0.0,2.223407E-5,1.0995201E-5,1.0995201E-5,1.0,0.0,2.7066618E-4,1.3386234E-4,1.3386234E-4,1.0,0.0,0.0027033675,0.0013382094,0.0013382094,1.0,0.0
6.9,4.5302368E-6,2.3463795E-6,2.3463795E-6,1.0,0.0,1.9415156E-5,1.00558955E-5,1.00558955E-5,1.0,0.0,2.3635388E-4,1.2242762E-4,1.2242762E-4,1.0,0.0,0.0023610266,0.0012239916,0.0012239916,1.0,0.0
7.0,3.431668E-6,1.689825E-6,1.689825E-6,1.0,0.0,1.4707065E-5,7.242107E-6,7.242107E-6,1.0,0.0,1.7904381E-4,8.817266E-5,8.817266E-5,1.0,0.0,0.0017889962,8.8172656E-4,8.8172656E-4,1.0,0.0
