Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.9267165E-6,9.878995E-6,9.878995E-6,1.0,0.0,3.39712E-5,4.2337924E-5,4.2337924E-5,1.0,0.0,4.1352084E-4,5.1535293E-4,5.253478E-4,1.0193942,1.0E-5,0.004127522,0.005155989,0.0051659374,1.0019295,1.0E-5
6.1,7.9267165E-6,9.878995E-6,9.878995E-6,1.0,0.0,3.39712E-5,4.2337924E-5,4.2337924E-5,1.0,0.0,4.1352084E-4,5.1535293E-4,5.253478E-4,1.0193942,1.0E-5,0.004127522,0.005155989,0.0051659374,1.0019295,1.0E-5
6.2,7.9267165E-6,9.878995E-6,9.878995E-6,1.0,0.0,3.39712E-5,4.2337924E-5,4.2337924E-5,1.0,0.0,4.1352084E-4,5.1535293E-4,5.253478E-4,1.0193942,1.0E-5,0.004127522,0.005155989,0.0051659374,1.0019295,1.0E-5
6.3,7.9267165E-6,9.878995E-6,9.878995E-6,1.0,0.0,3.39712E-5,4.2337924E-5,4.2337924E-5,1.0,0.0,4.1352084E-4,5.1535293E-4,5.253478E-4,1.0193942,1.0E-5,0.004127522,0.005155989,0.0051659374,1.0019295,1.0E-5
6.4,4.3445207E-6,6.13788E-6,6.13788E-6,1.0,0.0,1.8619241E-5,2.630494E-5,2.630494E-5,1.0,0.0,2.2666567E-4,3.202166E-4,3.202166E-4,1.0,0.0,0.0022643462,0.0032110377,0.0032110377,1.0,0.0
6.5,4.3445207E-6,6.13788E-6,6.13788E-6,1.0,0.0,1.8619241E-5,2.630494E-5,2.630494E-5,1.0,0.0,2.2666567E-4,3.202166E-4,3.202166E-4,1.0,0.0,0.0022643462,0.0032110377,0.0032110377,1.0,0.0
6.6,4.040109E-6,5.8202063E-6,5.8202063E-6,1.0,0.0,1.7314638E-5,2.4943509E-5,2.4943509E-5,1.0,0.0,2.1078532E-4,3.0364582E-4,3.0364582E-4,1.0,0.0,0.002105855,0.003045789,0.003045789,1.0,0.0
6.7,3.3632055E-6,5.1135235E-6,5.1135235E-6,1.0,0.0,1.4413658E-5,2.1914917E-5,2.1914917E-5,1.0,0.0,1.7547216E-4,2.6678178E-4,2.6678178E-4,1.0,0.0,0.0017533366,0.002678038,0.002678038,1.0,0.0
6.8,3.2902772E-6,5.0353965E-6,5.0353965E-6,1.0,0.0,1.4101111E-5,2.1580096E-5,2.1580096E-5,1.0,0.0,1.716675E-4,2.6270628E-4,2.6270628E-4,1.0,0.0,0.0017153495,0.0026373803,0.0026373803,1.0,0.0
6.9,3.031547E-6,4.7367275E-6,4.7367275E-6,1.0,0.0,1.299228E-5,2.0300104E-5,2.0300104E-5,1.0,0.0,1.5816953E-4,2.47126E-4,2.47126E-4,1.0,0.0,0.00158057,0.0024819328,0.0024819328,1.0,0.0
7.0,2.8259715E-6,4.4151275E-6,4.4151275E-6,1.0,0.0,1.211125E-5,1.8921839E-5,1.8921839E-5,1.0,0.0,1.4744449E-4,2.3034927E-4,2.3034927E-4,1.0,0.0,0.001473467,0.0023145243,0.0023145243,1.0,0.0
7.1,2.5962665E-6,4.1097674E-6,4.1097674E-6,1.0,0.0,1.1126809E-5,1.7613173E-5,1.7613173E-5,1.0,0.0,1.3546048E-4,2.1441949E-4,2.1441949E-4,1.0,0.0,0.0013537793,0.0021555526,0.0021555526,1.0,0.0
7.2,2.3247253E-6,3.7195164E-6,3.7195164E-6,1.0,0.0,9.96307E-6,1.5940688E-5,1.5940688E-5,1.0,0.0,1.21293626E-4,1.9406078E-4,1.9406078E-4,1.0,0.0,0.0012122744,0.0019523592,0.0019523592,1.0,0.0
7.3,2.056928E-6,3.2764726E-6,3.2764726E-6,1.0,0.0,8.815376E-6,1.4041951E-5,1.4041951E-5,1.0,0.0,1.0732192E-4,1.709475E-4,1.709475E-4,1.0,0.0,0.001072701,0.0017216702,0.0017216702,1.0,0.0
7.4,1.8055999E-6,2.8651004E-6,2.8651004E-6,1.0,0.0,7.738263E-6,1.2278945E-5,1.2278945E-5,1.0,0.0,9.4209274E-5,1.4948605E-4,1.4948605E-4,1.0,0.0,9.4169343E-4,0.001507521,0.001507521,1.0,0.0
7.5,1.4683443E-6,2.4635196E-6,2.4635196E-6,1.0,0.0,6.292889E-6,1.0557899E-5,1.0557899E-5,1.0,0.0,7.661323E-5,1.2853493E-4,1.2853493E-4,1.0,0.0,7.658682E-4,0.0012983094,0.0012983094,1.0,0.0
7.6,9.804088E-7,1.9385504E-6,1.9385504E-6,1.0,0.0,4.201745E-6,8.308047E-6,8.308047E-6,1.0,0.0,5.1155046E-5,1.0114582E-4,1.0114582E-4,1.0,0.0,5.114327E-4,0.0010247391,0.0010247391,1.0,0.0
7.7,7.3434086E-7,1.6662157E-6,1.6662157E-6,1.0,0.0,3.1471714E-6,7.140905E-6,7.140905E-6,1.0,0.0,3.831614E-5,8.693707E-5,8.693707E-5,1.0,0.0,3.8309532E-4,8.8281184E-4,8.8281184E-4,1.0,0.0
7.8,6.434184E-7,1.5583987E-6,1.5583987E-6,1.0,0.0,2.7575045E-6,6.678835E-6,6.678835E-6,1.0,0.0,3.35721E-5,8.13118E-5,8.13118E-5,1.0,0.0,3.3567028E-4,8.2627154E-4,8.2627154E-4,1.0,0.0
7.9,3.4943926E-7,7.772934E-7,7.772934E-7,1.0,0.0,1.497596E-6,3.331253E-6,3.331253E-6,1.0,0.0,1.8233079E-5,4.055726E-5,4.055726E-5,1.0,0.0,1.8231584E-4,4.1405825E-4,4.1405825E-4,1.0,0.0
8.0,6.717524E-8,6.081081E-8,6.081081E-8,1.0,0.0,2.8789387E-7,2.6061775E-7,2.6061775E-7,1.0,0.0,3.505102E-6,3.1730165E-6,3.1730165E-6,1.0,0.0,3.5050467E-5,3.4033827E-5,3.4033827E-5,1.0,0.0
8.1,3.1984914E-8,1.37272185E-8,1.37272185E-8,1.0,0.0,1.370782E-7,5.8830935E-8,5.8830935E-8,1.0,0.0,1.6689258E-6,7.162664E-7,7.162664E-7,1.0,0.0,1.6689133E-5,8.180613E-6,8.180613E-6,1.0,0.0
8.2,1.21887656E-8,3.8876213E-9,3.8876213E-9,1.0,0.0,5.2237567E-8,1.6661234E-8,1.6661234E-8,1.0,0.0,6.359922E-7,2.028505E-7,2.028505E-7,1.0,0.0,6.3599036E-6,2.3846912E-6,2.3846912E-6,1.0,0.0
