Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.980352E-5,2.1719094E-5,2.1719094E-5,1.0,0.0,8.486947E-5,9.307892E-5,9.307892E-5,1.0,0.0,0.0010327959,0.0011327188,0.0011726734,1.0352733,4.0E-5,0.010280091,0.011276638,0.0114348335,1.0140287,1.6E-4
6.1,1.980352E-5,2.1719094E-5,2.1719094E-5,1.0,0.0,8.486947E-5,9.307892E-5,9.307892E-5,1.0,0.0,0.0010327959,0.0011327188,0.0011726734,1.0352733,4.0E-5,0.010280091,0.011276638,0.0114348335,1.0140287,1.6E-4
6.2,1.980352E-5,2.1719094E-5,2.1719094E-5,1.0,0.0,8.486947E-5,9.307892E-5,9.307892E-5,1.0,0.0,0.0010327959,0.0011327188,0.0011726734,1.0352733,4.0E-5,0.010280091,0.011276638,0.0114348335,1.0140287,1.6E-4
6.3,1.5344787E-5,1.6830247E-5,1.6830247E-5,1.0,0.0,6.576172E-5,7.212798E-5,7.212798E-5,1.0,0.0,8.003548E-4,8.7786565E-4,9.178305E-4,1.0455251,4.0E-5,0.007974784,0.008750031,0.008878893,1.0147271,1.3E-4
6.4,1.5344787E-5,1.6830247E-5,1.6830247E-5,1.0,0.0,6.576172E-5,7.212798E-5,7.212798E-5,1.0,0.0,8.003548E-4,8.7786565E-4,9.178305E-4,1.0455251,4.0E-5,0.007974784,0.008750031,0.008878893,1.0147271,1.3E-4
6.5,1.4189697E-5,1.5566868E-5,1.5566868E-5,1.0,0.0,6.081157E-5,6.671379E-5,6.671379E-5,1.0,0.0,7.401293E-4,8.11998E-4,8.519655E-4,1.0492212,4.0E-5,0.0073766913,0.00809626,0.008225208,1.0159268,1.3E-4
6.6,1.3469301E-5,1.4780032E-5,1.4780032E-5,1.0,0.0,5.7724297E-5,6.3341795E-5,6.3341795E-5,1.0,0.0,7.025667E-4,7.7097357E-4,8.009504E-4,1.0388819,3.0E-5,0.0070034964,0.0076888995,0.007807977,1.015487,1.2E-4
6.7,1.3027966E-5,1.4289882E-5,1.4289882E-5,1.0,0.0,5.5832945E-5,6.124125E-5,6.124125E-5,1.0,0.0,6.7955407E-4,7.4541697E-4,7.6540204E-4,1.0268106,2.0E-5,0.006774798,0.0074350503,0.0075343065,1.0133498,1.0E-4
6.8,5.695434E-6,6.2278386E-6,6.2278386E-6,1.0,0.0,2.4408775E-5,2.6690632E-5,2.6690632E-5,1.0,0.0,2.971363E-4,3.2494002E-4,3.2494002E-4,1.0,0.0,0.0029673933,0.003247593,0.0032774957,1.0092076,3.0E-5
6.9,4.385688E-6,4.7956896E-6,4.7956896E-6,1.0,0.0,1.879567E-5,2.0552956E-5,2.0552956E-5,1.0,0.0,2.2881327E-4,2.5023223E-4,2.5023223E-4,1.0,0.0,0.002285778,0.0025023224,0.0025122974,1.0039862,1.0E-5
