Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.872328E-5,4.733071E-5,5.7330235E-5,1.2112694,1.0E-5,1.6594635E-4,2.0283183E-4,2.2282777E-4,1.0985838,2.0E-5,0.0020185246,0.0024669436,0.00251682,1.020218,5.0E-5,0.02000288,0.02442133,0.02448962,1.0027963,7.0E-5
6.1,3.872328E-5,4.733071E-5,5.7330235E-5,1.2112694,1.0E-5,1.6594635E-4,2.0283183E-4,2.2282777E-4,1.0985838,2.0E-5,0.0020185246,0.0024669436,0.00251682,1.020218,5.0E-5,0.02000288,0.02442133,0.02448962,1.0027963,7.0E-5
6.2,3.872328E-5,4.733071E-5,5.7330235E-5,1.2112694,1.0E-5,1.6594635E-4,2.0283183E-4,2.2282777E-4,1.0985838,2.0E-5,0.0020185246,0.0024669436,0.00251682,1.020218,5.0E-5,0.02000288,0.02442133,0.02448962,1.0027963,7.0E-5
6.3,2.8356371E-5,3.3648917E-5,4.3648583E-5,1.2971764,1.0E-5,1.2152165E-4,1.4420213E-4,1.6419924E-4,1.1386743,2.0E-5,0.0014785219,0.0017543172,0.0018042295,1.0284511,5.0E-5,0.014687235,0.017411854,0.017480634,1.0039502,7.0E-5
6.4,2.8356371E-5,3.3648917E-5,4.3648583E-5,1.2971764,1.0E-5,1.2152165E-4,1.4420213E-4,1.6419924E-4,1.1386743,2.0E-5,0.0014785219,0.0017543172,0.0018042295,1.0284511,5.0E-5,0.014687235,0.017411854,0.017480634,1.0039502,7.0E-5
6.5,2.4448687E-5,2.8638204E-5,3.8637918E-5,1.3491739,1.0E-5,1.0477588E-4,1.2272967E-4,1.4272722E-4,1.1629398,2.0E-5,0.0012748998,0.0014932564,0.0015431817,1.0334339,5.0E-5,0.012676105,0.014837119,0.01490608,1.0046479,7.0E-5
6.6,2.1298161E-5,2.4684543E-5,3.4684297E-5,1.4051018,1.0E-5,9.127464E-5,1.057868E-4,1.2578467E-4,1.1890395,2.0E-5,0.0011107022,0.0012872263,0.001337162,1.0387932,5.0E-5,0.011051672,0.012801137,0.012870241,1.0053983,7.0E-5
6.7,1.8959729E-5,2.1801377E-5,3.180116E-5,1.4586766,1.0E-5,8.125345E-5,9.343128E-5,1.1342941E-4,1.2140411,2.0E-5,9.888117E-4,0.0011369578,0.001186901,1.043927,5.0E-5,0.009844234,0.011314076,0.011383284,1.006117,7.0E-5
6.8,1.6691629E-5,1.9034955E-5,2.9034765E-5,1.5253392,1.0E-5,7.153359E-5,8.157593E-5,1.0157429E-4,1.2451503,2.0E-5,8.7057345E-4,9.927512E-4,0.0010427017,1.0503151,5.0E-5,0.008671708,0.009884926,0.009954234,1.0070115,7.0E-5
6.9,1.450505E-5,1.6402837E-5,2.6402673E-5,1.6096407,1.0E-5,6.216302E-5,7.0296024E-5,9.029462E-5,1.2844911,2.0E-5,7.5657194E-4,8.555268E-4,9.054841E-4,1.0583935,5.0E-5,0.007540013,0.008523267,0.00859267,1.0081428,7.0E-5
7.0,1.2940855E-5,1.4549152E-5,2.4549006E-5,1.6873152,1.0E-5,5.545963E-5,6.2352054E-5,8.235081E-5,1.3207393,2.0E-5,6.750118E-4,7.5887766E-4,8.088397E-4,1.0658368,5.0E-5,0.006729651,0.0075634806,0.0076329513,1.009185,7.0E-5
7.1,1.2544658E-5,1.408893E-5,2.408879E-5,1.7097671,1.0E-5,5.3761712E-5,6.037976E-5,8.037855E-5,1.3312168,2.0E-5,6.5435225E-4,7.3488127E-4,7.848445E-4,1.0679882,5.0E-5,0.006524288,0.0073251054,0.0073945927,1.0094862,7.0E-5
7.2,1.2489416E-5,1.4026345E-5,2.4026205E-5,1.7129341,1.0E-5,5.3524967E-5,6.0111553E-5,8.011035E-5,1.3326948,2.0E-5,6.514716E-4,7.31618E-4,7.8158145E-4,1.0682917,5.0E-5,0.006495651,0.007292688,0.0073621776,1.0095286,7.0E-5
7.3,1.2368307E-5,1.3890379E-5,2.389024E-5,1.7199128,1.0E-5,5.3005948E-5,5.952887E-5,7.952768E-5,1.3359514,2.0E-5,6.451563E-4,7.2452857E-4,7.7449234E-4,1.0689604,5.0E-5,0.0064328653,0.0072222566,0.007291751,1.0096222,7.0E-5
7.4,1.2161707E-5,1.3658256E-5,2.365812E-5,1.7321479,1.0E-5,5.212056E-5,5.85341E-5,7.853293E-5,1.3416612,2.0E-5,6.3438306E-4,7.124253E-4,7.623896E-4,1.0701329,5.0E-5,0.006325751,0.0071020033,0.0071715065,1.0097864,7.0E-5
7.5,1.1707948E-5,1.3155564E-5,2.3155433E-5,1.7601247,1.0E-5,5.0175953E-5,5.6379802E-5,7.6378674E-5,1.354717,2.0E-5,6.10721E-4,6.862135E-4,7.2618603E-4,1.0582509,4.0E-5,0.0060904534,0.0068415296,0.0069011194,1.00871,6.0E-5
7.6,1.0319538E-5,1.158842E-5,2.1588305E-5,1.8629204,1.0E-5,4.4225842E-5,4.9663744E-5,6.9662754E-5,1.4026883,2.0E-5,5.383166E-4,6.0449354E-4,6.4446934E-4,1.0661311,4.0E-5,0.0053701443,0.0060290247,0.006088663,1.0098919,6.0E-5
7.7,8.937764E-6,1.0030351E-5,2.0030251E-5,1.996964,1.0E-5,3.830414E-5,4.2986543E-5,6.298568E-5,1.4652419,2.0E-5,4.6625308E-4,5.2324054E-4,5.632196E-4,1.0764067,4.0E-5,0.0046527605,0.0052205957,0.0052802823,1.0114329,6.0E-5
7.8,3.108007E-7,3.2858193E-7,3.2858193E-7,1.0,0.0,1.3320023E-6,1.4082076E-6,1.4082076E-6,1.0,0.0,1.6217007E-5,1.7144795E-5,1.7144795E-5,1.0,0.0,1.6215823E-4,1.7143511E-4,1.7143511E-4,1.0,0.0
7.9,2.5591178E-9,2.670388E-9,2.670388E-9,1.0,0.0,1.0967647E-8,1.144452E-8,1.144452E-8,1.0,0.0,1.335311E-7,1.3933703E-7,1.3933703E-7,1.0,0.0,1.3353102E-6,1.3933703E-6,1.3933703E-6,1.0,0.0
