Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.144392E-5,1.9797988E-5,1.9797988E-5,1.0,0.0,9.189928E-5,8.484585E-5,8.484585E-5,1.0,0.0,0.0011182994,0.0010325279,0.0010325279,1.0,0.0,0.011126885,0.010285093,0.010294991,1.0009623,1.0E-5
6.1,2.144392E-5,1.9797988E-5,1.9797988E-5,1.0,0.0,9.189928E-5,8.484585E-5,8.484585E-5,1.0,0.0,0.0011182994,0.0010325279,0.0010325279,1.0,0.0,0.011126885,0.010285093,0.010294991,1.0009623,1.0E-5
6.2,2.144392E-5,1.9797988E-5,1.9797988E-5,1.0,0.0,9.189928E-5,8.484585E-5,8.484585E-5,1.0,0.0,0.0011182994,0.0010325279,0.0010325279,1.0,0.0,0.011126885,0.010285093,0.010294991,1.0009623,1.0E-5
6.3,1.9751555E-5,1.7776942E-5,1.7776942E-5,1.0,0.0,8.4646774E-5,7.6184726E-5,7.6184726E-5,1.0,0.0,0.0010300872,9.271686E-4,9.271686E-4,1.0,0.0,0.010253254,0.009240283,0.00925019,1.0010722,1.0E-5
6.4,1.9751555E-5,1.7776942E-5,1.7776942E-5,1.0,0.0,8.4646774E-5,7.6184726E-5,7.6184726E-5,1.0,0.0,0.0010300872,9.271686E-4,9.271686E-4,1.0,0.0,0.010253254,0.009240283,0.00925019,1.0010722,1.0E-5
6.5,1.9751555E-5,1.7776942E-5,1.7776942E-5,1.0,0.0,8.4646774E-5,7.6184726E-5,7.6184726E-5,1.0,0.0,0.0010300872,9.271686E-4,9.271686E-4,1.0,0.0,0.010253254,0.009240283,0.00925019,1.0010722,1.0E-5
6.6,1.9188685E-5,1.7037557E-5,1.7037557E-5,1.0,0.0,8.2234634E-5,7.301615E-5,7.301615E-5,1.0,0.0,0.0010007467,8.886253E-4,8.886253E-4,1.0,0.0,0.00996252,0.0088581955,0.008868108,1.0011189,1.0E-5
6.7,1.7608272E-5,1.4762512E-5,1.4762512E-5,1.0,0.0,7.546184E-5,6.326643E-5,6.326643E-5,1.0,0.0,9.183606E-4,7.700064E-4,7.700064E-4,1.0,0.0,0.009145746,0.0076812017,0.007691125,1.0012919,1.0E-5
6.8,1.697165E-5,1.381123E-5,1.381123E-5,1.0,0.0,7.273361E-5,5.9189693E-5,5.9189693E-5,1.0,0.0,8.8517193E-4,7.2040496E-4,7.2040496E-4,1.0,0.0,0.008816543,0.0071879397,0.007197868,1.0013813,1.0E-5
6.9,1.600365E-5,1.2873086E-5,1.2873086E-5,1.0,0.0,6.858527E-5,5.5169246E-5,5.5169246E-5,1.0,0.0,8.347058E-4,6.7148637E-4,6.7148637E-4,1.0,0.0,0.008315775,0.006700744,0.006710677,1.0014824,1.0E-5
7.0,1.3314581E-5,1.04705005E-5,1.04705005E-5,1.0,0.0,5.7061243E-5,4.4872817E-5,4.4872817E-5,1.0,0.0,6.944992E-4,5.4619234E-4,5.4619234E-4,1.0,0.0,0.006923327,0.005452523,0.0054624686,1.001824,1.0E-5
7.1,1.2865345E-5,9.959304E-6,9.959304E-6,1.0,0.0,5.5136024E-5,4.2682048E-5,4.2682048E-5,1.0,0.0,6.710743E-4,5.195326E-4,5.195326E-4,1.0,0.0,0.0066905143,0.0051865093,0.0051964573,1.0019181,1.0E-5
7.2,1.1650051E-5,8.652833E-6,8.652833E-6,1.0,0.0,4.9927836E-5,3.7083053E-5,3.7083053E-5,1.0,0.0,6.0770183E-4,4.5139441E-4,4.5139441E-4,1.0,0.0,0.0060604266,0.004506211,0.0045161657,1.0022092,1.0E-5
7.3,1.0008533E-5,7.2169914E-6,7.2169914E-6,1.0,0.0,4.2893007E-5,3.0929605E-5,3.0929605E-5,1.0,0.0,5.220972E-4,3.7650432E-4,3.7650432E-4,1.0,0.0,0.005208723,0.0037590254,0.0037689877,1.0026503,1.0E-5
7.4,9.116759E-6,6.4242695E-6,6.4242695E-6,1.0,0.0,3.907124E-5,2.75323E-5,2.75323E-5,1.0,0.0,4.7558855E-4,3.3515558E-4,3.3515558E-4,1.0,0.0,0.00474572,0.0033466527,0.0033566193,1.0029781,1.0E-5
7.5,7.870524E-6,5.394627E-6,5.394627E-6,1.0,0.0,3.3730383E-5,2.3119632E-5,2.3119632E-5,1.0,0.0,4.1059E-4,2.8144644E-4,2.8144644E-4,1.0,0.0,0.0040983222,0.0028110272,0.0028209991,1.0035474,1.0E-5
7.6,6.9774537E-6,4.688189E-6,4.688189E-6,1.0,0.0,2.990303E-5,2.0092091E-5,2.0092091E-5,1.0,0.0,3.640086E-4,2.4459494E-4,2.4459494E-4,1.0,0.0,0.003634129,0.002443374,0.0024533495,1.0040827,1.0E-5
7.7,4.1616954E-6,2.3344012E-6,2.3344012E-6,1.0,0.0,1.7835715E-5,1.0004543E-5,1.0004543E-5,1.0,0.0,2.171282E-4,1.2179925E-4,1.2179925E-4,1.0,0.0,0.0021691616,0.0012173983,0.0012273862,1.0082042,1.0E-5
7.8,2.2692414E-7,9.4061434E-8,9.4061434E-8,1.0,0.0,9.725317E-7,4.031204E-7,4.031204E-7,1.0,0.0,1.1840509E-5,4.907983E-6,4.907983E-6,1.0,0.0,1.1839878E-4,4.9079074E-5,4.9079074E-5,1.0,0.0
7.9,6.676829E-9,3.445269E-9,3.445269E-9,1.0,0.0,2.861498E-8,1.4765438E-8,1.4765438E-8,1.0,0.0,3.4838732E-7,1.7976919E-7,1.7976919E-7,1.0,0.0,3.4838679E-6,1.7976906E-6,1.7976906E-6,1.0,0.0
