Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.5181727E-5,2.5438247E-5,3.543799E-5,1.3930988,1.0E-5,1.0791722E-4,1.0901652E-4,1.3901325E-4,1.2751577,3.0E-5,0.0013131002,0.0013264715,0.001905702,1.4366703,5.8E-4,0.013053683,0.013264985,0.01536673,1.1584431,0.00213
6.1,2.5077732E-5,2.5339245E-5,3.533899E-5,1.3946347,1.0E-5,1.0747157E-4,1.08592256E-4,1.38589E-4,1.2762328,3.0E-5,0.001307681,0.0013213124,0.001900546,1.4383775,5.8E-4,0.013000126,0.013214008,0.015315862,1.1590626,0.00213
6.2,2.494612E-5,2.5220756E-5,3.5220502E-5,1.3964888,1.0E-5,1.0690756E-4,1.0808449E-4,1.3808125E-4,1.2775307,3.0E-5,0.0013008224,0.0013151377,0.001894375,1.4404384,5.8E-4,0.012932341,0.013152994,0.015254979,1.1598103,0.00213
6.3,2.4733758E-5,2.5039893E-5,3.5039644E-5,1.3993527,1.0E-5,1.0599751E-4,1.0730944E-4,1.3730621E-4,1.2795353,3.0E-5,0.0012897556,0.0013057127,0.0018849554,1.4436219,5.8E-4,0.012822957,0.013059857,0.01516204,1.1609652,0.00213
6.4,2.3237335E-5,2.3417575E-5,3.3417342E-5,1.4270197,1.0E-5,9.958477E-5,1.00357196E-4,1.3035418E-4,1.2989023,3.0E-5,0.0012117702,0.0012211668,0.0018004585,1.4743756,5.8E-4,0.012051838,0.01222397,0.014327933,1.1721178,0.00213
6.5,2.2732203E-5,2.323122E-5,3.3230986E-5,1.4304452,1.0E-5,9.742009E-5,9.955858E-5,1.295556E-4,1.3013002,3.0E-5,0.0011854442,0.0012114545,0.0017907519,1.4781833,5.8E-4,0.011791403,0.012127912,0.0142320795,1.1734979,0.00213
6.6,2.1319436E-5,2.2009322E-5,3.2009102E-5,1.454343,1.0E-5,9.136581E-5,9.432227E-5,1.2431944E-4,1.3180285,3.0E-5,0.001111811,0.001147771,0.0017271054,1.5047473,5.8E-4,0.011062649,0.011497811,0.013603321,1.1831226,0.00213
6.7,1.970802E-5,2.0626878E-5,3.062667E-5,1.4847944,1.0E-5,8.446021E-5,8.839792E-5,1.1839527E-4,1.3393445,3.0E-5,0.001027818,0.0010757151,0.0016550911,1.5385963,5.8E-4,0.010230771,0.010784428,0.0128914565,1.195377,0.00213
6.8,1.8744462E-5,2.0132544E-5,3.0132343E-5,1.4966981,1.0E-5,8.033094E-5,8.627949E-5,1.16276904E-4,1.3476772,3.0E-5,9.775903E-4,0.0010499483,0.0016293393,1.5518281,5.8E-4,0.009733009,0.010529213,0.012636785,1.2001643,0.00213
6.9,1.7559682E-5,1.9183051E-5,2.918286E-5,1.5212835,1.0E-5,7.5253614E-5,8.22105E-5,1.12208036E-4,1.3648869,3.0E-5,9.158276E-4,0.0010004546,0.0015798744,1.5791564,5.8E-4,0.0091206245,0.010038879,0.0121474955,1.2100451,0.00213
7.0,1.6794445E-5,1.8443008E-5,2.8442824E-5,1.5422009,1.0E-5,7.197421E-5,7.903908E-5,1.0903671E-4,1.3795291,3.0E-5,8.759337E-4,9.6187735E-4,0.0015413194,1.6024075,5.8E-4,0.008724891,0.009656378,0.011755906,1.217424,0.00212
7.1,1.6337795E-5,1.7942619E-5,2.7942438E-5,1.5573223,1.0E-5,7.0017246E-5,7.689468E-5,1.0689237E-4,1.3901141,3.0E-5,8.521265E-4,9.3579193E-4,0.0015152491,1.6192158,5.8E-4,0.008488664,0.009397589,0.01148776,1.2224157,0.00211
