Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1182444E-5,3.6067635E-5,3.6067635E-5,1.0,0.0,1.336322E-4,1.5456743E-4,1.5456743E-4,1.0,0.0,0.0016257578,0.0018804203,0.0018904015,1.0053079,1.0E-5,0.016139153,0.018663863,0.01868349,1.0010515,2.0E-5
6.1,3.1182444E-5,3.6067635E-5,3.6067635E-5,1.0,0.0,1.336322E-4,1.5456743E-4,1.5456743E-4,1.0,0.0,0.0016257578,0.0018804203,0.0018904015,1.0053079,1.0E-5,0.016139153,0.018663863,0.01868349,1.0010515,2.0E-5
6.2,3.1182444E-5,3.6067635E-5,3.6067635E-5,1.0,0.0,1.336322E-4,1.5456743E-4,1.5456743E-4,1.0,0.0,0.0016257578,0.0018804203,0.0018904015,1.0053079,1.0E-5,0.016139153,0.018663863,0.01868349,1.0010515,2.0E-5
6.3,2.106934E-5,2.386905E-5,2.386905E-5,1.0,0.0,9.0294045E-5,1.022921E-4,1.022921E-4,1.0,0.0,0.0010987755,0.0012447259,0.0012547134,1.0080239,1.0E-5,0.010933585,0.012380794,0.012400546,1.0015954,2.0E-5
6.4,2.106934E-5,2.386905E-5,2.386905E-5,1.0,0.0,9.0294045E-5,1.022921E-4,1.022921E-4,1.0,0.0,0.0010987755,0.0012447259,0.0012547134,1.0080239,1.0E-5,0.010933585,0.012380794,0.012400546,1.0015954,2.0E-5
6.5,1.9389783E-5,2.1901742E-5,2.1901742E-5,1.0,0.0,8.309642E-5,9.386139E-5,9.386139E-5,1.0,0.0,0.0010112294,0.0011421911,0.0011521797,1.0087451,1.0E-5,0.010066401,0.011366085,0.011385858,1.0017396,2.0E-5
6.6,1.9370193E-5,2.188166E-5,2.188166E-5,1.0,0.0,8.301247E-5,9.377533E-5,9.377533E-5,1.0,0.0,0.0010102082,0.0011411444,0.001151133,1.0087532,1.0E-5,0.010056281,0.011355725,0.011375498,1.0017412,2.0E-5
6.7,1.6723505E-5,1.8813154E-5,1.8813154E-5,1.0,0.0,7.16702E-5,8.0625425E-5,8.0625425E-5,1.0,0.0,8.722353E-4,9.81192E-4,9.911822E-4,1.0101817,1.0E-5,0.008688197,0.009770611,0.009790416,1.0020269,2.0E-5
6.8,1.426937E-5,1.6008718E-5,1.6008718E-5,1.0,0.0,6.115301E-5,6.860707E-5,6.860707E-5,1.0,0.0,7.4428355E-4,8.3498546E-4,8.4497716E-4,1.0119662,1.0E-5,0.007417957,0.008319963,0.008339796,1.0023838,2.0E-5
6.9,1.2469891E-5,1.3966814E-5,1.3966814E-5,1.0,0.0,5.3441294E-5,5.9856466E-5,5.9856466E-5,1.0,0.0,6.504535E-4,7.285209E-4,7.385136E-4,1.0137165,1.0E-5,0.006485529,0.0072625526,0.007282407,1.0027338,2.0E-5
7.0,8.7746275E-6,9.798473E-6,9.798473E-6,1.0,0.0,3.7605005E-5,4.199282E-5,4.199282E-5,1.0,0.0,4.5774475E-4,5.1115E-4,5.211449E-4,1.0195538,1.0E-5,0.00456803,0.0051004766,0.0051203747,1.0039012,2.0E-5
7.1,6.1067153E-6,6.8184086E-6,6.8184086E-6,1.0,0.0,2.6171374E-5,2.9221455E-5,2.9221455E-5,1.0,0.0,3.1858988E-4,3.5571872E-4,3.6571518E-4,1.028102,1.0E-5,0.0031813353,0.003552045,0.0035620094,1.0028052,1.0E-5
7.2,2.939283E-6,3.2763216E-6,3.2763216E-6,1.0,0.0,1.2596866E-5,1.4041313E-5,1.4041313E-5,1.0,0.0,1.5335606E-4,1.7094133E-4,1.8093962E-4,1.0584896,1.0E-5,0.0015325027,0.0017082706,0.0017182536,1.0058439,1.0E-5
7.3,7.2387763E-7,8.013592E-7,8.013592E-7,1.0,0.0,3.102329E-6,3.4343946E-6,3.4343946E-6,1.0,0.0,3.77702E-5,4.181341E-5,4.181341E-5,1.0,0.0,3.7763783E-4,4.1810048E-4,4.1810048E-4,1.0,0.0
7.4,3.112171E-8,3.207414E-8,3.207414E-8,1.0,0.0,1.3337875E-7,1.3746059E-7,1.3746059E-7,1.0,0.0,1.6238852E-6,1.6735816E-6,1.6735816E-6,1.0,0.0,1.6238733E-5,1.6735697E-5,1.6735697E-5,1.0,0.0
