Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.4353277E-5,7.063632E-5,7.063632E-5,1.0,0.0,2.3292181E-4,3.0269055E-4,3.0269055E-4,1.0,0.0,0.0028321352,0.0036790557,0.0036790557,1.0,0.0,0.02796312,0.036182955,0.036202233,1.0005327,2.0E-5
6.1,4.5578287E-5,5.8329213E-5,5.8329213E-5,1.0,0.0,1.953209E-4,2.499577E-4,2.499577E-4,1.0,0.0,0.0023754383,0.0030389957,0.0030389957,1.0,0.0,0.023502063,0.029973958,0.029983658,1.0003237,1.0E-5
6.2,2.8536782E-5,3.479434E-5,3.479434E-5,1.0,0.0,1.2229476E-4,1.4911048E-4,1.4911048E-4,1.0,0.0,0.0014879217,0.0018138902,0.0018138902,1.0,0.0,0.014779986,0.017987756,0.017987756,1.0,0.0
6.3,2.3698774E-5,2.8258217E-5,2.8258217E-5,1.0,0.0,1.01562226E-4,1.2110132E-4,1.2110132E-4,1.0,0.0,0.0012358186,0.0014733992,0.0014733992,1.0,0.0,0.012289686,0.014634381,0.014634381,1.0,0.0
6.4,1.9191197E-5,2.2155504E-5,2.2155504E-5,1.0,0.0,8.2245395E-5,9.4948926E-5,9.4948926E-5,1.0,0.0,0.0010008777,0.0011553937,0.0011553937,1.0,0.0,0.009963818,0.011493738,0.011493738,1.0,0.0
6.5,1.5203241E-5,1.6823375E-5,1.6823375E-5,1.0,0.0,6.5155116E-5,7.209836E-5,7.209836E-5,1.0,0.0,7.9297484E-4,8.7745994E-4,8.7745994E-4,1.0,0.0,0.007901512,0.008741017,0.008741017,1.0,0.0
6.6,1.0984925E-5,1.1254303E-5,1.1254303E-5,1.0,0.0,4.70774E-5,4.8231857E-5,4.8231857E-5,1.0,0.0,5.730166E-4,5.8706856E-4,5.8706856E-4,1.0,0.0,0.005715413,0.005855567,0.005855567,1.0,0.0
6.7,9.134616E-6,9.028833E-6,9.028833E-6,1.0,0.0,3.9147766E-5,3.8694438E-5,3.8694438E-5,1.0,0.0,4.7651984E-4,4.7100533E-4,4.7100533E-4,1.0,0.0,0.004754993,0.004700316,0.004700316,1.0,0.0
6.8,7.785589E-6,7.4592995E-6,7.4592995E-6,1.0,0.0,3.3366385E-5,3.1968048E-5,3.1968048E-5,1.0,0.0,4.0616E-4,3.8914348E-4,3.8914348E-4,1.0,0.0,0.0040541845,0.003884825,0.003884825,1.0,0.0
6.9,5.579095E-6,4.903351E-6,4.903351E-6,1.0,0.0,2.3910188E-5,2.1014199E-5,2.1014199E-5,1.0,0.0,2.9106764E-4,2.5581924E-4,2.5581924E-4,1.0,0.0,0.002906867,0.002555385,0.002555385,1.0,0.0
7.0,2.6816688E-6,1.5229923E-6,1.5229923E-6,1.0,0.0,1.1492816E-5,6.5270942E-6,6.5270942E-6,1.0,0.0,1.3991605E-4,7.946456E-5,7.946456E-5,1.0,0.0,0.0013982799,7.943702E-4,7.943702E-4,1.0,0.0
7.1,1.9951021E-6,7.4613195E-7,7.4613195E-7,1.0,0.0,8.55041E-6,3.1977045E-6,3.1977045E-6,1.0,0.0,1.0409627E-4,3.89314E-5,3.89314E-5,1.0,0.0,0.0010404752,3.8924994E-4,3.8924994E-4,1.0,0.0
7.2,1.9951021E-6,7.4613195E-7,7.4613195E-7,1.0,0.0,8.55041E-6,3.1977045E-6,3.1977045E-6,1.0,0.0,1.0409627E-4,3.89314E-5,3.89314E-5,1.0,0.0,0.0010404752,3.8924994E-4,3.8924994E-4,1.0,0.0
7.3,1.7087556E-6,6.5846945E-7,6.5846945E-7,1.0,0.0,7.3232177E-6,2.822009E-6,2.822009E-6,1.0,0.0,8.915652E-5,3.435746E-5,3.435746E-5,1.0,0.0,8.9120766E-4,3.4352555E-4,3.4352555E-4,1.0,0.0
7.4,1.3804846E-6,6.078403E-7,6.078403E-7,1.0,0.0,5.916349E-6,2.6050277E-6,2.6050277E-6,1.0,0.0,7.2029165E-5,3.171579E-5,3.171579E-5,1.0,0.0,7.200583E-4,3.1711665E-4,3.1711665E-4,1.0,0.0
7.5,1.3804846E-6,6.078403E-7,6.078403E-7,1.0,0.0,5.916349E-6,2.6050277E-6,2.6050277E-6,1.0,0.0,7.2029165E-5,3.171579E-5,3.171579E-5,1.0,0.0,7.200583E-4,3.1711665E-4,3.1711665E-4,1.0,0.0
