Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.8099583E-5,2.9863664E-5,2.9863664E-5,1.0,0.0,1.20421224E-4,1.2798126E-4,1.2798126E-4,1.0,0.0,0.0014651422,0.0015571315,0.001567116,1.006412,1.0E-5,0.0145552,0.015469745,0.01547959,1.0006365,1.0E-5
6.1,2.483194E-5,2.5934001E-5,2.5934001E-5,1.0,0.0,1.0641825E-4,1.1114133E-4,1.1114133E-4,1.0,0.0,0.0012948721,0.001352369,0.0013623554,1.0073844,1.0E-5,0.012873529,0.013447808,0.013457674,1.0007336,1.0E-5
6.2,2.483194E-5,2.5934001E-5,2.5934001E-5,1.0,0.0,1.0641825E-4,1.1114133E-4,1.1114133E-4,1.0,0.0,0.0012948721,0.001352369,0.0013623554,1.0073844,1.0E-5,0.012873529,0.013447808,0.013457674,1.0007336,1.0E-5
6.3,2.0257901E-5,2.0419126E-5,2.0419126E-5,1.0,0.0,8.681669E-5,8.7507826E-5,8.7507826E-5,1.0,0.0,0.0010564806,0.0010649286,0.001074918,1.0093803,1.0E-5,0.01051472,0.010602431,0.010612326,1.0009332,1.0E-5
6.4,1.8054898E-5,1.7798135E-5,1.7798135E-5,1.0,0.0,7.737584E-5,7.627568E-5,7.627568E-5,1.0,0.0,9.416436E-4,9.2829845E-4,9.3828916E-4,1.0107625,1.0E-5,0.009376635,0.009247954,0.009257861,1.0010713,1.0E-5
6.5,1.34804895E-5,1.233203E-5,1.233203E-5,1.0,0.0,5.777225E-5,5.2850508E-5,5.2850508E-5,1.0,0.0,7.031501E-4,6.432691E-4,6.5326266E-4,1.0155356,1.0E-5,0.007009294,0.006414509,0.0064244447,1.001549,1.0E-5
6.6,1.294883E-5,1.174291E-5,1.174291E-5,1.0,0.0,5.5493805E-5,5.032581E-5,5.032581E-5,1.0,0.0,6.754276E-4,6.1254855E-4,6.2254246E-4,1.0163152,1.0E-5,0.006733784,0.0061090277,0.0061189667,1.001627,1.0E-5
6.7,1.1272237E-5,9.820828E-6,9.820828E-6,1.0,0.0,4.8308695E-5,4.20886E-5,4.20886E-5,1.0,0.0,5.879996E-4,5.1231094E-4,5.2230584E-4,1.0195094,1.0E-5,0.005864462,0.005111584,0.005121533,1.0019463,1.0E-5
6.8,9.8337505E-6,8.201513E-6,8.201513E-6,1.0,0.0,4.2143965E-5,3.5148878E-5,3.5148878E-5,1.0,0.0,5.1298196E-4,4.2785562E-4,4.3785135E-4,1.0233624,1.0E-5,0.005117994,0.0042705294,0.0042804866,1.0023316,1.0E-5
6.9,7.4224813E-6,5.418353E-6,5.418353E-6,1.0,0.0,3.1810247E-5,2.3221313E-5,2.3221313E-5,1.0,0.0,3.872209E-4,2.8268422E-4,2.8268422E-4,1.0,0.0,0.0038654688,0.0028233875,0.0028233875,1.0,0.0
7.0,4.4628923E-6,2.0129582E-6,2.0129582E-6,1.0,0.0,1.912654E-5,8.626936E-6,8.626936E-6,1.0,0.0,2.3284076E-4,1.05028E-4,1.05028E-4,1.0,0.0,0.0023259693,0.0010497952,0.0010497952,1.0,0.0
7.1,3.5546527E-6,1.186776E-6,1.186776E-6,1.0,0.0,1.5234136E-5,5.0861736E-6,5.0861736E-6,1.0,0.0,1.8545982E-4,6.1922474E-5,6.1922474E-5,1.0,0.0,0.0018530512,6.1905896E-4,6.1905896E-4,1.0,0.0
7.2,3.2039936E-6,1.1264967E-6,1.1264967E-6,1.0,0.0,1.3731329E-5,4.8278343E-6,4.8278343E-6,1.0,0.0,1.671661E-4,5.877737E-5,5.877737E-5,1.0,0.0,0.0016704041,5.8762496E-4,5.8762496E-4,1.0,0.0
7.3,2.8120473E-6,1.0314657E-6,1.0314657E-6,1.0,0.0,1.2051575E-5,4.42056E-6,4.42056E-6,1.0,0.0,1.4671806E-4,5.3819058E-5,5.3819058E-5,1.0,0.0,0.0014662122,5.3806684E-4,5.3806684E-4,1.0,0.0
7.4,2.4837766E-6,9.808412E-7,9.808412E-7,1.0,0.0,1.0644713E-5,4.2035986E-6,4.2035986E-6,1.0,0.0,1.2959167E-4,5.1177678E-5,5.1177678E-5,1.0,0.0,0.0012951613,5.116655E-4,5.116655E-4,1.0,0.0
7.5,1.5002679E-6,6.550841E-7,6.550841E-7,1.0,0.0,6.4297037E-6,2.8075003E-6,2.8075003E-6,1.0,0.0,7.827883E-5,3.4180823E-5,3.4180823E-5,1.0,0.0,7.825126E-4,3.4175982E-4,3.4175982E-4,1.0,0.0
