Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.24487615E-5,1.2600646E-5,1.2600646E-5,1.0,0.0,5.3350745E-5,5.4001677E-5,5.4001677E-5,1.0,0.0,6.4935174E-4,6.572768E-4,6.572768E-4,1.0,0.0,0.0064745755,0.006553816,0.0065637506,1.0015159,1.0E-5
6.1,1.24487615E-5,1.2600646E-5,1.2600646E-5,1.0,0.0,5.3350745E-5,5.4001677E-5,5.4001677E-5,1.0,0.0,6.4935174E-4,6.572768E-4,6.572768E-4,1.0,0.0,0.0064745755,0.006553816,0.0065637506,1.0015159,1.0E-5
6.2,1.24487615E-5,1.2600646E-5,1.2600646E-5,1.0,0.0,5.3350745E-5,5.4001677E-5,5.4001677E-5,1.0,0.0,6.4935174E-4,6.572768E-4,6.572768E-4,1.0,0.0,0.0064745755,0.006553816,0.0065637506,1.0015159,1.0E-5
6.3,1.24487615E-5,1.2600646E-5,1.2600646E-5,1.0,0.0,5.3350745E-5,5.4001677E-5,5.4001677E-5,1.0,0.0,6.4935174E-4,6.572768E-4,6.572768E-4,1.0,0.0,0.0064745755,0.006553816,0.0065637506,1.0015159,1.0E-5
6.4,1.2431024E-5,1.25812485E-5,1.25812485E-5,1.0,0.0,5.327473E-5,5.391855E-5,5.391855E-5,1.0,0.0,6.4842677E-4,6.5626524E-4,6.5626524E-4,1.0,0.0,0.0064653796,0.0065437607,0.0065536955,1.0015181,1.0E-5
6.5,1.1242222E-5,1.1324769E-5,1.1324769E-5,1.0,0.0,4.8180063E-5,4.8533835E-5,4.8533835E-5,1.0,0.0,5.864344E-4,5.907419E-4,5.907419E-4,1.0,0.0,0.0058488925,0.005892003,0.005901944,1.0016872,1.0E-5
6.6,1.1234066E-5,1.1315878E-5,1.1315878E-5,1.0,0.0,4.8145106E-5,4.849573E-5,4.849573E-5,1.0,0.0,5.86009E-4,5.9027824E-4,5.9027824E-4,1.0,0.0,0.005844661,0.005887391,0.005897332,1.0016886,1.0E-5
6.7,1.12294E-5,1.1310617E-5,1.1310617E-5,1.0,0.0,4.812511E-5,4.8473186E-5,4.8473186E-5,1.0,0.0,5.857657E-4,5.900039E-4,5.900039E-4,1.0,0.0,0.0058422405,0.005884662,0.005894603,1.0016893,1.0E-5
6.8,1.0252819E-5,1.0224649E-5,1.0224649E-5,1.0,0.0,4.3939912E-5,4.38192E-5,4.38192E-5,1.0,0.0,5.3483713E-4,5.333703E-4,5.333703E-4,1.0,0.0,0.005335517,0.005321128,0.005331075,1.0018693,1.0E-5
6.9,9.252289E-6,9.115767E-6,9.115767E-6,1.0,0.0,3.9652066E-5,3.9067E-5,3.9067E-5,1.0,0.0,4.8265693E-4,4.7553855E-4,4.7553855E-4,1.0,0.0,0.0048161,0.0047453833,0.004755336,1.0020974,1.0E-5
