Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1270982E-4,2.007276E-4,2.007276E-4,1.0,0.0,4.8295266E-4,8.5990224E-4,8.5990224E-4,1.0,0.0,0.0058641075,0.010409014,0.010409014,1.0,0.0,0.057117578,0.09823343,0.098242454,1.0000918,1.0E-5
6.1,1.1239393E-4,2.0020772E-4,2.0020772E-4,1.0,0.0,4.8159933E-4,8.57676E-4,8.57676E-4,1.0,0.0,0.0058477195,0.010382194,0.010382194,1.0,0.0,0.056962132,0.0979914,0.09800042,1.000092,1.0E-5
6.2,7.596265E-5,1.2964672E-4,1.2964672E-4,1.0,0.0,3.2551357E-4,5.5547565E-4,5.5547565E-4,1.0,0.0,0.0039559277,0.006737259,0.006737259,1.0,0.0,0.038862433,0.06473263,0.064741984,1.0001445,1.0E-5
6.3,6.78794E-5,1.1476232E-4,1.1476232E-4,1.0,0.0,2.9087928E-4,4.917101E-4,4.917101E-4,1.0,0.0,0.003535705,0.005966908,0.005966908,1.0,0.0,0.034799766,0.05759337,0.057602797,1.0001637,1.0E-5
6.4,6.2165134E-5,1.0461017E-4,1.0461017E-4,1.0,0.0,2.6639478E-4,4.482206E-4,4.482206E-4,1.0,0.0,0.0032385332,0.005440778,0.005440778,1.0,0.0,0.03191742,0.052671332,0.052680805,1.0001799,1.0E-5
6.5,5.4368087E-5,9.092733E-5,9.092733E-5,1.0,0.0,2.3298527E-4,3.8960789E-4,3.8960789E-4,1.0,0.0,0.0028329059,0.0047311783,0.0047311783,1.0,0.0,0.027970633,0.045984935,0.045994475,1.0002074,1.0E-5
6.6,4.729947E-5,7.865738E-5,7.865738E-5,1.0,0.0,2.0269625E-4,3.370424E-4,3.370424E-4,1.0,0.0,0.002465034,0.004094365,0.004094365,1.0,0.0,0.02437869,0.039939996,0.039939996,1.0,0.0
6.7,3.6875328E-5,6.0598668E-5,6.0598668E-5,1.0,0.0,1.5802756E-4,2.596651E-4,2.596651E-4,1.0,0.0,0.0019222875,0.003156189,0.003156189,1.0,0.0,0.019057442,0.030966518,0.030966518,1.0,0.0
6.8,2.0292036E-5,2.9029263E-5,2.9029263E-5,1.0,0.0,8.6962966E-5,1.2440512E-4,1.2440512E-4,1.0,0.0,0.0010582599,0.0015135662,0.0015135662,1.0,0.0,0.010532344,0.015005484,0.015005484,1.0,0.0
6.9,1.7871042E-5,2.4513505E-5,2.4513505E-5,1.0,0.0,7.658793E-5,1.0505364E-4,1.0505364E-4,1.0,0.0,9.320591E-4,0.0012782769,0.0012782769,1.0,0.0,0.009281595,0.012701105,0.012701105,1.0,0.0
7.0,1.6415532E-5,2.1944035E-5,2.1944035E-5,1.0,0.0,7.035038E-5,9.40425E-5,9.40425E-5,1.0,0.0,8.561793E-4,0.0011443672,0.0011443672,1.0,0.0,0.008528882,0.011384179,0.011384179,1.0,0.0
7.1,1.5409885E-5,2.0382742E-5,2.0382742E-5,1.0,0.0,6.6040695E-5,8.73517E-5,8.73517E-5,1.0,0.0,8.0374884E-4,0.0010629907,0.0010629907,1.0,0.0,0.00800848,0.010579585,0.010579585,1.0,0.0
7.2,1.4497423E-5,1.908943E-5,1.908943E-5,1.0,0.0,6.213033E-5,8.1809296E-5,8.1809296E-5,1.0,0.0,7.5617427E-4,9.955761E-4,9.955761E-4,1.0,0.0,0.0075360634,0.009911926,0.009911926,1.0,0.0
7.3,1.3615175E-5,1.7854063E-5,1.7854063E-5,1.0,0.0,5.8349444E-5,7.651519E-5,7.651519E-5,1.0,0.0,7.101729E-4,9.3117723E-4,9.3117723E-4,1.0,0.0,0.0070790765,0.009273393,0.009273393,1.0,0.0
7.4,1.2252825E-5,1.6050424E-5,1.6050424E-5,1.0,0.0,5.251105E-5,6.878573E-5,6.878573E-5,1.0,0.0,6.391345E-4,8.3714735E-4,8.3714735E-4,1.0,0.0,0.0063729943,0.008340557,0.008340557,1.0,0.0
7.5,1.0913301E-5,1.426277E-5,1.426277E-5,1.0,0.0,4.6770452E-5,6.112474E-5,6.112474E-5,1.0,0.0,5.6928146E-4,7.4394234E-4,7.4394234E-4,1.0,0.0,0.0056782532,0.0074151703,0.0074151703,1.0,0.0
7.6,8.623192E-6,1.1252371E-5,1.1252371E-5,1.0,0.0,3.6956015E-5,4.8223574E-5,4.8223574E-5,1.0,0.0,4.4984656E-4,5.869664E-4,5.869664E-4,1.0,0.0,0.00448937,0.0058545955,0.0058545955,1.0,0.0
7.7,2.0993634E-6,2.666951E-6,2.666951E-6,1.0,0.0,8.997241E-6,1.1429741E-5,1.1429741E-5,1.0,0.0,1.09535904E-4,1.3914828E-4,1.3914828E-4,1.0,0.0,0.0010948193,0.0013905906,0.0013905906,1.0,0.0
7.8,1.8428308E-7,2.17429E-7,2.17429E-7,1.0,0.0,7.897844E-7,9.3183826E-7,9.3183826E-7,1.0,0.0,9.615583E-6,1.1345075E-5,1.1345075E-5,1.0,0.0,9.615166E-5,1.1343791E-4,1.1343791E-4,1.0,0.0
