Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.105075E-6,4.114207E-6,4.114207E-6,1.0,0.0,1.7593058E-5,1.76322E-5,1.76322E-5,1.0,0.0,2.1417443E-4,2.1465153E-4,2.1465153E-4,1.0,0.0,0.0021396813,0.002144506,0.002164463,1.0093062,2.0E-5
6.1,4.105075E-6,4.114207E-6,4.114207E-6,1.0,0.0,1.7593058E-5,1.76322E-5,1.76322E-5,1.0,0.0,2.1417443E-4,2.1465153E-4,2.1465153E-4,1.0,0.0,0.0021396813,0.002144506,0.002164463,1.0093062,2.0E-5
6.2,4.105075E-6,4.114207E-6,4.114207E-6,1.0,0.0,1.7593058E-5,1.76322E-5,1.76322E-5,1.0,0.0,2.1417443E-4,2.1465153E-4,2.1465153E-4,1.0,0.0,0.0021396813,0.002144506,0.002164463,1.0093062,2.0E-5
6.3,4.105075E-6,4.114207E-6,4.114207E-6,1.0,0.0,1.7593058E-5,1.76322E-5,1.76322E-5,1.0,0.0,2.1417443E-4,2.1465153E-4,2.1465153E-4,1.0,0.0,0.0021396813,0.002144506,0.002164463,1.0093062,2.0E-5
6.4,4.105075E-6,4.114207E-6,4.114207E-6,1.0,0.0,1.7593058E-5,1.76322E-5,1.76322E-5,1.0,0.0,2.1417443E-4,2.1465153E-4,2.1465153E-4,1.0,0.0,0.0021396813,0.002144506,0.002164463,1.0093062,2.0E-5
6.5,2.9849807E-6,2.9735056E-6,2.9735056E-6,1.0,0.0,1.2792712E-5,1.2743534E-5,1.2743534E-5,1.0,0.0,1.5574014E-4,1.5514164E-4,1.5514164E-4,1.0,0.0,0.0015563103,0.0015503485,0.0015703174,1.0128803,2.0E-5
6.6,2.9849807E-6,2.9735056E-6,2.9735056E-6,1.0,0.0,1.2792712E-5,1.2743534E-5,1.2743534E-5,1.0,0.0,1.5574014E-4,1.5514164E-4,1.5514164E-4,1.0,0.0,0.0015563103,0.0015503485,0.0015703174,1.0128803,2.0E-5
6.7,2.6756725E-6,2.6585362E-6,2.6585362E-6,1.0,0.0,1.1467117E-5,1.1393678E-5,1.1393678E-5,1.0,0.0,1.396032E-4,1.3870929E-4,1.3870929E-4,1.0,0.0,0.0013951553,0.0013862381,0.0014062104,1.0144075,2.0E-5
6.8,2.3283721E-6,2.3050554E-6,2.3050554E-6,1.0,0.0,9.9787E-6,9.878772E-6,9.878772E-6,1.0,0.0,1.214839E-4,1.2026748E-4,1.2026748E-4,1.0,0.0,0.001214175,0.0012020314,0.0012120194,1.0083092,1.0E-5
6.9,2.0972677E-6,2.0698922E-6,2.0698922E-6,1.0,0.0,8.988259E-6,8.870937E-6,8.870937E-6,1.0,0.0,1.0942656E-4,1.0799836E-4,1.0799836E-4,1.0,0.0,0.0010937268,0.0010794646,0.0010894538,1.0092539,1.0E-5
7.0,1.7132242E-6,1.6789111E-6,1.6789111E-6,1.0,0.0,7.3423685E-6,7.1953136E-6,7.1953136E-6,1.0,0.0,8.938967E-5,8.759946E-5,8.759946E-5,1.0,0.0,8.935372E-4,8.756531E-4,8.856444E-4,1.01141,1.0E-5
7.1,1.4215541E-6,1.3817482E-6,1.3817482E-6,1.0,0.0,6.0923603E-6,5.9217646E-6,5.9217646E-6,1.0,0.0,7.417196E-5,7.209513E-5,7.209513E-5,1.0,0.0,7.414721E-4,7.207201E-4,7.3071284E-4,1.013865,1.0E-5
7.2,9.097853E-7,8.604909E-7,8.604909E-7,1.0,0.0,3.899074E-6,3.687813E-6,3.687813E-6,1.0,0.0,4.7470192E-5,4.489821E-5,4.489821E-5,1.0,0.0,4.7460053E-4,4.4889248E-4,4.5888798E-4,1.0222671,1.0E-5
7.3,6.144169E-7,5.628989E-7,5.628989E-7,1.0,0.0,2.6332125E-6,2.4124215E-6,2.4124215E-6,1.0,0.0,3.205889E-5,2.9370842E-5,2.9370842E-5,1.0,0.0,3.2054266E-4,2.936701E-4,3.0366718E-4,1.0340418,1.0E-5
7.4,4.049844E-7,3.5733652E-7,3.5733652E-7,1.0,0.0,1.7356463E-6,1.5314414E-6,1.5314414E-6,1.0,0.0,2.1131287E-5,1.8645142E-5,1.8645142E-5,1.0,0.0,2.1129279E-4,1.8643602E-4,1.8643602E-4,1.0,0.0
7.5,1.9871162E-7,1.5833245E-7,1.5833245E-7,1.0,0.0,8.5162094E-7,6.7856746E-7,6.7856746E-7,1.0,0.0,1.0368436E-5,8.261529E-6,8.261529E-6,1.0,0.0,1.0367952E-4,8.26123E-5,8.26123E-5,1.0,0.0
7.6,2.572245E-8,1.7356268E-8,1.7356268E-8,1.0,0.0,1.10239064E-7,7.4384E-8,7.4384E-8,1.0,0.0,1.3421597E-6,9.0562486E-7,9.0562486E-7,1.0,0.0,1.3421517E-5,9.056217E-6,9.056217E-6,1.0,0.0
