Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.431637E-6,9.743547E-6,9.743547E-6,1.0,0.0,4.0420677E-5,4.1757463E-5,4.1757463E-5,1.0,0.0,4.920106E-4,5.082916E-4,5.482713E-4,1.078655,4.0E-5,0.004909227,0.0050725834,0.005162127,1.0176524,9.0E-5
6.1,9.431637E-6,9.743547E-6,9.743547E-6,1.0,0.0,4.0420677E-5,4.1757463E-5,4.1757463E-5,1.0,0.0,4.920106E-4,5.082916E-4,5.482713E-4,1.078655,4.0E-5,0.004909227,0.0050725834,0.005162127,1.0176524,9.0E-5
6.2,9.431637E-6,9.743547E-6,9.743547E-6,1.0,0.0,4.0420677E-5,4.1757463E-5,4.1757463E-5,1.0,0.0,4.920106E-4,5.082916E-4,5.482713E-4,1.078655,4.0E-5,0.004909227,0.0050725834,0.005162127,1.0176524,9.0E-5
6.3,9.431637E-6,9.743547E-6,9.743547E-6,1.0,0.0,4.0420677E-5,4.1757463E-5,4.1757463E-5,1.0,0.0,4.920106E-4,5.082916E-4,5.482713E-4,1.078655,4.0E-5,0.004909227,0.0050725834,0.005162127,1.0176524,9.0E-5
6.4,5.144063E-6,5.3010276E-6,5.3010276E-6,1.0,0.0,2.2045799E-5,2.271851E-5,2.271851E-5,1.0,0.0,2.6837454E-4,2.7656622E-4,2.8656345E-4,1.0361477,1.0E-5,0.0026805066,0.002762561,0.0027825057,1.0072197,2.0E-5
6.5,5.144063E-6,5.3010276E-6,5.3010276E-6,1.0,0.0,2.2045799E-5,2.271851E-5,2.271851E-5,1.0,0.0,2.6837454E-4,2.7656622E-4,2.8656345E-4,1.0361477,1.0E-5,0.0026805066,0.002762561,0.0027825057,1.0072197,2.0E-5
6.6,3.4009804E-6,3.4993816E-6,3.4993816E-6,1.0,0.0,1.4575549E-5,1.4997273E-5,1.4997273E-5,1.0,0.0,1.7744285E-4,1.8257811E-4,1.9257628E-4,1.054761,1.0E-5,0.0017730123,0.0018244388,0.0018444023,1.0109422,2.0E-5
6.7,3.3880428E-6,3.4862471E-6,3.4862471E-6,1.0,0.0,1.4520103E-5,1.49409825E-5,1.49409825E-5,1.0,0.0,1.767679E-4,1.8189289E-4,1.9189106E-4,1.0549674,1.0E-5,0.0017662736,0.0018175978,0.0018375615,1.0109836,2.0E-5
6.8,2.6582E-6,2.7341598E-6,2.7341598E-6,1.0,0.0,1.1392236E-5,1.1717782E-5,1.1717782E-5,1.0,0.0,1.3869164E-4,1.42656E-4,1.5265458E-4,1.0700887,1.0E-5,0.0013860512,0.0014257764,0.0014457479,1.0140074,2.0E-5
6.9,2.406011E-6,2.4747446E-6,2.4747446E-6,1.0,0.0,1.0311434E-5,1.0606013E-5,1.0606013E-5,1.0,0.0,1.2553448E-4,1.2912188E-4,1.3912059E-4,1.0774362,1.0E-5,0.0012546359,0.0012905982,0.0013005852,1.0077384,1.0E-5
7.0,1.6953097E-6,1.743227E-6,1.743227E-6,1.0,0.0,7.265593E-6,7.4709574E-6,7.4709574E-6,1.0,0.0,8.8455E-5,9.095616E-5,9.095616E-5,1.0,0.0,8.84198E-4,9.092921E-4,9.092921E-4,1.0,0.0
7.1,3.5013824E-7,3.5719052E-7,3.5719052E-7,1.0,0.0,1.5005916E-6,1.5308157E-6,1.5308157E-6,1.0,0.0,1.826955E-5,1.8637524E-5,1.8637524E-5,1.0,0.0,1.8268047E-4,1.8635986E-4,1.8635986E-4,1.0,0.0
7.2,2.2321095E-7,2.2753163E-7,2.2753163E-7,1.0,0.0,9.56618E-7,9.751352E-7,9.751352E-7,1.0,0.0,1.1646762E-5,1.1872207E-5,1.1872207E-5,1.0,0.0,1.1646151E-4,1.18715834E-4,1.18715834E-4,1.0,0.0
7.3,1.5760406E-7,1.6062734E-7,1.6062734E-7,1.0,0.0,6.7544585E-7,6.884027E-7,6.884027E-7,1.0,0.0,8.223522E-6,8.381271E-6,8.381271E-6,1.0,0.0,8.2232174E-5,8.380961E-5,8.380961E-5,1.0,0.0
7.4,1.1216497E-7,1.14330035E-7,1.14330035E-7,1.0,0.0,4.8070694E-7,4.899858E-7,4.899858E-7,1.0,0.0,5.852591E-6,5.965561E-6,5.965561E-6,1.0,0.0,5.8524372E-5,5.9654052E-5,5.9654052E-5,1.0,0.0
7.5,4.885185E-8,4.979338E-8,4.979338E-8,1.0,0.0,2.0936506E-7,2.1340018E-7,2.1340018E-7,1.0,0.0,2.5490165E-6,2.5981442E-6,2.5981442E-6,1.0,0.0,2.5489873E-5,2.5981157E-5,2.5981157E-5,1.0,0.0
7.6,1.504641E-9,1.5319538E-9,1.5319538E-9,1.0,0.0,6.4484613E-9,6.565516E-9,6.565516E-9,1.0,0.0,7.851001E-8,7.9935155E-8,7.9935155E-8,1.0,0.0,7.8509987E-7,7.993516E-7,7.993516E-7,1.0,0.0
