Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1549387E-5,1.6427497E-5,1.6427497E-5,1.0,0.0,4.9496433E-5,7.0401744E-5,8.0401034E-5,1.1420319,1.0E-5,6.0245243E-4,8.5681916E-4,8.668106E-4,1.011661,1.0E-5,0.006008218,0.008563137,0.008612708,1.005789,5.0E-5
6.1,1.1549387E-5,1.6427497E-5,1.6427497E-5,1.0,0.0,4.9496433E-5,7.0401744E-5,8.0401034E-5,1.1420319,1.0E-5,6.0245243E-4,8.5681916E-4,8.668106E-4,1.011661,1.0E-5,0.006008218,0.008563137,0.008612708,1.005789,5.0E-5
6.2,1.1549387E-5,1.6427497E-5,1.6427497E-5,1.0,0.0,4.9496433E-5,7.0401744E-5,8.0401034E-5,1.1420319,1.0E-5,6.0245243E-4,8.5681916E-4,8.668106E-4,1.011661,1.0E-5,0.006008218,0.008563137,0.008612708,1.005789,5.0E-5
6.3,1.1549387E-5,1.6427497E-5,1.6427497E-5,1.0,0.0,4.9496433E-5,7.0401744E-5,8.0401034E-5,1.1420319,1.0E-5,6.0245243E-4,8.5681916E-4,8.668106E-4,1.011661,1.0E-5,0.006008218,0.008563137,0.008612708,1.005789,5.0E-5
6.4,1.1549387E-5,1.6427497E-5,1.6427497E-5,1.0,0.0,4.9496433E-5,7.0401744E-5,8.0401034E-5,1.1420319,1.0E-5,6.0245243E-4,8.5681916E-4,8.668106E-4,1.011661,1.0E-5,0.006008218,0.008563137,0.008612708,1.005789,5.0E-5
6.5,1.1549387E-5,1.6427497E-5,1.6427497E-5,1.0,0.0,4.9496433E-5,7.0401744E-5,8.0401034E-5,1.1420319,1.0E-5,6.0245243E-4,8.5681916E-4,8.668106E-4,1.011661,1.0E-5,0.006008218,0.008563137,0.008612708,1.005789,5.0E-5
6.6,9.202681E-6,1.3949962E-5,1.3949962E-5,1.0,0.0,3.9439463E-5,5.978423E-5,6.978363E-5,1.1672581,1.0E-5,4.800697E-4,7.27639E-4,7.376317E-4,1.013733,1.0E-5,0.004790339,0.0072799674,0.0073296037,1.0068182,5.0E-5
6.7,9.019164E-6,1.37555635E-5,1.37555635E-5,1.0,0.0,3.8652986E-5,5.8951133E-5,6.895055E-5,1.1696221,1.0E-5,4.7049852E-4,7.175027E-4,7.274955E-4,1.0139272,1.0E-5,0.004695036,0.007179262,0.007228903,1.0069145,5.0E-5
6.8,8.673558E-6,1.3377452E-5,1.3377452E-5,1.0,0.0,3.717186E-5,5.733073E-5,6.7330155E-5,1.1744165,1.0E-5,4.524734E-4,6.977869E-4,7.0777995E-4,1.014321,1.0E-5,0.0045155324,0.006983346,0.0070329965,1.0071099,5.0E-5
6.9,7.002255E-6,1.1580882E-5,1.1580882E-5,1.0,0.0,3.000932E-5,4.9631446E-5,5.9630947E-5,1.2014751,1.0E-5,3.653022E-4,6.041022E-4,6.140961E-4,1.0165435,1.0E-5,0.0036470229,0.006051803,0.0061015007,1.008212,5.0E-5
7.0,5.84644E-6,9.772933E-6,9.772933E-6,1.0,0.0,2.5055931E-5,4.188335E-5,5.1882933E-5,1.2387483,1.0E-5,3.0501327E-4,5.0981506E-4,5.1980995E-4,1.0196049,1.0E-5,0.0030459496,0.0051134485,0.0051631927,1.0097282,5.0E-5
7.1,5.54703E-6,9.427054E-6,9.427054E-6,1.0,0.0,2.377277E-5,4.0401057E-5,5.0400653E-5,1.2475083,1.0E-5,2.8939504E-4,4.917763E-4,5.017714E-4,1.0203245,1.0E-5,0.0028901845,0.004933867,0.0049836203,1.010084,5.0E-5
