Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.155064E-5,2.9558156E-5,2.9558156E-5,1.0,0.0,1.3521002E-4,1.2667188E-4,1.2667188E-4,1.0,0.0,0.001644939,0.0015411772,0.0015411772,1.0,0.0,0.01632816,0.015309093,0.015318939,1.0006433,1.0E-5
6.1,3.155064E-5,2.9558156E-5,2.9558156E-5,1.0,0.0,1.3521002E-4,1.2667188E-4,1.2667188E-4,1.0,0.0,0.001644939,0.0015411772,0.0015411772,1.0,0.0,0.01632816,0.015309093,0.015318939,1.0006433,1.0E-5
6.2,3.155064E-5,2.9558156E-5,2.9558156E-5,1.0,0.0,1.3521002E-4,1.2667188E-4,1.2667188E-4,1.0,0.0,0.001644939,0.0015411772,0.0015411772,1.0,0.0,0.01632816,0.015309093,0.015318939,1.0006433,1.0E-5
6.3,3.155064E-5,2.9558156E-5,2.9558156E-5,1.0,0.0,1.3521002E-4,1.2667188E-4,1.2667188E-4,1.0,0.0,0.001644939,0.0015411772,0.0015411772,1.0,0.0,0.01632816,0.015309093,0.015318939,1.0006433,1.0E-5
6.4,3.155064E-5,2.9558156E-5,2.9558156E-5,1.0,0.0,1.3521002E-4,1.2667188E-4,1.2667188E-4,1.0,0.0,0.001644939,0.0015411772,0.0015411772,1.0,0.0,0.01632816,0.015309093,0.015318939,1.0006433,1.0E-5
6.5,3.155064E-5,2.9558156E-5,2.9558156E-5,1.0,0.0,1.3521002E-4,1.2667188E-4,1.2667188E-4,1.0,0.0,0.001644939,0.0015411772,0.0015411772,1.0,0.0,0.01632816,0.015309093,0.015318939,1.0006433,1.0E-5
6.6,3.155064E-5,2.9558156E-5,2.9558156E-5,1.0,0.0,1.3521002E-4,1.2667188E-4,1.2667188E-4,1.0,0.0,0.001644939,0.0015411772,0.0015411772,1.0,0.0,0.01632816,0.015309093,0.015318939,1.0006433,1.0E-5
6.7,3.098897E-5,2.8895658E-5,2.8895658E-5,1.0,0.0,1.328031E-4,1.2383287E-4,1.2383287E-4,1.0,0.0,0.0016156785,0.0015066603,0.0015066603,1.0,0.0,0.016039822,0.014968595,0.014978445,1.000658,1.0E-5
6.8,3.0449872E-5,2.8270268E-5,2.8270268E-5,1.0,0.0,1.3049292E-4,1.2115287E-4,1.2115287E-4,1.0,0.0,0.0015875935,0.0014740755,0.0014740755,1.0,0.0,0.015762992,0.014647045,0.014656899,1.0006727,1.0E-5
6.9,2.697928E-5,2.4246894E-5,2.4246894E-5,1.0,0.0,1.15620365E-4,1.0391124E-4,1.0391124E-4,1.0,0.0,0.0014067689,0.0012644067,0.0012644067,1.0,0.0,0.0139789665,0.012574538,0.012584412,1.0007852,1.0E-5
7.0,2.4893961E-5,2.1887097E-5,2.1887097E-5,1.0,0.0,1.0668404E-4,9.3798575E-5,9.3798575E-5,1.0,0.0,0.0012981043,0.0011414171,0.0011414171,1.0,0.0,0.012905477,0.0113575235,0.0113575235,1.0,0.0
7.1,2.0945363E-5,1.737568E-5,1.737568E-5,1.0,0.0,8.976275E-5,7.44651E-5,7.44651E-5,1.0,0.0,0.0010923136,9.0624025E-4,9.0624025E-4,1.0,0.0,0.0108696,0.009026072,0.009026072,1.0,0.0
7.2,2.0439404E-5,1.6830183E-5,1.6830183E-5,1.0,0.0,8.7594504E-5,7.212739E-5,7.212739E-5,1.0,0.0,0.0010659413,8.7780185E-4,8.7780185E-4,1.0,0.0,0.010608427,0.008743954,0.008743954,1.0,0.0
7.3,1.8463334E-5,1.5399663E-5,1.5399663E-5,1.0,0.0,7.912617E-5,6.599691E-5,6.599691E-5,1.0,0.0,9.6293533E-4,8.0322055E-4,8.0322055E-4,1.0,0.0,0.009587734,0.0080037275,0.0080037275,1.0,0.0
7.4,1.763139E-5,1.45335825E-5,1.45335825E-5,1.0,0.0,7.556091E-5,6.228532E-5,6.228532E-5,1.0,0.0,9.1956573E-4,7.580639E-4,7.580639E-4,1.0,0.0,0.009157699,0.0075552743,0.0075552743,1.0,0.0
7.5,1.3594944E-5,1.1177267E-5,1.1177267E-5,1.0,0.0,5.8262744E-5,4.7901707E-5,4.7901707E-5,1.0,0.0,7.0911803E-4,5.830498E-4,5.830498E-4,1.0,0.0,0.007068595,0.0058153905,0.0058153905,1.0,0.0
7.6,6.9889534E-6,5.6402573E-6,5.6402573E-6,1.0,0.0,2.9952313E-5,2.417231E-5,2.417231E-5,1.0,0.0,3.646084E-4,2.9425856E-4,2.9425856E-4,1.0,0.0,0.0036401073,0.0029387332,0.0029387332,1.0,0.0
7.7,4.0824193E-6,3.2858027E-6,3.2858027E-6,1.0,0.0,1.7495966E-5,1.4081937E-5,1.4081937E-5,1.0,0.0,2.1299256E-4,1.7143422E-4,1.7143422E-4,1.0,0.0,0.0021278851,0.0017130332,0.0017130332,1.0,0.0
7.8,1.7023609E-6,1.4378659E-6,1.4378659E-6,1.0,0.0,7.295812E-6,6.1622677E-6,6.1622677E-6,1.0,0.0,8.882289E-5,7.5023054E-5,7.5023054E-5,1.0,0.0,8.8787393E-4,7.499801E-4,7.499801E-4,1.0,0.0
7.9,2.721225E-7,2.2627142E-7,2.2627142E-7,1.0,0.0,1.1662388E-6,9.697343E-7,9.697343E-7,1.0,0.0,1.4198865E-5,1.1806454E-5,1.1806454E-5,1.0,0.0,1.4197957E-4,1.18058546E-4,1.18058546E-4,1.0,0.0
