Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.126063E-5,7.634066E-5,7.634066E-5,1.0,0.0,2.6251914E-4,3.2713648E-4,3.2713648E-4,1.0,0.0,0.0031914865,0.0039761513,0.0039861114,1.002505,1.0E-5,0.031460393,0.03910665,0.039135475,1.0007372,3.0E-5
6.1,6.126063E-5,7.634066E-5,7.634066E-5,1.0,0.0,2.6251914E-4,3.2713648E-4,3.2713648E-4,1.0,0.0,0.0031914865,0.0039761513,0.0039861114,1.002505,1.0E-5,0.031460393,0.03910665,0.039135475,1.0007372,3.0E-5
6.2,6.126063E-5,7.634066E-5,7.634066E-5,1.0,0.0,2.6251914E-4,3.2713648E-4,3.2713648E-4,1.0,0.0,0.0031914865,0.0039761513,0.0039861114,1.002505,1.0E-5,0.031460393,0.03910665,0.039135475,1.0007372,3.0E-5
6.3,4.0838047E-5,4.9816612E-5,4.9816612E-5,1.0,0.0,1.7500846E-4,2.1348346E-4,2.1348346E-4,1.0,0.0,0.0021286458,0.0025962745,0.0026062485,1.0038416,1.0E-5,0.021083709,0.025681108,0.025710339,1.0011382,3.0E-5
6.4,4.0838047E-5,4.9816612E-5,4.9816612E-5,1.0,0.0,1.7500846E-4,2.1348346E-4,2.1348346E-4,1.0,0.0,0.0021286458,0.0025962745,0.0026062485,1.0038416,1.0E-5,0.021083709,0.025681108,0.025710339,1.0011382,3.0E-5
6.5,3.0512005E-5,3.660697E-5,3.660697E-5,1.0,0.0,1.3075917E-4,1.5687822E-4,1.5687822E-4,1.0,0.0,0.0015908304,0.0019084351,0.001918416,1.00523,1.0E-5,0.015794903,0.018932411,0.018961843,1.0015546,3.0E-5
6.6,2.9255087E-5,3.519872E-5,3.519872E-5,1.0,0.0,1.2537291E-4,1.5084357E-4,1.5084357E-4,1.0,0.0,0.0015253464,0.001835087,0.0018450686,1.0054393,1.0E-5,0.015149189,0.018210962,0.018240416,1.0016173,3.0E-5
6.7,2.287198E-5,2.7280961E-5,2.7280961E-5,1.0,0.0,9.801909E-5,1.1691369E-4,1.1691369E-4,1.0,0.0,0.001192729,0.0014225866,0.0014325724,1.0070194,1.0E-5,0.011863477,0.014144056,0.014163773,1.001394,2.0E-5
6.8,2.1325764E-5,2.5462563E-5,2.5462563E-5,1.0,0.0,9.139293E-5,1.0912121E-4,1.0912121E-4,1.0,0.0,0.001112141,0.0013278315,0.0013378182,1.007521,1.0E-5,0.011065915,0.013208035,0.013227772,1.0014943,2.0E-5
6.9,1.9009392E-5,2.2640434E-5,2.2640434E-5,1.0,0.0,8.1466285E-5,9.702731E-5,9.702731E-5,1.0,0.0,9.914007E-4,0.001180755,0.0011907431,1.0084592,1.0E-5,0.009869894,0.01175352,0.011773285,1.0016816,2.0E-5
7.0,1.7098473E-5,2.034338E-5,2.034338E-5,1.0,0.0,7.3277115E-5,8.718348E-5,8.718348E-5,1.0,0.0,8.917837E-4,0.0010610274,0.0010710168,1.0094148,1.0E-5,0.008882134,0.010568073,0.010587862,1.0018725,2.0E-5
7.1,1.5982785E-5,1.9017229E-5,1.9017229E-5,1.0,0.0,6.849585E-5,8.1500344E-5,8.1500344E-5,1.0,0.0,8.336179E-4,9.918999E-4,0.0010018899,1.0100716,1.0E-5,0.008304977,0.009883111,0.009902913,1.0020037,2.0E-5
7.2,1.4468002E-5,1.721761E-5,1.721761E-5,1.0,0.0,6.200425E-5,7.378814E-5,7.378814E-5,1.0,0.0,7.546402E-4,8.9808455E-4,9.0807554E-4,1.0111248,1.0E-5,0.007520827,0.008952842,0.008972663,1.002214,2.0E-5
7.3,5.288233E-6,6.210522E-6,6.210522E-6,1.0,0.0,2.2663658E-5,2.6616448E-5,2.6616448E-5,1.0,0.0,2.7589512E-4,3.2404205E-4,3.2404205E-4,1.0,0.0,0.0027555283,0.003239127,0.003239127,1.0,0.0
7.4,8.279556E-7,8.409159E-7,8.409159E-7,1.0,0.0,3.5483763E-6,3.6039207E-6,3.6039207E-6,1.0,0.0,4.3200624E-5,4.3876924E-5,4.3876924E-5,1.0,0.0,4.3192226E-4,4.3868984E-4,4.3868984E-4,1.0,0.0
7.5,6.559831E-7,6.667907E-7,6.667907E-7,1.0,0.0,2.8113532E-6,2.8576715E-6,2.8576715E-6,1.0,0.0,3.4227687E-5,3.4791665E-5,3.4791665E-5,1.0,0.0,3.4222414E-4,3.478688E-4,3.478688E-4,1.0,0.0
7.6,3.5018968E-7,3.5623825E-7,3.5623825E-7,1.0,0.0,1.500812E-6,1.5267348E-6,1.5267348E-6,1.0,0.0,1.8272232E-5,1.8587883E-5,1.8587883E-5,1.0,0.0,1.8270731E-4,1.8586789E-4,1.8586789E-4,1.0,0.0
7.7,1.1986104E-7,1.2199719E-7,1.2199719E-7,1.0,0.0,5.1369005E-7,5.2284497E-7,5.2284497E-7,1.0,0.0,6.2541585E-6,6.3656194E-6,6.3656194E-6,1.0,0.0,6.2539824E-5,6.3654414E-5,6.3654414E-5,1.0,0.0
7.8,3.0445005E-8,3.103127E-8,3.103127E-8,1.0,0.0,1.3047858E-7,1.3299116E-7,1.3299116E-7,1.0,0.0,1.5885756E-6,1.6191664E-6,1.6191664E-6,1.0,0.0,1.5885644E-5,1.6191567E-5,1.6191567E-5,1.0,0.0
