Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.4194956E-5,4.7926223E-5,4.7926223E-5,1.0,0.0,1.893932E-4,2.0538286E-4,2.0538286E-4,1.0,0.0,0.0023034236,0.0024978323,0.0025177824,1.0079869,2.0E-5,0.022796938,0.024715133,0.024754144,1.0015785,4.0E-5
6.1,4.4194956E-5,4.7926223E-5,4.7926223E-5,1.0,0.0,1.893932E-4,2.0538286E-4,2.0538286E-4,1.0,0.0,0.0023034236,0.0024978323,0.0025177824,1.0079869,2.0E-5,0.022796938,0.024715133,0.024754144,1.0015785,4.0E-5
6.2,4.4194956E-5,4.7926223E-5,4.7926223E-5,1.0,0.0,1.893932E-4,2.0538286E-4,2.0538286E-4,1.0,0.0,0.0023034236,0.0024978323,0.0025177824,1.0079869,2.0E-5,0.022796938,0.024715133,0.024754144,1.0015785,4.0E-5
6.3,4.4194956E-5,4.7926223E-5,4.7926223E-5,1.0,0.0,1.893932E-4,2.0538286E-4,2.0538286E-4,1.0,0.0,0.0023034236,0.0024978323,0.0025177824,1.0079869,2.0E-5,0.022796938,0.024715133,0.024754144,1.0015785,4.0E-5
6.4,3.729929E-5,3.9666204E-5,3.9666204E-5,1.0,0.0,1.5984432E-4,1.6998747E-4,1.6998747E-4,1.0,0.0,0.0019443673,0.0020677263,0.002087685,1.0096525,2.0E-5,0.019274427,0.020494921,0.020534102,1.0019118,4.0E-5
6.5,3.729929E-5,3.9666204E-5,3.9666204E-5,1.0,0.0,1.5984432E-4,1.6998747E-4,1.6998747E-4,1.0,0.0,0.0019443673,0.0020677263,0.002087685,1.0096525,2.0E-5,0.019274427,0.020494921,0.020534102,1.0019118,4.0E-5
6.6,3.0204548E-5,3.125918E-5,3.125918E-5,1.0,0.0,1.2944164E-4,1.3396122E-4,1.3396122E-4,1.0,0.0,0.0015748127,0.0016297925,0.0016497598,1.0122515,2.0E-5,0.015636992,0.016182277,0.01622163,1.0024319,4.0E-5
6.7,2.9857754E-5,3.0868272E-5,3.0868272E-5,1.0,0.0,1.2795553E-4,1.3228608E-4,1.3228608E-4,1.0,0.0,0.0015567453,0.0016094277,0.0016293956,1.0124068,2.0E-5,0.015458848,0.015981574,0.016020933,1.0024629,4.0E-5
6.8,2.4819734E-5,2.5057692E-5,2.5057692E-5,1.0,0.0,1.0636595E-4,1.07385815E-4,1.07385815E-4,1.0,0.0,0.0012942362,0.0013066599,0.0013166468,1.0076431,1.0E-5,0.012867244,0.012992144,0.013011884,1.0015194,2.0E-5
6.9,2.331124E-5,2.3384897E-5,2.3384897E-5,1.0,0.0,9.990149E-5,1.0021725E-4,1.0021725E-4,1.0,0.0,0.001215622,0.0012194824,0.0012294702,1.0081902,1.0E-5,0.012089936,0.012130104,0.012149862,1.0016288,2.0E-5
7.0,2.1818534E-5,2.1807127E-5,2.1807127E-5,1.0,0.0,9.3504656E-5,9.3455885E-5,9.3455885E-5,1.0,0.0,0.0011378246,0.0011372514,0.0011472399,1.0087831,1.0E-5,0.011320163,0.011316423,0.011336197,1.0017474,2.0E-5
7.1,2.066081E-5,2.0585918E-5,2.0585918E-5,1.0,0.0,8.854332E-5,8.822249E-5,8.822249E-5,1.0,0.0,0.0010774818,0.0010735991,0.0010835885,1.0093044,1.0E-5,0.010722724,0.010686182,0.010705968,1.0018516,2.0E-5
7.2,1.8990233E-5,1.909835E-5,1.909835E-5,1.0,0.0,8.138417E-5,8.184761E-5,8.184761E-5,1.0,0.0,9.904018E-4,9.960585E-4,0.0010060485,1.0100296,1.0E-5,0.009859995,0.009917946,0.009937747,1.0019965,2.0E-5
7.3,1.3335872E-5,1.4947572E-5,1.4947572E-5,1.0,0.0,5.7152483E-5,6.405952E-5,6.405952E-5,1.0,0.0,6.956093E-4,7.796584E-4,7.796584E-4,1.0,0.0,0.006934359,0.007770534,0.0077804564,1.001277,1.0E-5
7.4,9.414066E-6,1.1899383E-5,1.1899383E-5,1.0,0.0,4.0345374E-5,5.0996412E-5,5.0996412E-5,1.0,0.0,4.910942E-4,6.2071386E-4,6.2071386E-4,1.0,0.0,0.0049001034,0.0061907535,0.0062006917,1.0016053,1.0E-5
7.5,7.2101157E-6,9.195691E-6,9.195691E-6,1.0,0.0,3.090013E-5,3.940955E-5,3.940955E-5,1.0,0.0,3.7614413E-4,4.797135E-4,4.797135E-4,1.0,0.0,0.0037550807,0.004787558,0.004787558,1.0,0.0
7.6,3.296375E-6,4.5814777E-6,4.5814777E-6,1.0,0.0,1.4127245E-5,1.9634765E-5,1.9634765E-5,1.0,0.0,1.7198564E-4,2.3902845E-4,2.3902845E-4,1.0,0.0,0.0017185259,0.0023878536,0.0023878536,1.0,0.0
7.7,2.5741092E-6,3.6181398E-6,3.6181398E-6,1.0,0.0,1.103185E-5,1.550623E-5,1.550623E-5,1.0,0.0,1.3430449E-4,1.8877332E-4,1.8877332E-4,1.0,0.0,0.0013422335,0.0018862621,0.0018862621,1.0,0.0
