Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2101656E-5,8.106869E-6,8.106869E-6,1.0,0.0,5.1863204E-5,3.4743294E-5,3.4743294E-5,1.0,0.0,6.312516E-4,4.2292316E-4,4.2292316E-4,1.0,0.0,0.0062946146,0.004221744,0.0042317016,1.0023587,1.0E-5
6.1,1.2101656E-5,8.106869E-6,8.106869E-6,1.0,0.0,5.1863204E-5,3.4743294E-5,3.4743294E-5,1.0,0.0,6.312516E-4,4.2292316E-4,4.2292316E-4,1.0,0.0,0.0062946146,0.004221744,0.0042317016,1.0023587,1.0E-5
6.2,1.2101656E-5,8.106869E-6,8.106869E-6,1.0,0.0,5.1863204E-5,3.4743294E-5,3.4743294E-5,1.0,0.0,6.312516E-4,4.2292316E-4,4.2292316E-4,1.0,0.0,0.0062946146,0.004221744,0.0042317016,1.0023587,1.0E-5
6.3,1.2101656E-5,8.106869E-6,8.106869E-6,1.0,0.0,5.1863204E-5,3.4743294E-5,3.4743294E-5,1.0,0.0,6.312516E-4,4.2292316E-4,4.2292316E-4,1.0,0.0,0.0062946146,0.004221744,0.0042317016,1.0023587,1.0E-5
6.4,1.2101656E-5,8.106869E-6,8.106869E-6,1.0,0.0,5.1863204E-5,3.4743294E-5,3.4743294E-5,1.0,0.0,6.312516E-4,4.2292316E-4,4.2292316E-4,1.0,0.0,0.0062946146,0.004221744,0.0042317016,1.0023587,1.0E-5
6.5,1.2101656E-5,8.106869E-6,8.106869E-6,1.0,0.0,5.1863204E-5,3.4743294E-5,3.4743294E-5,1.0,0.0,6.312516E-4,4.2292316E-4,4.2292316E-4,1.0,0.0,0.0062946146,0.004221744,0.0042317016,1.0023587,1.0E-5
6.6,1.0222488E-5,6.4066376E-6,6.4066376E-6,1.0,0.0,4.3809923E-5,2.7456743E-5,2.7456743E-5,1.0,0.0,5.332553E-4,3.3423703E-4,3.3423703E-4,1.0,0.0,0.0053197746,0.0033375889,0.0033375889,1.0,0.0
6.7,1.0222488E-5,6.4066376E-6,6.4066376E-6,1.0,0.0,4.3809923E-5,2.7456743E-5,2.7456743E-5,1.0,0.0,5.332553E-4,3.3423703E-4,3.3423703E-4,1.0,0.0,0.0053197746,0.0033375889,0.0033375889,1.0,0.0
6.8,8.6367845E-6,5.0349377E-6,5.0349377E-6,1.0,0.0,3.7014266E-5,2.157813E-5,2.157813E-5,1.0,0.0,4.505555E-4,2.6268262E-4,2.6268262E-4,1.0,0.0,0.004496431,0.0026237774,0.0026237774,1.0,0.0
6.9,8.066481E-6,4.8427073E-6,4.8427073E-6,1.0,0.0,3.4570177E-5,2.0754298E-5,2.0754298E-5,1.0,0.0,4.2081063E-4,2.526548E-4,2.526548E-4,1.0,0.0,0.0042001465,0.0025237296,0.0025237296,1.0,0.0
7.0,7.393828E-6,4.423614E-6,4.423614E-6,1.0,0.0,3.168745E-5,1.895821E-5,1.895821E-5,1.0,0.0,3.857264E-4,2.3079221E-4,2.3079221E-4,1.0,0.0,0.0038505755,0.0023055708,0.0023055708,1.0,0.0
7.1,6.4660953E-6,3.8098397E-6,3.8098397E-6,1.0,0.0,2.7711543E-5,1.6327784E-5,1.6327784E-5,1.0,0.0,3.373358E-4,1.9877299E-4,1.9877299E-4,1.0,0.0,0.0033682417,0.0019859879,0.0019859879,1.0,0.0
7.2,5.143232E-6,2.790794E-6,2.790794E-6,1.0,0.0,2.2042237E-5,1.1960492E-5,1.1960492E-5,1.0,0.0,2.6833118E-4,1.4560936E-4,1.4560936E-4,1.0,0.0,0.002680074,0.0014551493,0.0014551493,1.0,0.0
7.3,3.928255E-6,2.0951265E-6,2.0951265E-6,1.0,0.0,1.683527E-5,8.979083E-6,8.979083E-6,1.0,0.0,2.0495013E-4,1.0931492E-4,1.0931492E-4,1.0,0.0,0.002047612,0.0010926181,0.0010926181,1.0,0.0
7.4,2.7894434E-6,1.3579694E-6,1.3579694E-6,1.0,0.0,1.1954703E-5,5.819856E-6,5.819856E-6,1.0,0.0,1.4553878E-4,7.085449E-5,7.085449E-5,1.0,0.0,0.001454435,7.083234E-4,7.083234E-4,1.0,0.0
7.5,2.041735E-6,8.813832E-7,8.813832E-7,1.0,0.0,8.750263E-6,3.7773514E-6,3.7773514E-6,1.0,0.0,1.06529245E-4,4.5988316E-5,4.5988316E-5,1.0,0.0,0.0010647819,4.5979136E-4,4.5979136E-4,1.0,0.0
7.6,1.6959062E-6,6.7193025E-7,6.7193025E-7,1.0,0.0,7.268149E-6,2.879698E-6,2.879698E-6,1.0,0.0,8.848612E-5,3.5059787E-5,3.5059787E-5,1.0,0.0,8.84509E-4,3.5054548E-4,3.5054548E-4,1.0,0.0
7.7,1.4767965E-6,5.4228036E-7,5.4228036E-7,1.0,0.0,6.3291122E-6,2.3240568E-6,2.3240568E-6,1.0,0.0,7.705422E-5,2.8295051E-5,2.8295051E-5,1.0,0.0,7.702751E-4,2.8291706E-4,2.8291706E-4,1.0,0.0
