Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1064058E-4,6.7920564E-4,6.7920564E-4,1.0,0.0,0.0013306376,0.0029077625,0.0029077625,1.0,0.0,0.016080605,0.034796517,0.034999207,1.005825,2.1E-4,0.1496549,0.2881656,0.28873506,1.0019761,8.0E-4
6.1,3.1064058E-4,6.7920564E-4,6.7920564E-4,1.0,0.0,0.0013306376,0.0029077625,0.0029077625,1.0,0.0,0.016080605,0.034796517,0.034999207,1.005825,2.1E-4,0.1496549,0.2881656,0.28873506,1.0019761,8.0E-4
6.2,3.1064058E-4,6.7920564E-4,6.7920564E-4,1.0,0.0,0.0013306376,0.0029077625,0.0029077625,1.0,0.0,0.016080605,0.034796517,0.034999207,1.005825,2.1E-4,0.1496549,0.2881656,0.28873506,1.0019761,8.0E-4
6.3,3.1064058E-4,6.7920564E-4,6.7920564E-4,1.0,0.0,0.0013306376,0.0029077625,0.0029077625,1.0,0.0,0.016080605,0.034796517,0.034999207,1.005825,2.1E-4,0.1496549,0.2881656,0.28873506,1.0019761,8.0E-4
6.4,1.9872203E-4,4.3617075E-4,4.3617075E-4,1.0,0.0,8.5138786E-4,0.0018679925,0.0018679925,1.0,0.0,0.010316478,0.022511829,0.022717101,1.0091184,2.1E-4,0.098504856,0.19858454,0.1991776,1.0029864,7.4E-4
6.5,1.291105E-4,2.9168322E-4,2.9168322E-4,1.0,0.0,5.5321335E-4,0.0012494748,0.0012494748,1.0,0.0,0.006714592,0.0151070915,0.01530407,1.0130389,2.0E-4,0.065152965,0.1397406,0.14034277,1.0043093,7.0E-4
6.6,1.291105E-4,2.9168322E-4,2.9168322E-4,1.0,0.0,5.5321335E-4,0.0012494748,0.0012494748,1.0,0.0,0.006714592,0.0151070915,0.01530407,1.0130389,2.0E-4,0.065152965,0.1397406,0.14034277,1.0043093,7.0E-4
6.7,1.08001186E-4,2.474324E-4,2.474324E-4,1.0,0.0,4.6278012E-4,0.0010599942,0.0010599942,1.0,0.0,0.0056198016,0.012829375,0.013016938,1.0146197,1.9E-4,0.054797906,0.12091607,0.12151385,1.0049437,6.8E-4
6.8,1.0624356E-4,2.4259728E-4,2.4259728E-4,1.0,0.0,4.5525006E-4,0.0010392889,0.0010392889,1.0,0.0,0.0055285925,0.012580218,0.012767827,1.0149131,1.9E-4,0.053930566,0.1188645,0.119463675,1.0050408,6.8E-4
6.9,1.0393785E-4,2.3628546E-4,2.3628546E-4,1.0,0.0,4.4537184E-4,0.0010122594,0.0010122594,1.0,0.0,0.0054089287,0.012254877,0.012442548,1.015314,1.9E-4,0.05279156,0.11615953,0.11676054,1.005174,6.8E-4
7.0,1.0155622E-4,2.2996303E-4,2.2996303E-4,1.0,0.0,4.3516833E-4,9.85184E-4,9.85184E-4,1.0,0.0,0.005285311,0.011928884,0.0121166175,1.0157378,1.9E-4,0.05161361,0.1134194,0.11402228,1.0053154,6.8E-4
7.1,9.885595E-5,2.228272E-4,2.228272E-4,1.0,0.0,4.2359953E-4,9.5462456E-4,9.5462456E-4,1.0,0.0,0.0051451353,0.011560825,0.011748629,1.0162448,1.9E-4,0.05027629,0.11030747,0.11090357,1.0054039,6.7E-4
7.2,9.6411415E-5,2.1643845E-4,2.1643845E-4,1.0,0.0,4.1312634E-4,9.2726387E-4,9.2726387E-4,1.0,0.0,0.005018219,0.0112311905,0.011419057,1.0167272,1.9E-4,0.049064007,0.10749152,0.10808951,1.005563,6.7E-4
7.3,9.1180635E-5,1.9861555E-4,1.9861555E-4,1.0,0.0,3.907156E-4,8.509319E-4,8.509319E-4,1.0,0.0,0.004746591,0.010311002,0.010499043,1.0182369,1.9E-4,0.046464786,0.09966229,0.10026552,1.0060527,6.7E-4
7.4,8.887388E-5,1.9105745E-4,1.9105745E-4,1.0,0.0,3.8083247E-4,8.1856083E-4,8.1856083E-4,1.0,0.0,0.0046267817,0.009920541,0.010108656,1.0189621,1.9E-4,0.045316286,0.09628068,0.096877135,1.006195,6.6E-4
7.5,8.6750515E-5,1.8433185E-4,1.8433185E-4,1.0,0.0,3.7173493E-4,7.897545E-4,7.897545E-4,1.0,0.0,0.004516484,0.009572961,0.009761143,1.0196576,1.9E-4,0.04425787,0.09323329,0.09383175,1.0064191,6.6E-4
7.6,8.453092E-5,1.7815903E-4,1.7815903E-4,1.0,0.0,3.6222505E-4,7.6331536E-4,7.6331536E-4,1.0,0.0,0.0044011753,0.009253844,0.009442086,1.020342,1.9E-4,0.04315024,0.09037682,0.09097716,1.0066427,6.6E-4
7.7,8.259102E-5,1.7333911E-4,1.7333911E-4,1.0,0.0,3.539135E-4,7.426705E-4,7.426705E-4,1.0,0.0,0.004300386,0.009004599,0.009192889,1.0209104,1.9E-4,0.042181134,0.08811439,0.08871623,1.0068302,6.6E-4
7.8,7.444844E-5,1.5623191E-4,1.5623191E-4,1.0,0.0,3.1902574E-4,6.693936E-4,6.693936E-4,1.0,0.0,0.0038772223,0.008119465,0.008238491,1.0146593,1.2E-4,0.03810269,0.07981244,0.08026333,1.0056494,4.9E-4
7.9,5.2586525E-5,1.0239285E-4,1.0239285E-4,1.0,0.0,2.2535135E-4,4.387527E-4,4.387527E-4,1.0,0.0,0.0027402006,0.0053287423,0.0053685294,1.0074664,4.0E-5,0.027066574,0.05328448,0.05351169,1.0042641,2.4E-4
8.0,3.379877E-5,5.542803E-5,5.542803E-5,1.0,0.0,1.4484383E-4,2.3752709E-4,2.3752709E-4,1.0,0.0,0.0017620471,0.0028880592,0.0028880592,1.0,0.0,0.017481409,0.029497681,0.029555911,1.0019741,6.0E-5
8.1,1.8668277E-5,1.995436E-5,1.995436E-5,1.0,0.0,8.000444E-5,8.551589E-5,8.551589E-5,1.0,0.0,9.736188E-4,0.0010406593,0.0010406593,1.0,0.0,0.009693642,0.0111358855,0.011165552,1.002664,3.0E-5
8.2,8.541571E-6,5.7055104E-6,5.7055104E-6,1.0,0.0,3.660622E-5,2.445196E-5,2.445196E-5,1.0,0.0,4.455896E-4,2.9766202E-4,2.9766202E-4,1.0,0.0,0.0044469717,0.0033745696,0.0033745696,1.0,0.0
8.3,1.983087E-6,8.0695344E-7,8.0695344E-7,1.0,0.0,8.498917E-6,3.4583672E-6,3.4583672E-6,1.0,0.0,1.034694E-4,4.2104828E-5,4.2104828E-5,1.0,0.0,0.0010342124,4.95424E-4,4.95424E-4,1.0,0.0
