Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2336002E-4,3.0224494E-4,3.0224494E-4,1.0,0.0,5.2857865E-4,0.0012947187,0.0013047057,1.0077137,1.0E-5,0.006416472,0.015654264,0.015723169,1.0044017,7.0E-5,0.06234337,0.1437209,0.14392641,1.0014299,2.4E-4
6.1,1.2336002E-4,3.0224494E-4,3.0224494E-4,1.0,0.0,5.2857865E-4,0.0012947187,0.0013047057,1.0077137,1.0E-5,0.006416472,0.015654264,0.015723169,1.0044017,7.0E-5,0.06234337,0.1437209,0.14392641,1.0014299,2.4E-4
6.2,1.2336002E-4,3.0224494E-4,3.0224494E-4,1.0,0.0,5.2857865E-4,0.0012947187,0.0013047057,1.0077137,1.0E-5,0.006416472,0.015654264,0.015723169,1.0044017,7.0E-5,0.06234337,0.1437209,0.14392641,1.0014299,2.4E-4
6.3,1.1712257E-4,2.9010474E-4,2.9010474E-4,1.0,0.0,5.018573E-4,0.0012427395,0.0012527271,1.0080367,1.0E-5,0.006093008,0.015030268,0.015099215,1.0045873,7.0E-5,0.059286322,0.13843165,0.13863844,1.0014937,2.4E-4
6.4,1.1712257E-4,2.9010474E-4,2.9010474E-4,1.0,0.0,5.018573E-4,0.0012427395,0.0012527271,1.0080367,1.0E-5,0.006093008,0.015030268,0.015099215,1.0045873,7.0E-5,0.059286322,0.13843165,0.13863844,1.0014937,2.4E-4
6.5,1.0689076E-4,2.7019437E-4,2.7019437E-4,1.0,0.0,4.5802278E-4,0.0011574869,0.0011674754,1.0086294,1.0E-5,0.0055621783,0.014005997,0.014075017,1.0049279,7.0E-5,0.05425003,0.12971416,0.12992303,1.0016103,2.4E-4
6.6,9.7648895E-5,2.5260478E-4,2.5260478E-4,1.0,0.0,4.1842813E-4,0.0010821666,0.0010921557,1.0092307,1.0E-5,0.005082469,0.013100184,0.013169266,1.0052735,7.0E-5,0.049677886,0.12186209,0.122072846,1.0017295,2.4E-4
6.7,8.757013E-5,2.3327493E-4,2.3327493E-4,1.0,0.0,3.7524657E-4,9.993891E-4,0.001009379,1.009996,1.0E-5,0.00455906,0.012103797,0.012163071,1.0048971,6.0E-5,0.04466656,0.11321058,0.113405675,1.0017233,2.2E-4
6.8,8.562978E-5,2.2885749E-4,2.2885749E-4,1.0,0.0,3.6693315E-4,9.804715E-4,9.904617E-4,1.0101892,1.0E-5,0.004458263,0.011876002,0.011935289,1.0049922,6.0E-5,0.043698758,0.11121134,0.11140687,1.0017582,2.2E-4
6.9,6.124075E-5,1.7250857E-4,1.7250857E-4,1.0,0.0,2.6243398E-4,7.3911384E-4,7.4910646E-4,1.0135198,1.0E-5,0.0031904527,0.008961793,0.009001435,1.0044234,4.0E-5,0.031450346,0.084974095,0.08514795,1.002046,1.9E-4
7.0,5.8598747E-5,1.667791E-4,1.667791E-4,1.0,0.0,2.5111332E-4,7.1457255E-4,7.245654E-4,1.0139843,1.0E-5,0.0030530186,0.008665415,0.008705068,1.0045761,4.0E-5,0.03011414,0.08228728,0.08246165,1.002119,1.9E-4
7.1,5.613814E-5,1.6094456E-4,1.6094456E-4,1.0,0.0,2.4056983E-4,6.8958086E-4,6.9957395E-4,1.0144916,1.0E-5,0.0029250039,0.008363511,0.008403177,1.0047426,4.0E-5,0.028868021,0.079575844,0.079750724,1.0021976,1.9E-4
7.2,4.991222E-5,1.4696663E-4,1.4696663E-4,1.0,0.0,2.1389198E-4,6.297054E-4,6.3969905E-4,1.0158705,1.0E-5,0.002601025,0.007639818,0.0076795123,1.0051957,4.0E-5,0.025707912,0.07301366,0.07318979,1.0024122,1.9E-4
7.3,4.7410045E-5,1.3886846E-4,1.3886846E-4,1.0,0.0,2.0317009E-4,5.950151E-4,6.050092E-4,1.0167964,1.0E-5,0.0024707897,0.0072203344,0.0072600455,1.0055,4.0E-5,0.024434982,0.06928257,0.06945941,1.0025524,1.9E-4
7.4,4.5556746E-5,1.3291762E-4,1.3291762E-4,1.0,0.0,1.952286E-4,5.695229E-4,5.795172E-4,1.0175486,1.0E-5,0.002374317,0.0069119767,0.0069517004,1.0057471,4.0E-5,0.023491086,0.066527575,0.06670494,1.002666,1.9E-4
7.5,4.3084514E-5,1.2523428E-4,1.2523428E-4,1.0,0.0,1.8463485E-4,5.366083E-4,5.466029E-4,1.0186256,1.0E-5,0.0022456115,0.0065137083,0.006553448,1.0061009,4.0E-5,0.022230545,0.062916845,0.063085526,1.0026809,1.8E-4
7.6,3.408608E-5,9.988179E-5,9.988179E-5,1.0,0.0,1.4607502E-4,4.2799467E-4,4.379904E-4,1.0233548,1.0E-5,0.0017770125,0.0051984116,0.005238204,1.0076547,4.0E-5,0.017628696,0.05069642,0.050867297,1.0033705,1.8E-4
7.7,2.8315713E-5,8.3921776E-5,8.3921776E-5,1.0,0.0,1.2134742E-4,3.596152E-4,3.696116E-4,1.0277975,1.0E-5,0.0014764034,0.0043695346,0.00440936,1.0091143,4.0E-5,0.01466633,0.042911496,0.043083772,1.0040147,1.8E-4
7.8,2.6222975E-5,7.5972515E-5,7.5972515E-5,1.0,0.0,1.1237934E-4,3.2555588E-4,3.355526E-4,1.0307066,1.0E-5,0.0013673597,0.0039564455,0.003996287,1.0100701,4.0E-5,0.013589768,0.039038252,0.039211225,1.0044309,1.8E-4
7.9,2.1469694E-5,5.899918E-5,5.899918E-5,1.0,0.0,9.200973E-5,2.5282914E-4,2.6282662E-4,1.0395424,1.0E-5,0.0011196428,0.003073853,0.00311373,1.012973,4.0E-5,0.011140184,0.030661045,0.030835526,1.0056907,1.8E-4
8.0,1.2420249E-5,3.1944517E-5,3.1944517E-5,1.0,0.0,5.322855E-5,1.368979E-4,1.4689653E-4,1.0730371,1.0E-5,6.478649E-4,0.0016654587,0.0016854254,1.0119888,2.0E-5,0.0064597935,0.016814265,0.01689292,1.0046779,8.0E-5
8.1,4.9197724E-6,8.0540585E-6,8.0540585E-6,1.0,0.0,2.1084568E-5,3.451694E-5,3.451694E-5,1.0,0.0,2.566744E-4,4.2016283E-4,4.2016283E-4,1.0,0.0,0.002563781,0.0045005945,0.0045005945,1.0,0.0
8.2,2.5634774E-6,3.0128597E-6,3.0128597E-6,1.0,0.0,1.0986286E-5,1.2912192E-5,1.2912192E-5,1.0,0.0,1.3374983E-4,1.5719465E-4,1.5719465E-4,1.0,0.0,0.0013366934,0.0017606186,0.0017606186,1.0,0.0
8.3,5.2850464E-7,3.3543316E-7,3.3543316E-7,1.0,0.0,2.2650179E-6,1.43757E-6,1.43757E-6,1.0,0.0,2.7576245E-5,1.7502287E-5,1.7502287E-5,1.0,0.0,2.7572823E-4,2.068833E-4,2.068833E-4,1.0,0.0
