Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.644328E-6,1.340739E-5,1.340739E-5,1.0,0.0,3.2760996E-5,5.7459027E-5,5.7459027E-5,1.0,0.0,3.987921E-4,6.9934776E-4,6.9934776E-4,1.0,0.0,0.003980772,0.006977614,0.0069875442,1.0014231,1.0E-5
6.1,7.644328E-6,1.340739E-5,1.340739E-5,1.0,0.0,3.2760996E-5,5.7459027E-5,5.7459027E-5,1.0,0.0,3.987921E-4,6.9934776E-4,6.9934776E-4,1.0,0.0,0.003980772,0.006977614,0.0069875442,1.0014231,1.0E-5
6.2,7.644328E-6,1.340739E-5,1.340739E-5,1.0,0.0,3.2760996E-5,5.7459027E-5,5.7459027E-5,1.0,0.0,3.987921E-4,6.9934776E-4,6.9934776E-4,1.0,0.0,0.003980772,0.006977614,0.0069875442,1.0014231,1.0E-5
6.3,7.644328E-6,1.340739E-5,1.340739E-5,1.0,0.0,3.2760996E-5,5.7459027E-5,5.7459027E-5,1.0,0.0,3.987921E-4,6.9934776E-4,6.9934776E-4,1.0,0.0,0.003980772,0.006977614,0.0069875442,1.0014231,1.0E-5
6.4,7.644328E-6,1.340739E-5,1.340739E-5,1.0,0.0,3.2760996E-5,5.7459027E-5,5.7459027E-5,1.0,0.0,3.987921E-4,6.9934776E-4,6.9934776E-4,1.0,0.0,0.003980772,0.006977614,0.0069875442,1.0014231,1.0E-5
6.5,7.644328E-6,1.340739E-5,1.340739E-5,1.0,0.0,3.2760996E-5,5.7459027E-5,5.7459027E-5,1.0,0.0,3.987921E-4,6.9934776E-4,6.9934776E-4,1.0,0.0,0.003980772,0.006977614,0.0069875442,1.0014231,1.0E-5
6.6,7.644328E-6,1.340739E-5,1.340739E-5,1.0,0.0,3.2760996E-5,5.7459027E-5,5.7459027E-5,1.0,0.0,3.987921E-4,6.9934776E-4,6.9934776E-4,1.0,0.0,0.003980772,0.006977614,0.0069875442,1.0014231,1.0E-5
6.7,6.987586E-6,1.271142E-5,1.271142E-5,1.0,0.0,2.9946454E-5,5.4476423E-5,5.4476423E-5,1.0,0.0,3.645371E-4,6.630568E-4,6.630568E-4,1.0,0.0,0.0036393967,0.0066168807,0.0066268146,1.0015013,1.0E-5
6.8,6.987586E-6,1.271142E-5,1.271142E-5,1.0,0.0,2.9946454E-5,5.4476423E-5,5.4476423E-5,1.0,0.0,3.645371E-4,6.630568E-4,6.630568E-4,1.0,0.0,0.0036393967,0.0066168807,0.0066268146,1.0015013,1.0E-5
6.9,5.504702E-6,1.1141743E-5,1.1141743E-5,1.0,0.0,2.3591367E-5,4.7749483E-5,4.7749483E-5,1.0,0.0,2.8718702E-4,5.812E-4,5.812E-4,1.0,0.0,0.0028681618,0.005802592,0.005802592,1.0,0.0
7.0,5.4825764E-6,1.1118074E-5,1.1118074E-5,1.0,0.0,2.3496545E-5,4.764805E-5,4.764805E-5,1.0,0.0,2.8603288E-4,5.799657E-4,5.799657E-4,1.0,0.0,0.00285665,0.005790313,0.005790313,1.0,0.0
7.1,5.4692787E-6,1.1103778E-5,1.1103778E-5,1.0,0.0,2.3439556E-5,4.7586782E-5,4.7586782E-5,1.0,0.0,2.8533922E-4,5.792202E-4,5.792202E-4,1.0,0.0,0.0028497311,0.005782896,0.005782896,1.0,0.0
7.2,5.453661E-6,1.1086796E-5,1.1086796E-5,1.0,0.0,2.3372622E-5,4.7514004E-5,4.7514004E-5,1.0,0.0,2.8452452E-4,5.7833456E-4,5.7833456E-4,1.0,0.0,0.002841605,0.0057740863,0.0057740863,1.0,0.0
7.3,5.4422303E-6,1.1073705E-5,1.1073705E-5,1.0,0.0,2.3323635E-5,4.74579E-5,4.74579E-5,1.0,0.0,2.8392827E-4,5.7765184E-4,5.7765184E-4,1.0,0.0,0.0028356577,0.0057672947,0.0057672947,1.0,0.0
7.4,5.398595E-6,1.1021015E-5,1.1021015E-5,1.0,0.0,2.313663E-5,4.7232093E-5,4.7232093E-5,1.0,0.0,2.8165206E-4,5.7490414E-4,5.7490414E-4,1.0,0.0,0.0028129534,0.0057399604,0.0057399604,1.0,0.0
7.5,5.3578788E-6,1.0947365E-5,1.0947365E-5,1.0,0.0,2.2962136E-5,4.6916462E-5,4.6916462E-5,1.0,0.0,2.7952815E-4,5.7106337E-4,5.7106337E-4,1.0,0.0,0.002791768,0.0057017836,0.0057017836,1.0,0.0
7.6,4.8091474E-6,9.690505E-6,9.690505E-6,1.0,0.0,2.0610469E-5,4.1530104E-5,4.1530104E-5,1.0,0.0,2.5090357E-4,5.055166E-4,5.055166E-4,1.0,0.0,0.0025062046,0.005049859,0.005049859,1.0,0.0
7.7,1.5991155E-6,3.3998228E-6,3.3998228E-6,1.0,0.0,6.853334E-6,1.4570589E-5,1.4570589E-5,1.0,0.0,8.343615E-5,1.7738274E-4,1.7738274E-4,1.0,0.0,8.340483E-4,0.0017775247,0.0017775247,1.0,0.0
7.8,9.258398E-7,2.09304E-6,2.09304E-6,1.0,0.0,3.967879E-6,8.97014E-6,8.97014E-6,1.0,0.0,4.8307855E-5,1.09206005E-4,1.09206005E-4,1.0,0.0,4.8297356E-4,0.001096625,0.001096625,1.0,0.0
7.9,5.975575E-7,1.2544987E-6,1.2544987E-6,1.0,0.0,2.5609581E-6,5.376412E-6,5.376412E-6,1.0,0.0,3.117922E-5,6.545586E-5,6.545586E-5,1.0,0.0,3.1174847E-4,6.5926247E-4,6.5926247E-4,1.0,0.0
8.0,3.4413725E-7,6.86633E-7,6.86633E-7,1.0,0.0,1.4748731E-6,2.9427094E-6,2.9427094E-6,1.0,0.0,1.7956432E-5,3.5826906E-5,3.5826906E-5,1.0,0.0,1.7954981E-4,3.6148904E-4,3.6148904E-4,1.0,0.0
8.1,1.1787731E-8,1.0022392E-8,1.0022392E-8,1.0,0.0,5.0518846E-8,4.2953108E-8,4.2953108E-8,1.0,0.0,6.1506677E-7,5.22954E-7,5.22954E-7,1.0,0.0,6.1506507E-6,5.4480925E-6,5.4480925E-6,1.0,0.0
