Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.3015636E-5,4.414791E-5,4.414791E-5,1.0,0.0,2.7003905E-4,1.8919168E-4,1.8919168E-4,1.0,0.0,0.0032827691,0.0023009877,0.0023009877,1.0,0.0,0.032346968,0.023731563,0.023770614,1.0016456,4.0E-5
6.1,6.3015636E-5,4.414791E-5,4.414791E-5,1.0,0.0,2.7003905E-4,1.8919168E-4,1.8919168E-4,1.0,0.0,0.0032827691,0.0023009877,0.0023009877,1.0,0.0,0.032346968,0.023731563,0.023770614,1.0016456,4.0E-5
6.2,6.3015636E-5,4.414791E-5,4.414791E-5,1.0,0.0,2.7003905E-4,1.8919168E-4,1.8919168E-4,1.0,0.0,0.0032827691,0.0023009877,0.0023009877,1.0,0.0,0.032346968,0.023731563,0.023770614,1.0016456,4.0E-5
6.3,6.3015636E-5,4.414791E-5,4.414791E-5,1.0,0.0,2.7003905E-4,1.8919168E-4,1.8919168E-4,1.0,0.0,0.0032827691,0.0023009877,0.0023009877,1.0,0.0,0.032346968,0.023731563,0.023770614,1.0016456,4.0E-5
6.4,6.3015636E-5,4.414791E-5,4.414791E-5,1.0,0.0,2.7003905E-4,1.8919168E-4,1.8919168E-4,1.0,0.0,0.0032827691,0.0023009877,0.0023009877,1.0,0.0,0.032346968,0.023731563,0.023770614,1.0016456,4.0E-5
6.5,5.811017E-5,4.088563E-5,4.088563E-5,1.0,0.0,2.4901982E-4,1.752124E-4,1.752124E-4,1.0,0.0,0.0030276014,0.0021311296,0.0021311296,1.0,0.0,0.02986684,0.022009874,0.022048993,1.0017774,4.0E-5
6.6,5.811017E-5,4.088563E-5,4.088563E-5,1.0,0.0,2.4901982E-4,1.752124E-4,1.752124E-4,1.0,0.0,0.0030276014,0.0021311296,0.0021311296,1.0,0.0,0.02986684,0.022009874,0.022048993,1.0017774,4.0E-5
6.7,5.712442E-5,4.0299907E-5,4.0299907E-5,1.0,0.0,2.4479596E-4,1.7270248E-4,1.7270248E-4,1.0,0.0,0.0029763177,0.0021006307,0.0021006307,1.0,0.0,0.029367693,0.021697659,0.021736791,1.0018035,4.0E-5
6.8,5.6967532E-5,4.015475E-5,4.015475E-5,1.0,0.0,2.4412372E-4,1.7208046E-4,1.7208046E-4,1.0,0.0,0.0029681553,0.0020930723,0.0020930723,1.0,0.0,0.029288229,0.02162112,0.021660253,1.0018101,4.0E-5
6.9,5.6211324E-5,3.985392E-5,3.985392E-5,1.0,0.0,2.4088343E-4,1.7079136E-4,1.7079136E-4,1.0,0.0,0.0029288116,0.0020774072,0.0020774072,1.0,0.0,0.028905109,0.021457616,0.021496758,1.0018241,4.0E-5
7.0,5.4383527E-5,3.869747E-5,3.869747E-5,1.0,0.0,2.3305144E-4,1.6583578E-4,1.6583578E-4,1.0,0.0,0.0028337094,0.002017186,0.002017186,1.0,0.0,0.027978465,0.020836622,0.020875787,1.0018797,4.0E-5
7.1,5.1393665E-5,3.7133177E-5,3.7133177E-5,1.0,0.0,2.2023996E-4,1.591325E-4,1.591325E-4,1.0,0.0,0.0026781242,0.0019357208,0.0019357208,1.0,0.0,0.026460782,0.019998562,0.020037763,1.0019602,4.0E-5
