Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7374346E-5,2.4545796E-5,2.4545796E-5,1.0,0.0,1.1731335E-4,1.0519204E-4,1.0519204E-4,1.0,0.0,0.0014273542,0.0012799633,0.0012899505,1.0078027,1.0E-5,0.01418221,0.013136459,0.013156196,1.0015025,2.0E-5
6.1,2.7374346E-5,2.4545796E-5,2.4545796E-5,1.0,0.0,1.1731335E-4,1.0519204E-4,1.0519204E-4,1.0,0.0,0.0014273542,0.0012799633,0.0012899505,1.0078027,1.0E-5,0.01418221,0.013136459,0.013156196,1.0015025,2.0E-5
6.2,2.7374346E-5,2.4545796E-5,2.4545796E-5,1.0,0.0,1.1731335E-4,1.0519204E-4,1.0519204E-4,1.0,0.0,0.0014273542,0.0012799633,0.0012899505,1.0078027,1.0E-5,0.01418221,0.013136459,0.013156196,1.0015025,2.0E-5
6.3,2.7374346E-5,2.4545796E-5,2.4545796E-5,1.0,0.0,1.1731335E-4,1.0519204E-4,1.0519204E-4,1.0,0.0,0.0014273542,0.0012799633,0.0012899505,1.0078027,1.0E-5,0.01418221,0.013136459,0.013156196,1.0015025,2.0E-5
6.4,2.7374346E-5,2.4545796E-5,2.4545796E-5,1.0,0.0,1.1731335E-4,1.0519204E-4,1.0519204E-4,1.0,0.0,0.0014273542,0.0012799633,0.0012899505,1.0078027,1.0E-5,0.01418221,0.013136459,0.013156196,1.0015025,2.0E-5
6.5,2.7282445E-5,2.4431714E-5,2.4431714E-5,1.0,0.0,1.16919524E-4,1.04703155E-4,1.04703155E-4,1.0,0.0,0.0014225657,0.0012740182,0.0012840055,1.0078392,1.0E-5,0.014134934,0.013077716,0.013097455,1.0015093,2.0E-5
6.6,2.7282445E-5,2.4431714E-5,2.4431714E-5,1.0,0.0,1.16919524E-4,1.04703155E-4,1.04703155E-4,1.0,0.0,0.0014225657,0.0012740182,0.0012840055,1.0078392,1.0E-5,0.014134934,0.013077716,0.013097455,1.0015093,2.0E-5
6.7,2.7216198E-5,2.4356728E-5,2.4356728E-5,1.0,0.0,1.1663563E-4,1.0438181E-4,1.0438181E-4,1.0,0.0,0.0014191137,0.0012701104,0.0012800978,1.0078633,1.0E-5,0.014100855,0.013039081,0.013058821,1.0015138,2.0E-5
6.8,2.7078617E-5,2.4273731E-5,2.4273731E-5,1.0,0.0,1.1604605E-4,1.0402614E-4,1.0402614E-4,1.0,0.0,0.001411945,0.0012657852,0.0012757725,1.0078902,1.0E-5,0.014030075,0.012996117,0.013015857,1.001519,2.0E-5
6.9,2.6982952E-5,2.419302E-5,2.419302E-5,1.0,0.0,1.15636096E-4,1.03680264E-4,1.03680264E-4,1.0,0.0,0.0014069602,0.001261579,0.0012715664,1.0079166,1.0E-5,0.013980856,0.012954292,0.012974032,1.0015239,2.0E-5
7.0,2.6449972E-5,2.376921E-5,2.376921E-5,1.0,0.0,1.1335209E-4,1.01864076E-4,1.01864076E-4,1.0,0.0,0.001379188,0.0012394922,0.0012494798,1.0080578,1.0E-5,0.0137065975,0.012735264,0.012755009,1.0015504,2.0E-5
7.1,2.6257849E-5,2.3594865E-5,2.3594865E-5,1.0,0.0,1.1252879E-4,1.01116944E-4,1.01116944E-4,1.0,0.0,0.0013691769,0.0012304062,0.0012403938,1.0081174,1.0E-5,0.013607717,0.01264496,0.012664706,1.0015616,2.0E-5
7.2,2.5270041E-5,2.2786966E-5,2.2786966E-5,1.0,0.0,1.0829568E-4,9.765479E-5,9.765479E-5,1.0,0.0,0.0013177024,0.001188301,0.0011982891,1.0084053,1.0E-5,0.013099162,0.012224651,0.012244406,1.001616,2.0E-5
7.3,2.339701E-5,2.1513833E-5,2.1513833E-5,1.0,0.0,1.0026905E-4,9.21989E-5,9.21989E-5,1.0,0.0,0.001220092,0.0011219457,0.0011319345,1.0089031,1.0E-5,0.012134149,0.011561145,0.011580914,1.0017099,2.0E-5
7.4,2.296333E-5,2.1242913E-5,2.1242913E-5,1.0,0.0,9.841056E-5,9.1037895E-5,9.1037895E-5,1.0,0.0,0.0011974899,0.0011078248,0.0011178138,1.0090168,1.0E-5,0.011910575,0.01141961,0.011439381,1.0017314,2.0E-5
7.5,2.2188895E-5,2.0762136E-5,2.0762136E-5,1.0,0.0,9.50918E-5,8.8977555E-5,8.8977555E-5,1.0,0.0,0.0011571277,0.0010827655,0.0010927547,1.0092256,1.0E-5,0.011511209,0.011167396,0.0111871725,1.001771,2.0E-5
7.6,2.0013189E-5,1.933566E-5,1.933566E-5,1.0,0.0,8.5767984E-5,8.286449E-5,8.286449E-5,1.0,0.0,0.001043725,0.0010084101,0.0010184,1.0099066,1.0E-5,0.010388365,0.010418833,0.010438625,1.0018996,2.0E-5
7.7,1.7230794E-5,1.7107139E-5,1.7107139E-5,1.0,0.0,7.384417E-5,7.331425E-5,7.331425E-5,1.0,0.0,8.986819E-4,8.9223636E-4,9.022274E-4,1.0111978,1.0E-5,0.008950562,0.009252628,0.009272443,1.0021416,2.0E-5
7.8,1.4478809E-5,1.5340103E-5,1.5340103E-5,1.0,0.0,6.205057E-5,6.5741646E-5,6.5741646E-5,1.0,0.0,7.552038E-4,8.0011133E-4,8.101033E-4,1.0124882,1.0E-5,0.0075264242,0.008323951,0.008343784,1.0023828,2.0E-5
7.9,1.1114467E-5,1.1950163E-5,1.1950163E-5,1.0,0.0,4.7632562E-5,5.121398E-5,5.121398E-5,1.0,0.0,5.797721E-4,6.233525E-4,6.333462E-4,1.0160323,1.0E-5,0.0057826187,0.0065404153,0.0065602846,1.0030379,2.0E-5
8.0,9.327402E-6,1.0175201E-5,1.0175201E-5,1.0,0.0,3.9973966E-5,4.360728E-5,4.360728E-5,1.0,0.0,4.8657437E-4,5.307899E-4,5.4078456E-4,1.0188298,1.0E-5,0.0048551033,0.005595026,0.0056149145,1.0035546,2.0E-5
8.1,7.0235833E-6,7.0300584E-6,7.0300584E-6,1.0,0.0,3.0100724E-5,3.0128478E-5,3.0128478E-5,1.0,0.0,3.664147E-4,3.66753E-4,3.66753E-4,1.0,0.0,0.003658111,0.0038948301,0.0038948301,1.0,0.0
8.2,2.0358202E-6,9.4085266E-7,9.4085266E-7,1.0,0.0,8.724915E-6,4.0322197E-6,4.0322197E-6,1.0,0.0,1.06220665E-4,4.909119E-5,4.909119E-5,1.0,0.0,0.001061699,5.558016E-4,5.558016E-4,1.0,0.0
8.3,2.0051264E-7,6.995083E-8,6.995083E-8,1.0,0.0,8.5933965E-7,2.9978924E-7,2.9978924E-7,1.0,0.0,1.046241E-5,3.6499282E-6,3.6499282E-6,1.0,0.0,1.0461917E-4,4.2317584E-5,4.2317584E-5,1.0,0.0
