Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.1143165E-5,4.7131638E-5,4.7131638E-5,1.0,0.0,1.7631594E-4,2.0197821E-4,2.0197821E-4,1.0,0.0,0.002144533,0.0024565083,0.0024664837,1.0040609,1.0E-5,0.021239553,0.024314221,0.02434349,1.0012039,3.0E-5
6.1,2.1061249E-5,2.388387E-5,2.388387E-5,1.0,0.0,9.0259375E-5,1.0235558E-4,1.0235558E-4,1.0,0.0,0.0010983539,0.0012454959,0.0012454959,1.0,0.0,0.01092941,0.0123882,0.012407952,1.0015944,2.0E-5
6.2,2.1061249E-5,2.388387E-5,2.388387E-5,1.0,0.0,9.0259375E-5,1.0235558E-4,1.0235558E-4,1.0,0.0,0.0010983539,0.0012454959,0.0012454959,1.0,0.0,0.01092941,0.0123882,0.012407952,1.0015944,2.0E-5
6.3,1.5158236E-5,1.708727E-5,1.708727E-5,1.0,0.0,6.496225E-5,7.3229174E-5,7.3229174E-5,1.0,0.0,7.906284E-4,8.912125E-4,8.912125E-4,1.0,0.0,0.007878214,0.008877639,0.00888755,1.0011164,1.0E-5
6.4,1.2341918E-5,1.386302E-5,1.386302E-5,1.0,0.0,5.2892858E-5,5.941164E-5,5.941164E-5,1.0,0.0,6.437803E-4,7.231048E-4,7.231048E-4,1.0,0.0,0.006419184,0.007208357,0.007208357,1.0,0.0
6.5,9.061158E-6,1.0124066E-5,1.0124066E-5,1.0,0.0,3.883296E-5,4.338816E-5,4.338816E-5,1.0,0.0,4.726887E-4,5.281281E-4,5.281281E-4,1.0,0.0,0.004716845,0.0052692695,0.0052692695,1.0,0.0
6.6,7.5461685E-6,8.406418E-6,8.406418E-6,1.0,0.0,3.2340322E-5,3.602703E-5,3.602703E-5,1.0,0.0,3.936723E-4,4.385451E-4,4.385451E-4,1.0,0.0,0.003929756,0.0043772273,0.0043772273,1.0,0.0
6.7,5.5023775E-6,6.091258E-6,6.091258E-6,1.0,0.0,2.3581404E-5,2.610515E-5,2.610515E-5,1.0,0.0,2.8706578E-4,3.1778708E-4,3.1778708E-4,1.0,0.0,0.0028669522,0.0031736488,0.0031736488,1.0,0.0
6.8,3.7351679E-6,4.0854266E-6,4.0854266E-6,1.0,0.0,1.6007763E-5,1.7508868E-5,1.7508868E-5,1.0,0.0,1.948771E-4,2.131521E-4,2.131521E-4,1.0,0.0,0.0019470629,0.0021297222,0.0021297222,1.0,0.0
6.9,2.456366E-6,2.6303783E-6,2.6303783E-6,1.0,0.0,1.0527241E-5,1.1273001E-5,1.1273001E-5,1.0,0.0,1.2816161E-4,1.3724017E-4,1.3724017E-4,1.0,0.0,0.0012808773,0.0013715571,0.0013715571,1.0,0.0
7.0,2.3245157E-6,2.4837898E-6,2.4837898E-6,1.0,0.0,9.962172E-6,1.064477E-5,1.064477E-5,1.0,0.0,1.2128269E-4,1.2959239E-4,1.2959239E-4,1.0,0.0,0.0012121652,0.0012951704,0.0012951704,1.0,0.0
7.1,2.2248344E-6,2.3741973E-6,2.3741973E-6,1.0,0.0,9.53497E-6,1.0175091E-5,1.0175091E-5,1.0,0.0,1.1608207E-4,1.238747E-4,1.238747E-4,1.0,0.0,0.0011602144,0.0012380587,0.0012380587,1.0,0.0
