Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.9888673E-6,4.048653E-6,4.048653E-6,1.0,0.0,1.7095033E-5,1.7351287E-5,1.7351287E-5,1.0,0.0,2.0811215E-4,2.1123703E-4,2.1123703E-4,1.0,0.0,0.0020791737,0.0021109113,0.0021208902,1.0047272,1.0E-5
6.1,3.9888673E-6,4.048653E-6,4.048653E-6,1.0,0.0,1.7095033E-5,1.7351287E-5,1.7351287E-5,1.0,0.0,2.0811215E-4,2.1123703E-4,2.1123703E-4,1.0,0.0,0.0020791737,0.0021109113,0.0021208902,1.0047272,1.0E-5
6.2,1.4039653E-6,1.4104935E-6,1.4104935E-6,1.0,0.0,6.0169805E-6,6.0449584E-6,6.0449584E-6,1.0,0.0,7.325427E-5,7.359494E-5,7.359494E-5,1.0,0.0,7.3230127E-4,7.357117E-4,7.357117E-4,1.0,0.0
6.3,1.4039653E-6,1.4104935E-6,1.4104935E-6,1.0,0.0,6.0169805E-6,6.0449584E-6,6.0449584E-6,1.0,0.0,7.325427E-5,7.359494E-5,7.359494E-5,1.0,0.0,7.3230127E-4,7.357117E-4,7.357117E-4,1.0,0.0
6.4,1.3314152E-6,1.3365566E-6,1.3365566E-6,1.0,0.0,5.7060524E-6,5.728087E-6,5.728087E-6,1.0,0.0,6.946897E-5,6.973729E-5,6.973729E-5,1.0,0.0,6.9447263E-4,6.971594E-4,6.971594E-4,1.0,0.0
6.5,1.1187026E-6,1.1207416E-6,1.1207416E-6,1.0,0.0,4.794431E-6,4.8031693E-6,4.8031693E-6,1.0,0.0,5.8370628E-5,5.8477042E-5,5.8477042E-5,1.0,0.0,5.83553E-4,5.8461906E-4,5.8461906E-4,1.0,0.0
6.6,9.793089E-7,9.788546E-7,9.788546E-7,1.0,0.0,4.1970316E-6,4.1950843E-6,4.1950843E-6,1.0,0.0,5.1097657E-5,5.1073966E-5,5.1073966E-5,1.0,0.0,5.108591E-4,5.1062356E-4,5.1062356E-4,1.0,0.0
6.7,8.995986E-7,8.976336E-7,8.976336E-7,1.0,0.0,3.8554167E-6,3.8469952E-6,3.8469952E-6,1.0,0.0,4.693869E-5,4.6836172E-5,4.6836172E-5,1.0,0.0,4.6928777E-4,4.6826396E-4,4.6826396E-4,1.0,0.0
6.8,7.931612E-7,7.8837684E-7,7.8837684E-7,1.0,0.0,3.3992578E-6,3.3787535E-6,3.3787535E-6,1.0,0.0,4.1385178E-5,4.113555E-5,4.113555E-5,1.0,0.0,4.1377472E-4,4.112799E-4,4.112799E-4,1.0,0.0
6.9,7.1465956E-7,7.081266E-7,7.081266E-7,1.0,0.0,3.062823E-6,3.0348247E-6,3.0348247E-6,1.0,0.0,3.7289232E-5,3.6948368E-5,3.6948368E-5,1.0,0.0,3.7282976E-4,3.694226E-4,3.694226E-4,1.0,0.0
