Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.7690465E-6,6.9792363E-6,6.9792363E-6,1.0,0.0,3.329549E-5,2.9910872E-5,2.9910872E-5,1.0,0.0,4.0529718E-4,3.6413988E-4,3.7413626E-4,1.027452,1.0E-5,0.004045588,0.0036389504,0.0036788047,1.0109522,4.0E-5
6.1,7.7690465E-6,6.9792363E-6,6.9792363E-6,1.0,0.0,3.329549E-5,2.9910872E-5,2.9910872E-5,1.0,0.0,4.0529718E-4,3.6413988E-4,3.7413626E-4,1.027452,1.0E-5,0.004045588,0.0036389504,0.0036788047,1.0109522,4.0E-5
6.2,7.7690465E-6,6.9792363E-6,6.9792363E-6,1.0,0.0,3.329549E-5,2.9910872E-5,2.9910872E-5,1.0,0.0,4.0529718E-4,3.6413988E-4,3.7413626E-4,1.027452,1.0E-5,0.004045588,0.0036389504,0.0036788047,1.0109522,4.0E-5
6.3,7.7690465E-6,6.9792363E-6,6.9792363E-6,1.0,0.0,3.329549E-5,2.9910872E-5,2.9910872E-5,1.0,0.0,4.0529718E-4,3.6413988E-4,3.7413626E-4,1.027452,1.0E-5,0.004045588,0.0036389504,0.0036788047,1.0109522,4.0E-5
6.4,7.7690465E-6,6.9792363E-6,6.9792363E-6,1.0,0.0,3.329549E-5,2.9910872E-5,2.9910872E-5,1.0,0.0,4.0529718E-4,3.6413988E-4,3.7413626E-4,1.027452,1.0E-5,0.004045588,0.0036389504,0.0036788047,1.0109522,4.0E-5
6.5,7.7690465E-6,6.9792363E-6,6.9792363E-6,1.0,0.0,3.329549E-5,2.9910872E-5,2.9910872E-5,1.0,0.0,4.0529718E-4,3.6413988E-4,3.7413626E-4,1.027452,1.0E-5,0.004045588,0.0036389504,0.0036788047,1.0109522,4.0E-5
6.6,2.653E-6,1.6161714E-6,1.6161714E-6,1.0,0.0,1.136995E-5,6.9264306E-6,6.9264306E-6,1.0,0.0,1.3842035E-4,8.4326064E-5,9.4325216E-5,1.1185772,1.0E-5,0.0013833415,8.429441E-4,8.829104E-4,1.0474128,4.0E-5
6.7,2.5902466E-6,1.5514927E-6,1.5514927E-6,1.0,0.0,1.11010095E-5,6.6492375E-6,6.6492375E-6,1.0,0.0,1.351464E-4,8.095149E-5,9.095068E-5,1.1235207,1.0E-5,0.0013506424,8.09223E-4,8.4919063E-4,1.0493901,4.0E-5
6.8,2.5853892E-6,1.5482871E-6,1.5482871E-6,1.0,0.0,1.1080193E-5,6.635499E-6,6.635499E-6,1.0,0.0,1.34893E-4,8.078424E-5,9.078343E-5,1.1237766,1.0E-5,0.0013481114,8.075517E-4,8.4751943E-4,1.0494925,4.0E-5
6.9,2.458257E-6,1.4233334E-6,1.4233334E-6,1.0,0.0,1.0535345E-5,6.0999864E-6,6.0999864E-6,1.0,0.0,1.2826028E-4,7.426482E-5,8.426408E-5,1.1346432,1.0E-5,0.0012818627,7.42402E-4,7.823723E-4,1.0538392,4.0E-5
7.0,2.4341468E-6,1.4002835E-6,1.4002835E-6,1.0,0.0,1.0432016E-5,6.0012017E-6,6.0012017E-6,1.0,0.0,1.270024E-4,7.30622E-5,8.3061466E-5,1.1368597,1.0E-5,0.0012692984,7.303837E-4,7.7035447E-4,1.0547258,4.0E-5
7.1,2.3652476E-6,1.335197E-6,1.335197E-6,1.0,0.0,1.0136736E-5,5.72226E-6,5.72226E-6,1.0,0.0,1.2340778E-4,6.966631E-5,7.966561E-5,1.1435314,1.0E-5,0.0012333926,6.964464E-4,7.3641853E-4,1.0573944,4.0E-5
7.2,2.272158E-6,1.2514583E-6,1.2514583E-6,1.0,0.0,9.737784E-6,5.363382E-6,5.363382E-6,1.0,0.0,1.1855107E-4,6.529723E-5,7.529658E-5,1.1531359,1.0E-5,0.0011848784,6.52782E-4,6.9275586E-4,1.0612361,4.0E-5
7.3,2.1382127E-6,1.143102E-6,1.143102E-6,1.0,0.0,9.163737E-6,4.8989996E-6,4.8989996E-6,1.0,0.0,1.1156279E-4,5.96437E-5,6.96431E-5,1.1676522,1.0E-5,0.001115068,5.9627806E-4,6.362542E-4,1.0670428,4.0E-5
7.4,1.9048055E-6,9.585896E-7,9.585896E-7,1.0,0.0,8.163426E-6,4.1082344E-6,4.1082344E-6,1.0,0.0,9.9385186E-5,5.0016613E-5,6.001611E-5,1.1999235,1.0E-5,9.934074E-4,5.000543E-4,5.4003426E-4,1.0799513,4.0E-5
