Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.8284557E-5,5.8037393E-5,1.1803391E-4,2.0337563,6.0E-5,2.0691741E-4,2.4871153E-4,7.685822E-4,3.0902557,5.2E-4,0.0025163088,0.0030245224,0.00799943,2.6448572,0.00499,0.02488006,0.02990107,0.04871129,1.6290817,0.01939
6.1,1.7796336E-5,2.0896292E-5,5.0895665E-5,2.4356315,3.0E-5,7.626778E-5,8.955268E-5,2.7953566E-4,3.1214662,1.9E-4,9.281647E-4,0.0010897965,0.002887835,2.6498845,0.0018,0.009242975,0.01084896,0.017901607,1.6500758,0.00713
6.2,1.7796336E-5,2.0896292E-5,5.0895665E-5,2.4356315,3.0E-5,7.626778E-5,8.955268E-5,2.7953566E-4,3.1214662,1.9E-4,9.281647E-4,0.0010897965,0.002887835,2.6498845,0.0018,0.009242975,0.01084896,0.017901607,1.6500758,0.00713
6.3,1.3515912E-5,1.5776372E-5,4.5775898E-5,2.901548,3.0E-5,5.792405E-5,6.76114E-5,2.375999E-4,3.5141988,1.7E-4,7.049971E-4,8.228816E-4,0.002251705,2.7363656,0.00143,0.007027647,0.008201303,0.013418164,1.6361015,0.00526
6.4,1.0870146E-5,1.2631174E-5,4.2630796E-5,3.375046,3.0E-5,4.658551E-5,5.413258E-5,1.94125E-4,3.586103,1.4E-4,5.67031E-4,6.5888255E-4,0.0018281117,2.7745638,0.00117,0.005655863,0.006571646,0.010515557,1.6001405,0.00397
6.5,7.964826E-6,9.205483E-6,2.92053E-5,3.1725981,2.0E-5,3.4134522E-5,3.9451534E-5,1.2944799E-4,3.2811902,9.0E-5,4.1550855E-4,4.8022714E-4,0.0012998334,2.7067053,8.2E-4,0.0041473247,0.0047935355,0.0074009765,1.5439495,0.00262
6.6,6.6317E-6,7.619912E-6,2.7619759E-5,3.6246822,2.0E-5,2.8421264E-5,3.2656408E-5,1.126538E-4,3.449669,8.0E-5,3.4597394E-4,3.9752832E-4,0.0010472699,2.6344535,6.5E-4,0.0034543579,0.003969664,0.005961725,1.5018209,0.002
6.7,4.793663E-6,5.4360107E-6,1.5435957E-5,2.8395743,1.0E-5,2.0544108E-5,2.3297005E-5,7.329584E-5,3.1461487,5.0E-5,2.500958E-4,2.836085E-4,6.6350074E-4,2.3394952,3.8E-4,0.0024981452,0.0028334965,0.0039104363,1.3800745,0.00108
6.8,4.382823E-6,4.9740192E-6,1.497397E-5,3.0104365,1.0E-5,1.8783392E-5,2.1317075E-5,5.1316434E-5,2.4072926,3.0E-5,2.286638E-4,2.5950876E-4,5.994205E-4,2.3098278,3.4E-4,0.0022842865,0.0025930651,0.0035206536,1.357719,9.3E-4
6.9,2.729601E-6,3.0768085E-6,1.3076778E-5,4.250111,1.0E-5,1.1698237E-5,1.3186263E-5,3.3186E-5,2.51671,2.0E-5,1.4241673E-4,1.6053214E-4,3.7049843E-4,2.3079393,2.1E-4,0.001423255,0.001604395,0.0021235608,1.3235897,5.2E-4
7.0,1.8987357E-6,2.1294147E-6,1.2129393E-5,5.696116,1.0E-5,8.137413E-6,9.1260345E-6,1.9125944E-5,2.095756,1.0E-5,9.90685E-5,1.11104506E-4,2.010945E-4,1.8099581,9.0E-5,9.902435E-4,0.0011105584,0.0013602807,1.224862,2.5E-4
7.1,1.4928986E-6,1.6653767E-6,1.166536E-5,7.0046377,1.0E-5,6.398121E-6,7.1373124E-6,1.7137241E-5,2.4010777,1.0E-5,7.789434E-5,8.68939E-5,1.6688695E-4,1.920583,8.0E-5,7.786704E-4,8.686572E-4,0.0010485008,1.2070364,1.8E-4
7.2,1.069082E-6,1.1833479E-6,1.1183336E-5,9.45059,1.0E-5,4.581772E-6,5.0714843E-6,1.5071433E-5,2.9717994,1.0E-5,5.5781646E-5,6.1744104E-5,9.174225E-5,1.4858464,3.0E-5,5.576765E-4,6.1732176E-4,6.972724E-4,1.1295121,8.0E-5
7.3,8.776551E-7,9.774085E-7,9.774085E-7,1.0,0.0,3.7613736E-6,4.1888898E-6,4.1888898E-6,1.0,0.0,4.579376E-5,5.099906E-5,6.099855E-5,1.1960721,1.0E-5,4.5784327E-4,5.099246E-4,5.69894E-4,1.1176045,6.0E-5
7.4,7.55721E-7,8.5122497E-7,8.5122497E-7,1.0,0.0,3.2388E-6,3.648105E-6,3.648105E-6,1.0,0.0,3.9431678E-5,4.441529E-5,5.4414846E-5,1.2251377,1.0E-5,3.942468E-4,4.4411502E-4,4.741017E-4,1.06752,3.0E-5
7.5,5.587665E-7,6.307093E-7,6.307093E-7,1.0,0.0,2.3947114E-6,2.7030396E-6,2.7030396E-6,1.0,0.0,2.915522E-5,3.290951E-5,3.290951E-5,1.0,0.0,2.9151395E-4,3.2909508E-4,3.4908848E-4,1.0607527,2.0E-5
