Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.3179622E-5,3.37779E-5,3.37779E-5,1.0,0.0,1.4219063E-4,1.4475583E-4,1.4475583E-4,1.0,0.0,0.0017297962,0.0017612347,0.0017612347,1.0,0.0,0.017163932,0.017498372,0.017518021,1.001123,2.0E-5
6.1,3.3179622E-5,3.37779E-5,3.37779E-5,1.0,0.0,1.4219063E-4,1.4475583E-4,1.4475583E-4,1.0,0.0,0.0017297962,0.0017612347,0.0017612347,1.0,0.0,0.017163932,0.017498372,0.017518021,1.001123,2.0E-5
6.2,3.3179622E-5,3.37779E-5,3.37779E-5,1.0,0.0,1.4219063E-4,1.4475583E-4,1.4475583E-4,1.0,0.0,0.0017297962,0.0017612347,0.0017612347,1.0,0.0,0.017163932,0.017498372,0.017518021,1.001123,2.0E-5
6.3,3.3179622E-5,3.37779E-5,3.37779E-5,1.0,0.0,1.4219063E-4,1.4475583E-4,1.4475583E-4,1.0,0.0,0.0017297962,0.0017612347,0.0017612347,1.0,0.0,0.017163932,0.017498372,0.017518021,1.001123,2.0E-5
6.4,1.8754668E-5,1.7045762E-5,1.7045762E-5,1.0,0.0,8.037467E-5,7.305135E-5,7.305135E-5,1.0,0.0,9.781223E-4,8.8906044E-4,8.8906044E-4,1.0,0.0,0.009738282,0.008857405,0.008867316,1.001119,1.0E-5
6.5,1.8754668E-5,1.7045762E-5,1.7045762E-5,1.0,0.0,8.037467E-5,7.305135E-5,7.305135E-5,1.0,0.0,9.781223E-4,8.8906044E-4,8.8906044E-4,1.0,0.0,0.009738282,0.008857405,0.008867316,1.001119,1.0E-5
6.6,1.4361558E-5,1.2144932E-5,1.2144932E-5,1.0,0.0,6.154808E-5,5.2048683E-5,5.2048683E-5,1.0,0.0,7.490902E-4,6.335108E-4,6.335108E-4,1.0,0.0,0.0074657016,0.0063173342,0.0063173342,1.0,0.0
6.7,1.4361558E-5,1.2144932E-5,1.2144932E-5,1.0,0.0,6.154808E-5,5.2048683E-5,5.2048683E-5,1.0,0.0,7.490902E-4,6.335108E-4,6.335108E-4,1.0,0.0,0.0074657016,0.0063173342,0.0063173342,1.0,0.0
6.8,1.3663846E-5,1.136652E-5,1.136652E-5,1.0,0.0,5.8558027E-5,4.8712758E-5,4.8712758E-5,1.0,0.0,7.127108E-4,5.929184E-4,5.929184E-4,1.0,0.0,0.007104293,0.005913609,0.005913609,1.0,0.0
6.9,1.3644157E-5,1.1344606E-5,1.1344606E-5,1.0,0.0,5.8473648E-5,4.8618844E-5,4.8618844E-5,1.0,0.0,7.116841E-4,5.917756E-4,5.917756E-4,1.0,0.0,0.007094092,0.005902242,0.005902242,1.0,0.0
