Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.222555E-6,6.06843E-6,6.06843E-6,1.0,0.0,3.5239045E-5,2.6007336E-5,2.6007336E-5,1.0,0.0,4.289509E-4,3.1659994E-4,3.2659678E-4,1.0315756,1.0E-5,0.0042812387,0.0031621412,0.0032418882,1.0252193,8.0E-5
6.1,8.222555E-6,6.06843E-6,6.06843E-6,1.0,0.0,3.5239045E-5,2.6007336E-5,2.6007336E-5,1.0,0.0,4.289509E-4,3.1659994E-4,3.2659678E-4,1.0315756,1.0E-5,0.0042812387,0.0031621412,0.0032418882,1.0252193,8.0E-5
6.2,8.222555E-6,6.06843E-6,6.06843E-6,1.0,0.0,3.5239045E-5,2.6007336E-5,2.6007336E-5,1.0,0.0,4.289509E-4,3.1659994E-4,3.2659678E-4,1.0315756,1.0E-5,0.0042812387,0.0031621412,0.0032418882,1.0252193,8.0E-5
6.3,8.222555E-6,6.06843E-6,6.06843E-6,1.0,0.0,3.5239045E-5,2.6007336E-5,2.6007336E-5,1.0,0.0,4.289509E-4,3.1659994E-4,3.2659678E-4,1.0315756,1.0E-5,0.0042812387,0.0031621412,0.0032418882,1.0252193,8.0E-5
6.4,5.821773E-6,3.5582684E-6,3.5582684E-6,1.0,0.0,2.4950215E-5,1.5249639E-5,1.5249639E-5,1.0,0.0,3.0372653E-4,1.8564962E-4,1.8564962E-4,1.0,0.0,0.0030331176,0.0018550538,0.0019149425,1.032284,6.0E-5
6.5,5.766023E-6,3.500188E-6,3.500188E-6,1.0,0.0,2.4711293E-5,1.5000726E-5,1.5000726E-5,1.0,0.0,3.0081844E-4,1.8261964E-4,1.8261964E-4,1.0,0.0,0.0030041158,0.0018248039,0.0018846944,1.0328202,6.0E-5
6.6,4.643576E-6,2.3334308E-6,2.3334308E-6,1.0,0.0,1.9900888E-5,1.0000382E-5,1.0000382E-5,1.0,0.0,2.4226638E-4,1.2174828E-4,1.2174828E-4,1.0,0.0,0.0024200242,0.0012168583,0.0012568096,1.0328315,4.0E-5
6.7,3.9529173E-6,1.6489912E-6,1.6489912E-6,1.0,0.0,1.6940963E-5,7.067087E-6,7.067087E-6,1.0,0.0,2.0623671E-4,8.603858E-5,8.603858E-5,1.0,0.0,0.002060454,8.6007116E-4,8.8005397E-4,1.0232339,2.0E-5
6.8,3.4377522E-6,1.2250545E-6,1.2250545E-6,1.0,0.0,1.473314E-5,5.2502232E-6,5.2502232E-6,1.0,0.0,1.7936122E-4,6.391969E-5,6.391969E-5,1.0,0.0,0.0017921652,6.3902215E-4,6.590094E-4,1.0312778,2.0E-5
6.9,3.1367306E-6,1.0038439E-6,1.0038439E-6,1.0,0.0,1.3443062E-5,4.3021814E-6,4.3021814E-6,1.0,0.0,1.63657E-4,5.2377876E-5,5.2377876E-5,1.0,0.0,0.0016353652,5.2366295E-4,5.2366295E-4,1.0,0.0
7.0,2.8298145E-6,7.432667E-7,7.432667E-7,1.0,0.0,1.2127721E-5,3.185425E-6,3.185425E-6,1.0,0.0,1.47645E-4,3.878191E-5,3.878191E-5,1.0,0.0,0.0014754693,3.8775642E-4,3.8775642E-4,1.0,0.0
7.1,2.4091064E-6,5.425965E-7,5.425965E-7,1.0,0.0,1.03247E-5,2.325412E-6,2.325412E-6,1.0,0.0,1.2569598E-4,2.8311564E-5,2.8311564E-5,1.0,0.0,0.001256249,2.8308362E-4,2.8308362E-4,1.0,0.0
7.2,1.3875518E-6,1.07579744E-7,1.07579744E-7,1.0,0.0,5.9466374E-6,4.6105598E-7,4.6105598E-7,1.0,0.0,7.23979E-5,5.613343E-6,5.613343E-6,1.0,0.0,7.2374323E-4,5.613213E-5,5.613213E-5,1.0,0.0
7.3,7.056077E-7,5.010799E-8,5.010799E-8,1.0,0.0,3.0240296E-6,2.1474851E-7,2.1474851E-7,1.0,0.0,3.681694E-5,2.6145606E-6,2.6145606E-6,1.0,0.0,3.681084E-4,2.6145344E-5,2.6145344E-5,1.0,0.0
7.4,5.9334678E-8,4.879923E-9,4.879923E-9,1.0,0.0,2.5429145E-7,2.0913955E-8,2.0913955E-8,1.0,0.0,3.095994E-6,2.546274E-7,2.546274E-7,1.0,0.0,3.095951E-5,2.546272E-6,2.546272E-6,1.0,0.0
