Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.2554693E-5,4.7309753E-5,4.7309753E-5,1.0,0.0,1.8236451E-4,2.0274213E-4,2.0274213E-4,1.0,0.0,0.002218027,0.0024659135,0.0024659135,1.0,0.0,0.02196019,0.0244197,0.024439212,1.0007991,2.0E-5
6.1,4.2554693E-5,4.7309753E-5,4.7309753E-5,1.0,0.0,1.8236451E-4,2.0274213E-4,2.0274213E-4,1.0,0.0,0.002218027,0.0024659135,0.0024659135,1.0,0.0,0.02196019,0.0244197,0.024439212,1.0007991,2.0E-5
6.2,4.2554693E-5,4.7309753E-5,4.7309753E-5,1.0,0.0,1.8236451E-4,2.0274213E-4,2.0274213E-4,1.0,0.0,0.002218027,0.0024659135,0.0024659135,1.0,0.0,0.02196019,0.0244197,0.024439212,1.0007991,2.0E-5
6.3,1.9617712E-5,1.8300894E-5,1.8300894E-5,1.0,0.0,8.40732E-5,7.843016E-5,7.843016E-5,1.0,0.0,0.0010231105,9.544879E-4,9.544879E-4,1.0,0.0,0.01018413,0.009507262,0.009527072,1.0020837,2.0E-5
6.4,1.5611336E-5,1.3631922E-5,1.3631922E-5,1.0,0.0,6.690401E-5,5.842125E-5,5.842125E-5,1.0,0.0,8.142519E-4,7.110526E-4,7.110526E-4,1.0,0.0,0.008112748,0.007089829,0.0070997584,1.0014005,1.0E-5
6.5,1.5150166E-5,1.31282795E-5,1.31282795E-5,1.0,0.0,6.492767E-5,5.6262874E-5,5.6262874E-5,1.0,0.0,7.9020765E-4,6.847911E-4,6.847911E-4,1.0,0.0,0.007874036,0.0068288487,0.0068288487,1.0,0.0
6.6,1.295588E-5,1.04036935E-5,1.04036935E-5,1.0,0.0,5.552402E-5,4.4586508E-5,4.4586508E-5,1.0,0.0,6.7579525E-4,5.427075E-4,5.427075E-4,1.0,0.0,0.006737438,0.0054154424,0.0054154424,1.0,0.0
6.7,1.2542085E-5,9.921762E-6,9.921762E-6,1.0,0.0,5.3750682E-5,4.252116E-5,4.252116E-5,1.0,0.0,6.542181E-4,5.17574E-4,5.17574E-4,1.0,0.0,0.006522954,0.0051652617,0.0051652617,1.0,0.0
6.8,1.2195878E-5,9.517074E-6,9.517074E-6,1.0,0.0,5.2267E-5,4.0786832E-5,4.0786832E-5,1.0,0.0,6.36165E-4,4.964684E-4,4.964684E-4,1.0,0.0,0.0063434686,0.004955103,0.004955103,1.0,0.0
6.9,1.1580298E-5,8.793203E-6,8.793203E-6,1.0,0.0,4.9628903E-5,3.7684622E-5,3.7684622E-5,1.0,0.0,6.040644E-4,4.5871534E-4,4.5871534E-4,1.0,0.0,0.00602425,0.0045790724,0.0045790724,1.0,0.0
7.0,1.0964795E-5,8.102919E-6,8.102919E-6,1.0,0.0,4.6991136E-5,3.472634E-5,3.472634E-5,1.0,0.0,5.7196687E-4,4.2271274E-4,4.2271274E-4,1.0,0.0,0.0057049696,0.0042203944,0.0042203944,1.0,0.0
7.1,1.0230601E-5,7.3438646E-6,7.3438646E-6,1.0,0.0,4.3844695E-5,3.1473333E-5,3.1473333E-5,1.0,0.0,5.336784E-4,3.8312178E-4,3.8312178E-4,1.0,0.0,0.005323986,0.003825815,0.003825815,1.0,0.0
7.2,9.40865E-6,6.5591103E-6,6.5591103E-6,1.0,0.0,4.032216E-5,2.8110177E-5,2.8110177E-5,1.0,0.0,4.908117E-4,3.4218887E-4,3.4218887E-4,1.0,0.0,0.0048972913,0.00341774,0.00341774,1.0,0.0
7.3,8.237384E-6,5.6114923E-6,5.6114923E-6,1.0,0.0,3.5302593E-5,2.4049037E-5,2.4049037E-5,1.0,0.0,4.2972428E-4,2.9275875E-4,2.9275875E-4,1.0,0.0,0.0042889426,0.002924065,0.002924065,1.0,0.0
7.4,7.5316966E-6,5.039616E-6,5.039616E-6,1.0,0.0,3.2278298E-5,2.1598182E-5,2.1598182E-5,1.0,0.0,3.9291743E-4,2.6292715E-4,2.6292715E-4,1.0,0.0,0.0039222343,0.0026262726,0.0026262726,1.0,0.0
7.5,6.149649E-6,3.9434226E-6,3.9434226E-6,1.0,0.0,2.6355372E-5,1.6900278E-5,1.6900278E-5,1.0,0.0,3.208294E-4,2.0574236E-4,2.0574236E-4,1.0,0.0,0.003203666,0.0020556084,0.0020556084,1.0,0.0
7.6,5.457711E-6,3.4035963E-6,3.4035963E-6,1.0,0.0,2.338998E-5,1.4586764E-5,1.4586764E-5,1.0,0.0,2.8473578E-4,1.7758021E-4,1.7758021E-4,1.0,0.0,0.0028437122,0.0017744642,0.0017744642,1.0,0.0
