Magnitude,ComCat Data
0.05,11.0
0.15,17.0
0.25,40.0
0.35,87.0
0.45,159.0
0.55,242.0
0.65,242.0
0.75,206.0
0.85,145.0
0.95,151.0
1.05,108.0
1.15,91.0
1.25,75.0
1.35,64.0
1.45,34.0
1.55,27.0
1.65,27.0
1.75,25.0
1.85,18.0
1.95,19.0
2.05,13.0
2.15,16.0
2.25,10.0
2.35,13.0
2.45,10.0
2.55,3.0
2.65,5.0
2.75,1.0
2.85,2.0
2.95,0.0
3.05,2.0
3.15,1.0
3.25,2.0
3.35,0.0
3.45,2.0
3.55,2.0
3.65,2.0
3.75,1.0
3.85,0.0
3.95,0.0
4.05,0.0
4.15,0.0
4.25,0.0
4.35,0.0
4.45,0.0
4.55,0.0
4.65,0.0
4.75,0.0
4.85,0.0
4.95,0.0
5.05,0.0
5.15,0.0
5.25,0.0
5.35,0.0
5.45,0.0
5.55,0.0
5.65,0.0
5.75,0.0
5.85,0.0
5.95,0.0
6.05,0.0
6.15,0.0
6.25,0.0
6.35,0.0
6.45,0.0
6.55,0.0
6.65,0.0
6.75,0.0
6.85,0.0
6.95,0.0
7.05,0.0
7.15,0.0
7.25,0.0
7.35,0.0
7.45,0.0
7.55,0.0
7.65,0.0
7.75,0.0
7.85,0.0
7.95,0.0
8.05,0.0
8.15,0.0
8.25,0.0
8.35,0.0
8.45,0.0
8.55,0.0
8.65,0.0
8.75,0.0
8.85,0.0
