Time (days),ComCat Data
0.0,0.0
0.014438111,42.0
0.028876223,76.0
0.043314334,105.0
0.057752445,129.0
0.07219055,152.0
0.08662867,181.0
0.101066776,203.0
0.11550489,217.0
0.129943,234.0
0.1443811,247.0
0.15881923,262.0
0.17325734,271.0
0.18769544,282.0
0.20213355,293.0
0.21657167,308.0
0.23100978,318.0
0.24544789,326.0
0.259886,330.0
0.27432412,340.0
0.2887622,348.0
0.30320033,354.0
0.31763846,366.0
0.33207655,378.0
0.34651467,387.0
0.3609528,387.0
0.3753909,394.0
0.389829,402.0
0.4042671,408.0
0.41870522,421.0
0.43314335,425.0
0.44758144,434.0
0.46201956,441.0
0.4764577,442.0
0.49089578,452.0
0.5053339,454.0
0.519772,461.0
0.5342101,467.0
0.54864824,468.0
0.56308633,472.0
0.5775244,478.0
0.5919626,486.0
0.60640067,492.0
0.62083876,495.0
0.6352769,497.0
0.649715,501.0
0.6641531,504.0
0.67859125,513.0
0.69302934,518.0
0.70746744,523.0
0.7219056,532.0
0.7363437,535.0
0.7507818,538.0
0.76521987,543.0
0.779658,549.0
0.7940961,552.0
0.8085342,554.0
0.82297236,555.0
0.83741045,556.0
0.85184854,560.0
0.8662867,562.0
0.8807248,562.0
0.8951629,565.0
0.90960103,570.0
0.9240391,576.0
0.9384772,579.0
0.9529154,580.0
0.96735346,583.0
0.98179156,586.0
0.99622965,590.0
1.0106678,592.0
1.025106,600.0
1.039544,605.0
1.0539821,617.0
1.0684202,624.0
1.0828583,633.0
1.0972965,642.0
1.1117345,649.0
1.1261727,657.0
1.1406108,659.0
1.1550488,663.0
1.169487,668.0
1.1839252,672.0
1.1983632,676.0
1.2128013,678.0
1.2272395,682.0
1.2416775,689.0
1.2561157,697.0
1.2705538,698.0
1.2849919,703.0
1.29943,712.0
1.3138682,716.0
1.3283062,716.0
1.3427444,718.0
1.3571825,721.0
1.3716205,721.0
1.3860587,723.0
1.4004968,727.0
1.4149349,731.0
1.429373,737.0
1.4438112,741.0
1.4582492,746.0
1.4726874,749.0
1.4871254,752.0
1.5015635,756.0
1.5160017,765.0
1.5304397,769.0
1.5448779,776.0
1.559316,780.0
1.5737541,782.0
1.5881922,786.0
1.6026304,788.0
1.6170684,793.0
1.6315066,794.0
1.6459447,802.0
1.6603827,810.0
1.6748209,813.0
1.689259,814.0
1.7036971,819.0
1.7181352,823.0
1.7325734,828.0
1.7470114,830.0
1.7614496,834.0
1.7758877,837.0
1.7903258,843.0
1.8047639,851.0
1.8192021,879.0
1.8336401,894.0
1.8480783,911.0
1.8625164,923.0
1.8769544,936.0
1.8913926,946.0
1.9058307,950.0
1.9202688,955.0
1.9347069,970.0
1.949145,978.0
1.9635831,980.0
1.9780213,988.0
1.9924593,993.0
2.0068974,1004.0
2.0213356,1010.0
2.0357738,1014.0
2.050212,1016.0
2.0646498,1020.0
2.079088,1020.0
2.0935261,1024.0
2.1079643,1029.0
2.1224024,1034.0
2.1368403,1037.0
2.1512785,1044.0
2.1657166,1048.0
2.1801548,1050.0
2.194593,1054.0
2.209031,1061.0
2.223469,1062.0
2.2379072,1067.0
2.2523453,1070.0
2.2667835,1071.0
2.2812216,1079.0
2.2956598,1084.0
2.3100977,1087.0
2.3245358,1092.0
2.338974,1096.0
2.3534122,1103.0
2.3678503,1106.0
2.3822885,1115.0
2.3967264,1121.0
2.4111645,1127.0
2.4256027,1129.0
2.4400408,1136.0
2.454479,1139.0
2.4689171,1141.0
2.483355,1144.0
2.4977932,1146.0
2.5122313,1151.0
2.5266695,1153.0
2.5411077,1156.0
2.5555456,1159.0
2.5699837,1162.0
2.5844219,1168.0
2.59886,1170.0
2.6132982,1171.0
2.6277363,1174.0
2.6421742,1177.0
2.6566124,1181.0
2.6710505,1186.0
2.6854887,1192.0
2.6999269,1195.0
2.714365,1198.0
2.728803,1199.0
2.743241,1199.0
2.7576792,1203.0
2.7721174,1206.0
2.7865555,1206.0
2.8009937,1210.0
2.8154316,1212.0
2.8298697,1214.0
2.844308,1216.0
2.858746,1219.0
2.8731842,1223.0
2.8876224,1227.0
2.9020603,1228.0
2.9164984,1231.0
2.9309366,1236.0
2.9453747,1238.0
2.9598129,1240.0
2.9742508,1242.0
2.988689,1251.0
3.003127,1255.0
3.0175653,1258.0
3.0320034,1261.0
3.0464416,1262.0
3.0608795,1265.0
3.0753176,1265.0
3.0897558,1266.0
3.104194,1267.0
3.118632,1268.0
3.1330702,1271.0
3.1475081,1273.0
3.1619463,1280.0
3.1763844,1283.0
3.1908226,1285.0
3.2052608,1291.0
3.219699,1294.0
3.2341368,1299.0
3.248575,1301.0
3.2630131,1304.0
3.2774513,1308.0
3.2918894,1308.0
3.3063276,1310.0
3.3207655,1315.0
3.3352036,1321.0
3.3496418,1321.0
3.36408,1324.0
3.378518,1331.0
3.392956,1334.0
3.4073942,1336.0
3.4218323,1339.0
3.4362705,1341.0
3.4507086,1346.0
3.4651468,1350.0
3.4795847,1352.0
3.4940228,1352.0
3.508461,1353.0
3.5228992,1357.0
3.5373373,1359.0
3.5517755,1359.0
3.5662134,1361.0
3.5806515,1364.0
3.5950897,1370.0
3.6095278,1374.0
3.623966,1378.0
3.6384041,1383.0
3.652842,1384.0
3.6672802,1392.0
3.6817183,1392.0
3.6961565,1394.0
3.7105947,1398.0
3.7250328,1399.0
3.7394707,1400.0
3.7539089,1401.0
3.768347,1403.0
3.7827852,1403.0
3.7972233,1406.0
3.8116615,1407.0
3.8260994,1408.0
3.8405375,1410.0
3.8549757,1414.0
3.8694139,1414.0
3.883852,1416.0
3.89829,1419.0
3.912728,1421.0
3.9271662,1424.0
3.9416044,1427.0
3.9560425,1465.0
3.9704807,1482.0
3.9849186,1497.0
3.9993567,1504.0
4.013795,1507.0
4.028233,1514.0
4.042671,1521.0
4.0571094,1531.0
4.0715475,1539.0
4.0859857,1541.0
4.100424,1546.0
4.1148615,1551.0
4.1292996,1562.0
4.143738,1567.0
4.158176,1570.0
4.172614,1573.0
4.1870522,1577.0
4.2014904,1577.0
4.2159286,1578.0
4.2303667,1580.0
4.244805,1585.0
4.259243,1587.0
4.2736807,1590.0
4.288119,1594.0
4.302557,1597.0
4.316995,1604.0
4.3314333,1609.0
4.3458714,1611.0
4.3603096,1612.0
4.3747478,1615.0
4.389186,1618.0
4.403624,1621.0
4.418062,1626.0
4.4325004,1626.0
4.446938,1629.0
4.461376,1632.0
4.4758143,1633.0
4.4902525,1636.0
4.5046906,1638.0
4.519129,1644.0
4.533567,1645.0
4.548005,1647.0
4.5624433,1649.0
4.5768814,1651.0
4.5913196,1651.0
4.6057577,1652.0
4.6201954,1652.0
4.6346335,1655.0
4.6490717,1655.0
4.66351,1657.0
4.677948,1659.0
4.692386,1662.0
4.7068243,1664.0
4.7212625,1665.0
4.7357006,1667.0
4.7501388,1669.0
4.764577,1670.0
4.7790146,1670.0
4.7934527,1671.0
4.807891,1672.0
4.822329,1675.0
4.836767,1677.0
4.8512053,1677.0
4.8656435,1678.0
4.8800817,1679.0
4.89452,1680.0
4.908958,1682.0
4.923396,1684.0
4.9378343,1686.0
4.952272,1686.0
4.96671,1689.0
4.9811482,1689.0
4.9955864,1690.0
5.0100245,1693.0
5.0244627,1696.0
5.038901,1696.0
5.053339,1696.0
5.067777,1697.0
5.0822153,1699.0
5.0966535,1700.0
5.111091,1703.0
5.1255293,1703.0
5.1399674,1708.0
5.1544056,1714.0
5.1688437,1716.0
