Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.556969E-4,8.1781857E-4,8.1781857E-4,1.0,0.0,0.0023793848,0.0035008495,0.0035008495,1.0,0.0,0.028586963,0.0421303,0.042139877,1.0002273,1.0E-5,0.25176284,0.343088,0.34310114,1.0000383,2.0E-5
6.1,1.925858E-4,3.140977E-4,3.140977E-4,1.0,0.0,8.2510663E-4,0.0013455459,0.0013455459,1.0,0.0,0.0099994885,0.016331896,0.016341733,1.0006022,1.0E-5,0.095613256,0.15243863,0.15245558,1.0001112,2.0E-5
6.2,9.4306815E-5,1.8558161E-4,1.8558161E-4,1.0,0.0,4.0410945E-4,7.9510856E-4,7.9510856E-4,1.0,0.0,0.0049089384,0.009637693,0.009647597,1.0010276,1.0E-5,0.048019063,0.093227275,0.09324541,1.0001945,2.0E-5
6.3,9.283051E-5,1.8253327E-4,1.8253327E-4,1.0,0.0,3.9778434E-4,7.820522E-4,7.820522E-4,1.0,0.0,0.0048322747,0.00948013,0.0094900355,1.0010449,1.0E-5,0.047285385,0.09187754,0.0918957,1.0001976,2.0E-5
6.4,9.138826E-5,1.8013483E-4,1.8013483E-4,1.0,0.0,3.916052E-4,7.7177916E-4,7.7177916E-4,1.0,0.0,0.0047573745,0.009356132,0.009366038,1.0010588,1.0E-5,0.046568092,0.09076956,0.09078774,1.0002004,2.0E-5
6.5,9.000255E-5,1.776968E-4,1.776968E-4,1.0,0.0,3.8566816E-4,7.613366E-4,7.613366E-4,1.0,0.0,0.0046854047,0.009230096,0.009240003,1.0010734,1.0E-5,0.045878403,0.08965303,0.08967123,1.0002031,2.0E-5
6.6,8.8109264E-5,1.7446809E-4,1.7446809E-4,1.0,0.0,3.7755648E-4,7.475073E-4,7.475073E-4,1.0,0.0,0.0045870654,0.009063152,0.009073061,1.0010934,1.0E-5,0.04493529,0.08817209,0.08819033,1.0002068,2.0E-5
6.7,8.738073E-5,1.731302E-4,1.731302E-4,1.0,0.0,3.7443507E-4,7.417768E-4,7.417768E-4,1.0,0.0,0.0045492216,0.008993998,0.009003908,1.0011019,1.0E-5,0.04457213,0.08757027,0.08758852,1.0002084,2.0E-5
6.8,8.710195E-5,1.7257842E-4,1.7257842E-4,1.0,0.0,3.7324068E-4,7.394134E-4,7.394134E-4,1.0,0.0,0.0045347405,0.008965468,0.008975379,1.0011054,1.0E-5,0.04443313,0.08731551,0.08733376,1.0002091,2.0E-5
6.9,8.6801556E-5,1.7198188E-4,1.7198188E-4,1.0,0.0,3.7195362E-4,7.3685823E-4,7.3685823E-4,1.0,0.0,0.0045191357,0.008934615,0.008944526,1.0011092,1.0E-5,0.044283327,0.087039456,0.08705772,1.0002098,2.0E-5
7.0,8.5571606E-5,1.6948549E-4,1.6948549E-4,1.0,0.0,3.6668387E-4,7.2616537E-4,7.2616537E-4,1.0,0.0,0.004455241,0.008805489,0.008815401,1.0011257,1.0E-5,0.043669727,0.08587901,0.08589729,1.0002129,2.0E-5
7.1,7.82589E-5,1.5418354E-4,1.5418354E-4,1.0,0.0,3.3535215E-4,6.6062E-4,6.6062E-4,1.0,0.0,0.0040752706,0.008013563,0.008023484,1.0012379,1.0E-5,0.040013418,0.07875642,0.07877485,1.0002339,2.0E-5
7.2,7.690929E-5,1.5153259E-4,1.5153259E-4,1.0,0.0,3.2956956E-4,6.492645E-4,6.492645E-4,1.0,0.0,0.004005129,0.007876317,0.007886238,1.0012597,1.0E-5,0.0393371,0.07752195,0.077540405,1.000238,2.0E-5
7.3,7.5543794E-5,1.4846087E-4,1.4846087E-4,1.0,0.0,3.2371894E-4,6.361064E-4,6.361064E-4,1.0,0.0,0.003934157,0.007717263,0.0077271857,1.0012858,1.0E-5,0.038652334,0.0760742,0.076092675,1.000243,2.0E-5
7.4,7.4214564E-5,1.4543234E-4,1.4543234E-4,1.0,0.0,3.1802364E-4,6.2313327E-4,6.2313327E-4,1.0,0.0,0.003865065,0.0075604212,0.007570346,1.0013127,1.0E-5,0.03798529,0.07463432,0.07465283,1.000248,2.0E-5
7.5,6.149578E-5,1.1432619E-4,1.1432619E-4,1.0,0.0,2.6352672E-4,4.898775E-4,4.898775E-4,1.0,0.0,0.0032037178,0.0059479815,0.005957922,1.0016712,1.0E-5,0.03157923,0.059669632,0.059688438,1.0003152,2.0E-5
7.6,6.0643448E-5,1.1259058E-4,1.1259058E-4,1.0,0.0,2.598746E-4,4.8244192E-4,4.8244192E-4,1.0,0.0,0.0031593828,0.0058579436,0.005867885,1.0016971,1.0E-5,0.031148417,0.058822073,0.058840897,1.00032,2.0E-5
7.7,5.1652263E-5,9.390114E-5,9.390114E-5,1.0,0.0,2.2134806E-4,4.023714E-4,4.023714E-4,1.0,0.0,0.002691582,0.004887879,0.0048978296,1.0020359,1.0E-5,0.026592141,0.04954236,0.04956137,1.0003837,2.0E-5
7.8,4.8090482E-5,8.757967E-5,8.757967E-5,1.0,0.0,2.060858E-4,3.7528746E-4,3.7528746E-4,1.0,0.0,0.0025062072,0.0045595607,0.004569515,1.0021832,1.0E-5,0.024781305,0.046232767,0.04625184,1.0004126,2.0E-5
7.9,3.970278E-5,6.905104E-5,6.905104E-5,1.0,0.0,1.7014367E-4,2.958995E-4,2.958995E-4,1.0,0.0,0.002069531,0.003596629,0.003606593,1.0027704,1.0E-5,0.020503636,0.036622137,0.036641404,1.0005261,2.0E-5
8.0,2.8982335E-5,4.1683892E-5,4.1683892E-5,1.0,0.0,1.2420409E-4,1.7863302E-4,1.7863302E-4,1.0,0.0,0.0015111357,0.0021726892,0.0021826674,1.0045925,1.0E-5,0.015009012,0.022503164,0.022522714,1.0008688,2.0E-5
8.1,1.8836186E-5,1.9239948E-5,1.9239948E-5,1.0,0.0,8.0724014E-5,8.245431E-5,8.245431E-5,1.0,0.0,9.823717E-4,0.0010034195,0.0010134095,1.0099559,1.0E-5,0.009780403,0.010781287,0.010801072,1.0018351,2.0E-5
