Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2336002E-4,3.020345E-4,3.020345E-4,1.0,0.0,5.2857865E-4,0.0012938177,0.0012938177,1.0,0.0,0.006416472,0.015643448,0.015643448,1.0,0.0,0.06234337,0.14365126,0.14365982,1.0000596,1.0E-5
6.1,1.2336002E-4,3.020345E-4,3.020345E-4,1.0,0.0,5.2857865E-4,0.0012938177,0.0012938177,1.0,0.0,0.006416472,0.015643448,0.015643448,1.0,0.0,0.06234337,0.14365126,0.14365982,1.0000596,1.0E-5
6.2,1.2336002E-4,3.020345E-4,3.020345E-4,1.0,0.0,5.2857865E-4,0.0012938177,0.0012938177,1.0,0.0,0.006416472,0.015643448,0.015643448,1.0,0.0,0.06234337,0.14365126,0.14365982,1.0000596,1.0E-5
6.3,1.1712257E-4,2.8989697E-4,2.8989697E-4,1.0,0.0,5.018573E-4,0.0012418499,0.0012418499,1.0,0.0,0.006093008,0.015019583,0.015019583,1.0,0.0,0.059286322,0.13836545,0.13837406,1.0000622,1.0E-5
6.4,1.1712257E-4,2.8989697E-4,2.8989697E-4,1.0,0.0,5.018573E-4,0.0012418499,0.0012418499,1.0,0.0,0.006093008,0.015019583,0.015019583,1.0,0.0,0.059286322,0.13836545,0.13837406,1.0000622,1.0E-5
6.5,1.0689076E-4,2.6999123E-4,2.6999123E-4,1.0,0.0,4.5802278E-4,0.0011566171,0.0011566171,1.0,0.0,0.0055621783,0.013995539,0.013995539,1.0,0.0,0.05425003,0.12959214,0.12960084,1.0000671,1.0E-5
6.6,9.7648895E-5,2.5240643E-4,2.5240643E-4,1.0,0.0,4.1842813E-4,0.0010813171,0.0010813171,1.0,0.0,0.005082469,0.013089962,0.013089962,1.0,0.0,0.049677886,0.12174042,0.12174921,1.0000721,1.0E-5
6.7,8.757013E-5,2.3308076E-4,2.3308076E-4,1.0,0.0,3.7524657E-4,9.985575E-4,9.985575E-4,1.0,0.0,0.00455906,0.012093782,0.012093782,1.0,0.0,0.04466656,0.11308931,0.113098174,1.0000784,1.0E-5
6.8,8.562978E-5,2.2866427E-4,2.2866427E-4,1.0,0.0,3.6693315E-4,9.79644E-4,9.79644E-4,1.0,0.0,0.004458263,0.011866034,0.011866034,1.0,0.0,0.043698758,0.11109985,0.111108735,1.00008,1.0E-5
6.9,6.124075E-5,1.7233979E-4,1.7233979E-4,1.0,0.0,2.6243398E-4,7.3839084E-4,7.3839084E-4,1.0,0.0,0.0031904527,0.008953063,0.008953063,1.0,0.0,0.031450346,0.08486726,0.08487641,1.0001079,1.0E-5
7.0,5.8598747E-5,1.6661224E-4,1.6661224E-4,1.0,0.0,2.5111332E-4,7.138579E-4,7.138579E-4,1.0,0.0,0.0030530186,0.008656784,0.008656784,1.0,0.0,0.03011414,0.082181014,0.08219019,1.0001117,1.0E-5
7.1,5.613814E-5,1.6077943E-4,1.6077943E-4,1.0,0.0,2.4056983E-4,6.8887346E-4,6.8887346E-4,1.0,0.0,0.0029250039,0.008354966,0.008354966,1.0,0.0,0.028868021,0.07947284,0.07948205,1.0001159,1.0E-5
