Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.482615E-5,2.1506206E-5,2.1506206E-5,1.0,0.0,1.9209793E-4,9.216625E-5,9.216625E-5,1.0,0.0,0.0023362834,0.0011215559,0.001161511,1.0356247,4.0E-5,0.02311874,0.0117033385,0.011782402,1.0067557,8.0E-5
6.1,4.482615E-5,2.1506206E-5,2.1506206E-5,1.0,0.0,1.9209793E-4,9.216625E-5,9.216625E-5,1.0,0.0,0.0023362834,0.0011215559,0.001161511,1.0356247,4.0E-5,0.02311874,0.0117033385,0.011782402,1.0067557,8.0E-5
6.2,4.482615E-5,2.1506206E-5,2.1506206E-5,1.0,0.0,1.9209793E-4,9.216625E-5,9.216625E-5,1.0,0.0,0.0023362834,0.0011215559,0.001161511,1.0356247,4.0E-5,0.02311874,0.0117033385,0.011782402,1.0067557,8.0E-5
6.3,4.482615E-5,2.1506206E-5,2.1506206E-5,1.0,0.0,1.9209793E-4,9.216625E-5,9.216625E-5,1.0,0.0,0.0023362834,0.0011215559,0.001161511,1.0356247,4.0E-5,0.02311874,0.0117033385,0.011782402,1.0067557,8.0E-5
6.4,4.482615E-5,2.1506206E-5,2.1506206E-5,1.0,0.0,1.9209793E-4,9.216625E-5,9.216625E-5,1.0,0.0,0.0023362834,0.0011215559,0.001161511,1.0356247,4.0E-5,0.02311874,0.0117033385,0.011782402,1.0067557,8.0E-5
6.5,3.7294863E-5,1.7673607E-5,1.7673607E-5,1.0,0.0,1.5982533E-4,7.574186E-5,7.574186E-5,1.0,0.0,0.0019441366,9.217716E-4,9.51744E-4,1.032516,3.0E-5,0.01927216,0.009650106,0.0097194305,1.0071838,7.0E-5
6.6,3.7294863E-5,1.7673607E-5,1.7673607E-5,1.0,0.0,1.5982533E-4,7.574186E-5,7.574186E-5,1.0,0.0,0.0019441366,9.217716E-4,9.51744E-4,1.032516,3.0E-5,0.01927216,0.009650106,0.0097194305,1.0071838,7.0E-5
6.7,3.6039248E-5,1.6914892E-5,1.6914892E-5,1.0,0.0,1.5444479E-4,7.24904E-5,7.24904E-5,1.0,0.0,0.0018787434,8.8221754E-4,9.121911E-4,1.0339752,3.0E-5,0.01862939,0.009249008,0.009308453,1.0064272,6.0E-5
6.8,3.5031844E-5,1.6537788E-5,1.6537788E-5,1.0,0.0,1.5012783E-4,7.087433E-5,7.087433E-5,1.0,0.0,0.0018262739,8.625576E-4,8.925317E-4,1.0347503,3.0E-5,0.01811338,0.009046747,0.009106205,1.0065722,6.0E-5
6.9,3.435112E-5,1.6365177E-5,1.6365177E-5,1.0,0.0,1.4721078E-4,7.013461E-5,7.013461E-5,1.0,0.0,0.0017908178,8.5355854E-4,8.835329E-4,1.035117,3.0E-5,0.017764548,0.008954412,0.009013875,1.0066406,6.0E-5
7.0,2.8959772E-5,1.4609524E-5,1.4609524E-5,1.0,0.0,1.241074E-4,6.261076E-5,6.261076E-5,1.0,0.0,0.0015099603,7.620223E-4,7.82007E-4,1.0262259,2.0E-5,0.014997416,0.008011045,0.008060644,1.0061914,5.0E-5
7.1,2.6002877E-5,1.3079172E-5,1.3079172E-5,1.0,0.0,1.11436144E-4,5.6052406E-5,5.6052406E-5,1.0,0.0,0.0013558907,6.822265E-4,7.0221286E-4,1.0292958,2.0E-5,0.013476475,0.007176634,0.007216347,1.0055337,4.0E-5
7.2,2.2544838E-5,1.14880695E-5,1.14880695E-5,1.0,0.0,9.661716E-5,4.9233662E-5,4.9233662E-5,1.0,0.0,0.001175679,5.992565E-4,6.0925045E-4,1.0166774,1.0E-5,0.011694785,0.006313128,0.0063429386,1.004722,3.0E-5
7.3,1.75334E-5,1.1021922E-5,1.1021922E-5,1.0,0.0,7.514098E-5,4.723596E-5,4.723596E-5,1.0,0.0,9.144575E-4,5.749475E-4,5.8494176E-4,1.0173829,1.0E-5,0.009107036,0.006045752,0.006075571,1.0049322,3.0E-5
7.4,1.5924552E-5,1.0817099E-5,1.0817099E-5,1.0,0.0,6.82463E-5,4.635818E-5,4.635818E-5,1.0,0.0,8.305819E-4,5.6426605E-4,5.742604E-4,1.0177121,1.0E-5,0.008274844,0.0059305127,0.0059603346,1.0050286,3.0E-5
7.5,1.3428931E-5,1.0046813E-5,1.0046813E-5,1.0,0.0,5.7551293E-5,4.3057065E-5,4.3057065E-5,1.0,0.0,7.004617E-4,5.240948E-4,5.340896E-4,1.0190705,1.0E-5,0.006982579,0.0055103586,0.0055302484,1.0036095,2.0E-5
7.6,1.0688787E-5,8.793836E-6,8.793836E-6,1.0,0.0,4.5808283E-5,3.768733E-5,3.768733E-5,1.0,0.0,5.5757316E-4,4.587471E-4,4.687425E-4,1.0217885,1.0E-5,0.005561762,0.004837043,0.0048569464,1.0041147,2.0E-5
7.7,8.81236E-6,7.641004E-6,7.641004E-6,1.0,0.0,3.776671E-5,3.274675E-5,3.274675E-5,1.0,0.0,4.597127E-4,3.9861895E-4,4.0861496E-4,1.0250766,1.0E-5,0.0045876284,0.0042269244,0.00424684,1.0047116,2.0E-5
7.8,7.780431E-6,6.859901E-6,6.859901E-6,1.0,0.0,3.3344273E-5,2.9399247E-5,2.9399247E-5,1.0,0.0,4.0589093E-4,3.5787723E-4,3.6787364E-4,1.0279325,1.0E-5,0.0040515037,0.0038100716,0.0038299954,1.0052292,2.0E-5
7.9,6.5437994E-6,5.932652E-6,5.932652E-6,1.0,0.0,2.8044553E-5,2.5425406E-5,2.5425406E-5,1.0,0.0,3.4138895E-4,3.0951053E-4,3.0951053E-4,1.0,0.0,0.0034086495,0.003315945,0.0033259117,1.0030057,1.0E-5
8.0,5.4488164E-6,4.9483274E-6,4.9483274E-6,1.0,0.0,2.3351862E-5,2.1206946E-5,2.1206946E-5,1.0,0.0,2.8427184E-4,2.5816413E-4,2.5816413E-4,1.0,0.0,0.0028390845,0.0027832664,0.0027832664,1.0,0.0
8.1,2.8397242E-6,1.420687E-6,1.420687E-6,1.0,0.0,1.217019E-5,6.0886446E-6,6.0886446E-6,1.0,0.0,1.4816198E-4,7.4126736E-5,7.4126736E-5,1.0,0.0,0.0014806325,8.417515E-4,8.417515E-4,1.0,0.0
8.2,2.030244E-6,6.6283843E-7,6.6283843E-7,1.0,0.0,8.701017E-6,2.840733E-6,2.840733E-6,1.0,0.0,1.05929736E-4,3.458538E-5,3.458538E-5,1.0,0.0,0.0010587925,4.128753E-4,4.128753E-4,1.0,0.0
8.3,1.0659804E-6,3.0763883E-7,3.0763883E-7,1.0,0.0,4.568479E-6,1.3184515E-6,1.3184515E-6,1.0,0.0,5.5619817E-5,1.6052032E-5,1.6052032E-5,1.0,0.0,5.5605895E-4,1.9459995E-4,1.9459995E-4,1.0,0.0
