Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.6865185E-5,1.4267174E-5,1.4267174E-5,1.0,0.0,2.8653358E-4,6.114369E-5,6.114369E-5,1.0,0.0,0.0034829667,7.441865E-4,7.541791E-4,1.0134275,1.0E-5,0.03428881,0.0075876983,0.007627395,1.0052317,4.0E-5
6.1,6.544851E-5,1.4267174E-5,1.4267174E-5,1.0,0.0,2.8046346E-4,6.114369E-5,6.114369E-5,1.0,0.0,0.0034092965,7.441865E-4,7.541791E-4,1.0134275,1.0E-5,0.033574644,0.0075876974,0.007627394,1.0052317,4.0E-5
6.2,6.544851E-5,1.4267174E-5,1.4267174E-5,1.0,0.0,2.8046346E-4,6.114369E-5,6.114369E-5,1.0,0.0,0.0034092965,7.441865E-4,7.541791E-4,1.0134275,1.0E-5,0.033574644,0.0075876974,0.007627394,1.0052317,4.0E-5
6.3,5.2402065E-5,1.4267173E-5,1.4267173E-5,1.0,0.0,2.2456095E-4,6.1143684E-5,6.1143684E-5,1.0,0.0,0.0027306017,7.4418646E-4,7.54179E-4,1.0134275,1.0E-5,0.02697292,0.0075876904,0.007627387,1.0052317,4.0E-5
6.4,4.542238E-5,1.4267172E-5,1.4267172E-5,1.0,0.0,1.9465282E-4,6.1143684E-5,6.1143684E-5,1.0,0.0,0.0023673223,7.441864E-4,7.5417897E-4,1.0134275,1.0E-5,0.023422617,0.007587687,0.0076273833,1.0052317,4.0E-5
6.5,2.9672969E-5,1.4267171E-5,1.4267171E-5,1.0,0.0,1.2716366E-4,6.114368E-5,6.114368E-5,1.0,0.0,0.0015471181,7.4418634E-4,7.541789E-4,1.0134275,1.0E-5,0.015363912,0.007587679,0.0076273754,1.0052317,4.0E-5
6.6,2.6056105E-5,1.3932031E-5,1.3932031E-5,1.0,0.0,1.1166424E-4,5.970743E-5,5.970743E-5,1.0,0.0,0.0013586642,7.2671165E-4,7.367044E-4,1.0137507,1.0E-5,0.013503874,0.007411697,0.0074514006,1.0053569,4.0E-5
6.7,1.4611248E-5,1.3511223E-5,1.3511223E-5,1.0,0.0,6.261813E-5,5.7904046E-5,5.7904046E-5,1.0,0.0,7.6210906E-4,7.047698E-4,7.147628E-4,1.014179,1.0E-5,0.0075950073,0.0071925507,0.0072322628,1.0055213,4.0E-5
6.8,1.30607E-5,1.1101098E-5,1.1101098E-5,1.0,0.0,5.597323E-5,4.7575315E-5,4.7575315E-5,1.0,0.0,6.8126095E-4,5.790843E-4,5.890785E-4,1.0172586,1.0E-5,0.006791762,0.0059375637,0.005977326,1.0066968,4.0E-5
6.9,1.0443096E-5,8.306514E-6,8.306514E-6,1.0,0.0,4.4755358E-5,3.5598874E-5,3.5598874E-5,1.0,0.0,5.447602E-4,4.333325E-4,4.4332814E-4,1.023067,1.0E-5,0.005434267,0.0044675763,0.0045073973,1.0089134,4.0E-5
