Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,4.20216,0.0,14.0,2.0,1.0,0.88092,1.7E-4,2.0376
2.6,3.3358,0.0,12.0,2.0,1.0,0.81938,1.7E-4,1.61691
2.7,2.65055,0.0,10.0,1.0,1.0,0.74848,1.7E-4,1.28475
2.8,2.10321,0.0,8.0,1.0,0.0,0.67106,1.7E-4,1.01901
2.9,1.67101,0.0,7.0,1.0,0.0,0.59238,1.7E-4,0.81089
3.0,1.32796,0.0,6.0,1.0,0.0,0.51451,1.7E-4,0.64449
3.1,1.05558,0.0,5.0,0.0,0.0,0.442,1.7E-4,0.51313
3.2,0.83701,0.0,4.0,0.0,0.0,0.37594,1.7E-4,0.40782
3.3,0.6661,0.0,4.0,0.0,0.0,0.3163,1.7E-4,0.32455
3.4,0.5282,0.0,3.0,0.0,0.0,0.26389,1.7E-4,0.25772
3.5,0.41903,0.0,3.0,0.0,0.0,0.21884,1.7E-4,0.20442
3.6,0.33319,0.0,2.0,0.0,0.0,0.18059,1.7E-4,0.16229
3.7,0.26395,0.0,2.0,0.0,0.0,0.14846,1.7E-4,0.12856
3.8,0.20947,0.0,2.0,0.0,0.0,0.12158,1.7E-4,0.10166
3.9,0.16647,0.0,1.0,0.0,0.0,0.09909,1.7E-4,0.08084
4.0,0.13232,0.0,1.0,0.0,0.0,0.08083,1.7E-4,0.06408
4.1,0.10555,0.0,1.0,0.0,0.0,0.06602,1.7E-4,0.05104
4.2,0.08348,0.0,1.0,0.0,0.0,0.05316,1.7E-4,0.03975
4.3,0.06613,0.0,1.0,0.0,0.0,0.04306,1.7E-4,0.03133
4.4,0.05256,0.0,1.0,0.0,0.0,0.03483,1.7E-4,0.02477
4.5,0.04106,0.0,1.0,0.0,0.0,0.02772,1.7E-4,0.01928
4.6,0.03228,0.0,0.0,0.0,0.0,0.02235,1.7E-4,0.01506
4.7,0.02537,0.0,0.0,0.0,0.0,0.01795,1.7E-4,0.01197
4.8,0.01998,0.0,0.0,0.0,0.0,0.01437,1.7E-4,0.00952
4.9,0.01566,0.0,0.0,0.0,0.0,0.01128,1.7E-4,0.00737
5.0,0.01247,0.0,0.0,0.0,0.0,0.00924,1.7E-4,0.00597
5.1,0.00982,0.0,0.0,0.0,0.0,0.00755,1.7E-4,0.00484
5.2,0.00758,0.0,0.0,0.0,0.0,0.00592,1.7E-4,0.00376
5.3,0.00584,0.0,0.0,0.0,0.0,0.00462,1.7E-4,0.00285
5.4,0.00455,0.0,0.0,0.0,0.0,0.00369,1.7E-4,0.00228
5.5,0.0033,0.0,0.0,0.0,0.0,0.00271,1.7E-4,0.00156
5.6,0.00232,0.0,0.0,0.0,0.0,0.00191,1.7E-4,0.00104
5.7,0.00163,0.0,0.0,0.0,0.0,0.00138,1.7E-4,7.1E-4
5.8,0.00114,0.0,0.0,0.0,0.0,9.8E-4,1.7E-4,4.6E-4
5.9,6.3E-4,0.0,0.0,0.0,0.0,5.4E-4,1.7E-4,2.0E-4
6.0,4.0E-4,0.0,0.0,0.0,0.0,3.4E-4,1.7E-4,1.0E-4
6.1,2.7E-4,0.0,0.0,0.0,0.0,2.5E-4,1.7E-4,6.0E-5
6.2,2.2E-4,0.0,0.0,0.0,0.0,2.0E-4,1.6E-4,5.0E-5
6.3,1.9E-4,0.0,0.0,0.0,0.0,1.7E-4,1.6E-4,5.0E-5
6.4,1.7E-4,0.0,0.0,0.0,0.0,1.6E-4,1.4E-4,4.0E-5
