Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.05681,0.0,1.0,0.0,0.0,0.04125,0.0,0.03538
2.6,0.04501,0.0,1.0,0.0,0.0,0.0333,0.0,0.02811
2.7,0.0361,0.0,1.0,0.0,0.0,0.02709,0.0,0.02253
2.8,0.02839,0.0,0.0,0.0,0.0,0.02179,0.0,0.01788
2.9,0.02304,0.0,0.0,0.0,0.0,0.01782,0.0,0.01442
3.0,0.01827,0.0,0.0,0.0,0.0,0.01429,0.0,0.0115
3.1,0.01452,0.0,0.0,0.0,0.0,0.01148,0.0,0.00909
3.2,0.01149,0.0,0.0,0.0,0.0,0.00909,0.0,0.00701
3.3,0.00907,0.0,0.0,0.0,0.0,0.0072,0.0,0.00544
3.4,0.00718,0.0,0.0,0.0,0.0,0.00573,0.0,0.00418
3.5,0.00555,0.0,0.0,0.0,0.0,0.00447,0.0,0.00329
3.6,0.00445,0.0,0.0,0.0,0.0,0.00363,0.0,0.00266
3.7,0.00334,0.0,0.0,0.0,0.0,0.00278,0.0,0.00198
3.8,0.0026,0.0,0.0,0.0,0.0,0.00218,0.0,0.0015
3.9,0.00205,0.0,0.0,0.0,0.0,0.00173,0.0,0.00117
4.0,0.00166,0.0,0.0,0.0,0.0,0.00141,0.0,9.5E-4
4.1,0.00136,0.0,0.0,0.0,0.0,0.00114,0.0,7.6E-4
4.2,0.00115,0.0,0.0,0.0,0.0,9.4E-4,0.0,6.2E-4
4.3,9.1E-4,0.0,0.0,0.0,0.0,7.6E-4,0.0,4.9E-4
4.4,6.5E-4,0.0,0.0,0.0,0.0,5.4E-4,0.0,3.4E-4
4.5,5.4E-4,0.0,0.0,0.0,0.0,4.6E-4,0.0,2.9E-4
4.6,4.3E-4,0.0,0.0,0.0,0.0,3.7E-4,0.0,2.2E-4
4.7,3.3E-4,0.0,0.0,0.0,0.0,3.0E-4,0.0,1.9E-4
4.8,2.9E-4,0.0,0.0,0.0,0.0,2.6E-4,0.0,1.7E-4
4.9,1.9E-4,0.0,0.0,0.0,0.0,1.8E-4,0.0,1.2E-4
5.0,1.8E-4,0.0,0.0,0.0,0.0,1.7E-4,0.0,1.2E-4
5.1,1.5E-4,0.0,0.0,0.0,0.0,1.4E-4,0.0,1.0E-4
5.2,1.2E-4,0.0,0.0,0.0,0.0,1.2E-4,0.0,9.0E-5
5.3,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,0.0,6.0E-5
5.4,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,0.0,5.0E-5
5.5,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,0.0,3.0E-5
5.6,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,0.0,2.0E-5
5.7,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0,2.0E-5
5.8,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0,2.0E-5
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
