Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.21446,0.0,2.0,0.0,0.0,0.13539,1.0E-5,0.13874
2.6,0.17001,0.0,1.0,0.0,0.0,0.10958,1.0E-5,0.10969
2.7,0.13528,0.0,1.0,0.0,0.0,0.08918,1.0E-5,0.08732
2.8,0.10673,0.0,1.0,0.0,0.0,0.07221,1.0E-5,0.06936
2.9,0.08464,0.0,1.0,0.0,0.0,0.0578,1.0E-5,0.05462
3.0,0.06733,0.0,1.0,0.0,0.0,0.04645,1.0E-5,0.04337
3.1,0.05352,0.0,1.0,0.0,0.0,0.03752,1.0E-5,0.03463
3.2,0.04305,0.0,1.0,0.0,0.0,0.03079,1.0E-5,0.02806
3.3,0.03428,0.0,0.0,0.0,0.0,0.02477,1.0E-5,0.02231
3.4,0.02701,0.0,0.0,0.0,0.0,0.01977,1.0E-5,0.01763
3.5,0.02132,0.0,0.0,0.0,0.0,0.01565,1.0E-5,0.01379
3.6,0.017,0.0,0.0,0.0,0.0,0.01269,1.0E-5,0.01101
3.7,0.0138,0.0,0.0,0.0,0.0,0.0103,1.0E-5,0.0089
3.8,0.01101,0.0,0.0,0.0,0.0,0.00826,1.0E-5,0.00702
3.9,0.00869,0.0,0.0,0.0,0.0,0.00661,1.0E-5,0.00555
4.0,0.00686,0.0,0.0,0.0,0.0,0.00525,1.0E-5,0.00444
4.1,0.00538,0.0,0.0,0.0,0.0,0.00411,1.0E-5,0.00344
4.2,0.00435,0.0,0.0,0.0,0.0,0.00341,1.0E-5,0.00279
4.3,0.00349,0.0,0.0,0.0,0.0,0.00279,1.0E-5,0.00228
4.4,0.00278,0.0,0.0,0.0,0.0,0.00222,1.0E-5,0.00181
4.5,0.0022,0.0,0.0,0.0,0.0,0.00181,1.0E-5,0.00148
4.6,0.0017,0.0,0.0,0.0,0.0,0.00143,1.0E-5,0.00117
4.7,0.00137,0.0,0.0,0.0,0.0,0.0011,1.0E-5,9.1E-4
4.8,0.0011,0.0,0.0,0.0,0.0,9.2E-4,1.0E-5,7.6E-4
4.9,8.4E-4,0.0,0.0,0.0,0.0,7.2E-4,1.0E-5,5.9E-4
5.0,6.4E-4,0.0,0.0,0.0,0.0,5.7E-4,1.0E-5,4.7E-4
5.1,5.0E-4,0.0,0.0,0.0,0.0,4.9E-4,1.0E-5,4.0E-4
5.2,4.4E-4,0.0,0.0,0.0,0.0,4.4E-4,1.0E-5,3.6E-4
5.3,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,1.0E-5,2.9E-4
5.4,2.6E-4,0.0,0.0,0.0,0.0,2.6E-4,1.0E-5,2.2E-4
5.5,2.3E-4,0.0,0.0,0.0,0.0,2.3E-4,1.0E-5,2.0E-4
5.6,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.0E-5,1.6E-4
5.7,1.7E-4,0.0,0.0,0.0,0.0,1.7E-4,1.0E-5,1.6E-4
5.8,1.2E-4,0.0,0.0,0.0,0.0,1.2E-4,1.0E-5,1.1E-4
5.9,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,1.0E-5,6.0E-5
6.0,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.3,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.4,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.5,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.6,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.7,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.8,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
