Magnitude,ComCat Data
0.0,79.0
0.1,79.0
0.2,79.0
0.3,79.0
0.4,79.0
0.5,79.0
0.6,79.0
0.7,79.0
0.8,79.0
0.9,79.0
1.0,77.0
1.1,69.0
1.2,60.0
1.3,50.0
1.4,41.0
1.5,32.0
1.6,24.0
1.7,20.0
1.8,16.0
1.9,14.0
2.0,8.0
2.1,7.0
2.2,6.0
2.3,4.0
2.4,3.0
2.5,2.0
2.6,2.0
2.7,1.0
2.8,1.0
2.9,1.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
