Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.2521618E-4,4.8117034E-4,4.8117034E-4,1.0,0.0,9.6485513E-4,0.0020605663,0.002070546,1.004843,1.0E-5,0.011683988,0.024792409,0.02480216,1.0003934,1.0E-5,0.11088423,0.2151458,0.21515363,1.0000365,1.0E-5
6.1,2.2521618E-4,4.8117034E-4,4.8117034E-4,1.0,0.0,9.6485513E-4,0.0020605663,0.002070546,1.004843,1.0E-5,0.011683988,0.024792409,0.02480216,1.0003934,1.0E-5,0.11088423,0.2151458,0.21515363,1.0000365,1.0E-5
6.2,2.198148E-4,4.7190776E-4,4.7190776E-4,1.0,0.0,9.417233E-4,0.0020209313,0.0020309112,1.0049382,1.0E-5,0.011405343,0.024321217,0.024330974,1.0004011,1.0E-5,0.10837428,0.21155992,0.21156782,1.0000373,1.0E-5
6.3,2.1704129E-4,4.6624395E-4,4.6624395E-4,1.0,0.0,9.298453E-4,0.0019966953,0.0020066753,1.0049983,1.0E-5,0.011262234,0.02403305,0.024042808,1.0004061,1.0E-5,0.107082725,0.20944974,0.20945764,1.0000378,1.0E-5
6.4,1.876142E-4,4.0498763E-4,4.0498763E-4,1.0,0.0,8.038131E-4,0.0017345214,0.0017445041,1.0057553,1.0E-5,0.00974259,0.02091115,0.020920942,1.0004683,1.0E-5,0.093263686,0.18619715,0.18620528,1.0000437,1.0E-5
6.5,1.7390939E-4,3.7913767E-4,3.7913767E-4,1.0,0.0,7.45113E-4,0.0016238763,0.00163386,1.0061481,1.0E-5,0.009034078,0.01959099,0.019600794,1.0005004,1.0E-5,0.086755216,0.17598797,0.17599621,1.0000468,1.0E-5
6.6,1.591791E-4,3.5305636E-4,3.5305636E-4,1.0,0.0,6.8201777E-4,0.0015122315,0.0015222165,1.0066028,1.0E-5,0.008271996,0.018255569,0.018265387,1.0005378,1.0E-5,0.07970774,0.16534503,0.16535337,1.0000504,1.0E-5
6.7,1.4268003E-4,3.2445215E-4,3.2445215E-4,1.0,0.0,6.1134255E-4,0.0013897767,0.0013997628,1.0071855,1.0E-5,0.007417723,0.016789028,0.01679886,1.0005857,1.0E-5,0.07174956,0.15340981,0.15341827,1.0000552,1.0E-5
6.8,1.239713E-4,2.9377246E-4,2.9377246E-4,1.0,0.0,5.3119735E-4,0.0012584237,0.0012684112,1.0079365,1.0E-5,0.0064481674,0.01521515,0.015224998,1.0006472,1.0E-5,0.06264243,0.13965948,0.13966808,1.0000616,1.0E-5
6.9,1.0180238E-4,2.6500807E-4,2.6500807E-4,1.0,0.0,4.3622297E-4,0.0011352588,0.0011452475,1.0087986,1.0E-5,0.005298089,0.013735202,0.013745065,1.000718,1.0E-5,0.05173543,0.12595873,0.12596747,1.0000694,1.0E-5
7.0,7.6619996E-5,2.2583349E-4,2.2583349E-4,1.0,0.0,3.283301E-4,9.67502E-4,9.774923E-4,1.0103259,1.0E-5,0.0039900932,0.0117164375,0.011726321,1.0008435,1.0E-5,0.039192066,0.1080172,0.10802612,1.0000826,1.0E-5
7.1,7.5127435E-5,2.2263994E-4,2.2263994E-4,1.0,0.0,3.2193496E-4,9.538255E-4,9.6381595E-4,1.0104741,1.0E-5,0.0039125155,0.011551703,0.011561587,1.0008557,1.0E-5,0.038443442,0.10657227,0.1065812,1.0000838,1.0E-5
