Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7496446E-4,5.118588E-4,5.118588E-4,1.0,0.0,0.0011778869,0.0021918763,0.0021918763,1.0,0.0,0.0142467655,0.026357027,0.026366763,1.0003694,1.0E-5,0.13367249,0.23013665,0.23015204,1.0000669,2.0E-5
6.1,2.5356023E-4,4.921679E-4,4.921679E-4,1.0,0.0,0.001086234,0.002107625,0.002107625,1.0,0.0,0.013144928,0.025353128,0.025362873,1.0003844,1.0E-5,0.123940155,0.22135998,0.22137555,1.0000703,2.0E-5
6.2,2.4820742E-4,4.8302166E-4,4.8302166E-4,1.0,0.0,0.0010633124,0.0020684889,0.0020684889,1.0,0.0,0.01286919,0.024888303,0.024898054,1.0003918,1.0E-5,0.12148927,0.2178466,0.21786225,1.0000718,2.0E-5
6.3,2.3205351E-4,4.63874E-4,4.63874E-4,1.0,0.0,9.94136E-4,0.0019865541,0.0019865541,1.0,0.0,0.012036599,0.023912832,0.023922592,1.0004082,1.0E-5,0.11405133,0.20965539,0.2096712,1.0000753,2.0E-5
6.4,2.0304754E-4,4.0356515E-4,4.0356515E-4,1.0,0.0,8.6991355E-4,0.0017284335,0.0017284335,1.0,0.0,0.010539869,0.020841004,0.020850796,1.0004698,1.0E-5,0.100537635,0.18678932,0.18680559,1.000087,2.0E-5
6.5,1.854992E-4,3.743796E-4,3.743796E-4,1.0,0.0,7.9475436E-4,0.00160351,0.00160351,1.0,0.0,0.009633281,0.019343963,0.01935377,1.000507,1.0E-5,0.0922623,0.17494775,0.17496425,1.0000943,2.0E-5
6.6,1.6586106E-4,3.4444066E-4,3.4444066E-4,1.0,0.0,7.106394E-4,0.0014753495,0.0014753495,1.0,0.0,0.008617763,0.01780566,0.017815484,1.0005516,1.0E-5,0.08291132,0.16230741,0.16232416,1.0001032,2.0E-5
6.7,1.4224656E-4,3.1125877E-4,3.1125877E-4,1.0,0.0,6.094856E-4,0.0013332927,0.0013332927,1.0,0.0,0.0073952693,0.016112432,0.01612227,1.0006106,1.0E-5,0.07153955,0.14787103,0.14788806,1.0001153,2.0E-5
6.8,1.2317259E-4,2.8089018E-4,2.8089018E-4,1.0,0.0,5.2777573E-4,0.001203266,0.001203266,1.0,0.0,0.0064067547,0.014552783,0.0145626385,1.0006771,1.0E-5,0.06225166,0.13413115,0.13414846,1.0001291,2.0E-5
6.9,9.859898E-5,2.5233568E-4,2.5233568E-4,1.0,0.0,4.2249862E-4,0.0010809948,0.0010809948,1.0,0.0,0.0051317946,0.013082673,0.013092542,1.0007544,1.0E-5,0.05014893,0.12030089,0.12031849,1.0001463,2.0E-5
