Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.543992E-5,2.8327653E-5,2.8327653E-5,1.0,0.0,1.5187653E-4,1.2139865E-4,1.2139865E-4,1.0,0.0,0.0018475284,0.0014770388,0.0014770388,1.0,0.0,0.018322436,0.0150782745,0.015107822,1.0019596,3.0E-5
6.1,3.542281E-5,2.8327653E-5,2.8327653E-5,1.0,0.0,1.5180321E-4,1.2139865E-4,1.2139865E-4,1.0,0.0,0.0018466372,0.0014770388,0.0014770388,1.0,0.0,0.018313672,0.0150782745,0.015107822,1.0019596,3.0E-5
6.2,3.4688688E-5,2.8327653E-5,2.8327653E-5,1.0,0.0,1.4865733E-4,1.2139865E-4,1.2139865E-4,1.0,0.0,0.0018084005,0.0014770388,0.0014770388,1.0,0.0,0.017937548,0.015078274,0.015107822,1.0019596,3.0E-5
6.3,3.2087122E-5,2.8172806E-5,2.8172806E-5,1.0,0.0,1.3750899E-4,1.2073508E-4,1.2073508E-4,1.0,0.0,0.0016728862,0.0014689708,0.0014689708,1.0,0.0,0.016603488,0.0149993505,0.0150289005,1.00197,3.0E-5
6.4,3.1828724E-5,2.813971E-5,2.813971E-5,1.0,0.0,1.364017E-4,1.2059326E-4,1.2059326E-4,1.0,0.0,0.0016594254,0.0014672464,0.0014672464,1.0,0.0,0.016470885,0.014982511,0.015012062,1.0019723,3.0E-5
6.5,3.1563577E-5,2.7878572E-5,2.7878572E-5,1.0,0.0,1.3526545E-4,1.1947419E-4,1.1947419E-4,1.0,0.0,0.0016456128,0.00145364,0.00145364,1.0,0.0,0.0163348,0.0148495305,0.014879085,1.0019903,3.0E-5
6.6,3.1467625E-5,2.7722152E-5,2.7722152E-5,1.0,0.0,1.3485427E-4,1.1880388E-4,1.1880388E-4,1.0,0.0,0.0016406142,0.0014454898,0.0014454898,1.0,0.0,0.016285548,0.0147695765,0.014799134,1.0020012,3.0E-5
6.7,3.1223695E-5,2.7339454E-5,2.7339454E-5,1.0,0.0,1.3380898E-4,1.171639E-4,1.171639E-4,1.0,0.0,0.0016279068,0.0014255494,0.0014255494,1.0,0.0,0.01616033,0.014573614,0.014603177,1.0020285,3.0E-5
6.8,3.1015585E-5,2.7159687E-5,2.7159687E-5,1.0,0.0,1.3291716E-4,1.1639354E-4,1.1639354E-4,1.0,0.0,0.001617065,0.0014161824,0.0014161824,1.0,0.0,0.016053487,0.014480513,0.014510078,1.0020417,3.0E-5
6.9,2.6641965E-5,2.2560029E-5,2.2560029E-5,1.0,0.0,1.1417485E-4,9.668228E-5,9.668228E-5,1.0,0.0,0.0013891924,0.0011764751,0.0011764751,1.0,0.0,0.0138054015,0.012078946,0.012078946,1.0,0.0
7.0,2.3854353E-5,2.08426E-5,2.08426E-5,1.0,0.0,1.02228936E-4,8.932239E-5,8.932239E-5,1.0,0.0,0.0012439266,0.0010869602,0.0010869602,1.0,0.0,0.012369866,0.011173079,0.011173079,1.0,0.0
7.1,2.3672901E-5,2.067874E-5,2.067874E-5,1.0,0.0,1.0145135E-4,8.862018E-5,8.862018E-5,1.0,0.0,0.0012344702,0.0010784193,0.0010784193,1.0,0.0,0.0122763505,0.011088127,0.011088127,1.0,0.0
7.2,2.2717244E-5,1.9903393E-5,1.9903393E-5,1.0,0.0,9.735599E-5,8.529748E-5,8.529748E-5,1.0,0.0,0.0011846646,0.0010380044,0.0010380044,1.0,0.0,0.01178369,0.010684238,0.010684238,1.0,0.0
7.3,2.1016205E-5,1.8740504E-5,1.8740504E-5,1.0,0.0,9.006634E-5,8.0313985E-5,8.0313985E-5,1.0,0.0,0.001096006,9.773863E-4,9.773863E-4,1.0,0.0,0.010906163,0.010077559,0.010077559,1.0,0.0
7.4,2.0683625E-5,1.8542085E-5,1.8542085E-5,1.0,0.0,8.86411E-5,7.946367E-5,7.946367E-5,1.0,0.0,0.001078671,9.6704287E-4,9.6704287E-4,1.0,0.0,0.010734501,0.009973805,0.009973805,1.0,0.0
7.5,1.9993966E-5,1.8134084E-5,1.8134084E-5,1.0,0.0,8.568561E-5,7.7715194E-5,7.7715194E-5,1.0,0.0,0.001042723,9.4577385E-4,9.4577385E-4,1.0,0.0,0.010378438,0.009759193,0.009759193,1.0,0.0
7.6,1.788966E-5,1.6774226E-5,1.6774226E-5,1.0,0.0,7.666772E-5,7.188757E-5,7.188757E-5,1.0,0.0,9.3302975E-4,8.7488146E-4,8.7488146E-4,1.0,0.0,0.00929122,0.009044339,0.009044339,1.0,0.0
7.7,1.5125781E-5,1.45659615E-5,1.45659615E-5,1.0,0.0,6.4823165E-5,6.242406E-5,6.242406E-5,1.0,0.0,7.889362E-4,7.5974874E-4,7.5974874E-4,1.0,0.0,0.007861412,0.007886742,0.007886742,1.0,0.0
7.8,1.250089E-5,1.29456685E-5,1.29456685E-5,1.0,0.0,5.3574146E-5,5.548026E-5,5.548026E-5,1.0,0.0,6.5207E-4,6.7526347E-4,6.7526347E-4,1.0,0.0,0.006501599,0.007033625,0.007033625,1.0,0.0
