Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.4193904E-5,9.636032E-5,1.16358395E-4,1.2075343,2.0E-5,2.7508775E-4,4.1291714E-4,4.628965E-4,1.1210396,5.0E-5,0.0033440501,0.005017071,0.0051066196,1.0178487,9.0E-5,0.03294174,0.049000636,0.049143285,1.0029112,1.5E-4
6.1,6.4193904E-5,9.636032E-5,1.16358395E-4,1.2075343,2.0E-5,2.7508775E-4,4.1291714E-4,4.628965E-4,1.1210396,5.0E-5,0.0033440501,0.005017071,0.0051066196,1.0178487,9.0E-5,0.03294174,0.049000636,0.049143285,1.0029112,1.5E-4
6.2,5.7023593E-5,8.3488245E-5,9.348741E-5,1.1197673,1.0E-5,2.4436394E-4,3.57767E-4,3.977527E-4,1.1117646,4.0E-5,0.002971072,0.004348758,0.0044284104,1.018316,8.0E-5,0.029316625,0.042674616,0.04280864,1.0031407,1.4E-4
6.3,5.6940098E-5,8.333341E-5,9.333258E-5,1.1199899,1.0E-5,2.4400617E-4,3.5710362E-4,3.9708934E-4,1.1119723,4.0E-5,0.002966728,0.0043407134,0.004420366,1.0183501,8.0E-5,0.029274331,0.042597905,0.04273194,1.0031465,1.4E-4
6.4,5.4171585E-5,7.781917E-5,8.781839E-5,1.1284931,1.0E-5,2.3214328E-4,3.3347742E-4,3.634674E-4,1.0899311,3.0E-5,0.0028226813,0.0040541803,0.0041238964,1.0171962,7.0E-5,0.02787096,0.039883703,0.04000852,1.0031295,1.3E-4
6.5,4.375144E-5,5.6721317E-5,5.6721317E-5,1.0,0.0,1.874927E-4,2.4307535E-4,2.530729E-4,1.0411295,1.0E-5,0.0022803338,0.002956603,0.0029665732,1.0033723,1.0E-5,0.022570757,0.02938732,0.029406732,1.0006605,2.0E-5
6.6,2.772192E-5,2.5773872E-5,2.5773872E-5,1.0,0.0,1.1880282E-4,1.1045489E-4,1.1045489E-4,1.0,0.0,0.0014454646,0.0013439781,0.0013439781,1.0,0.0,0.014360986,0.013687847,0.013697711,1.0007206,1.0E-5
6.7,2.7124124E-5,2.4983467E-5,2.4983467E-5,1.0,0.0,1.1624106E-4,1.0706771E-4,1.0706771E-4,1.0,0.0,0.0014143161,0.0013027893,0.0013027893,1.0,0.0,0.014053487,0.013280723,0.01329059,1.0007429,1.0E-5
6.8,2.5475807E-5,2.2441802E-5,2.2441802E-5,1.0,0.0,1.0917746E-4,9.6175674E-5,9.6175674E-5,1.0,0.0,0.001328425,0.001170322,0.001170322,1.0,0.0,0.0132051185,0.011965207,0.011975086,1.0008258,1.0E-5
6.9,2.1162023E-5,1.7882843E-5,1.7882843E-5,1.0,0.0,9.069123E-5,7.663853E-5,7.663853E-5,1.0,0.0,0.0011036064,9.326785E-4,9.326785E-4,1.0,0.0,0.010981417,0.009580338,0.009580338,1.0,0.0
7.0,1.8754288E-5,1.6407239E-5,1.6407239E-5,1.0,0.0,8.037304E-5,7.0314854E-5,7.0314854E-5,1.0,0.0,9.781026E-4,8.5574965E-4,8.5574965E-4,1.0,0.0,0.009738087,0.008797898,0.008797898,1.0,0.0
7.1,1.8678527E-5,1.6332146E-5,1.6332146E-5,1.0,0.0,8.0048376E-5,6.9993046E-5,6.9993046E-5,1.0,0.0,9.7415317E-4,8.518347E-4,8.518347E-4,1.0,0.0,0.009698939,0.008758734,0.008758734,1.0,0.0
7.2,1.7804578E-5,1.5624275E-5,1.5624275E-5,1.0,0.0,7.6303106E-5,6.6959474E-5,6.6959474E-5,1.0,0.0,9.285943E-4,8.1492896E-4,8.1492896E-4,1.0,0.0,0.009247236,0.008388759,0.008388759,1.0,0.0
7.3,1.6583685E-5,1.4770706E-5,1.4770706E-5,1.0,0.0,7.1070994E-5,6.33015E-5,6.33015E-5,1.0,0.0,8.649459E-4,7.704253E-4,7.704253E-4,1.0,0.0,0.00861587,0.007942769,0.007942769,1.0,0.0
7.4,1.6387552E-5,1.4635152E-5,1.4635152E-5,1.0,0.0,7.023047E-5,6.272058E-5,6.272058E-5,1.0,0.0,8.5472054E-4,7.633576E-4,7.633576E-4,1.0,0.0,0.008514405,0.007871918,0.007871918,1.0,0.0
7.5,1.5790754E-5,1.4273529E-5,1.4273529E-5,1.0,0.0,6.767291E-5,6.1170846E-5,6.1170846E-5,1.0,0.0,8.236062E-4,7.445026E-4,7.445026E-4,1.0,0.0,0.008205604,0.0076813344,0.0076813344,1.0,0.0
7.6,1.4248672E-5,1.3284044E-5,1.3284044E-5,1.0,0.0,6.106431E-5,5.693039E-5,5.693039E-5,1.0,0.0,7.432043E-4,6.929088E-4,6.929088E-4,1.0,0.0,0.007407237,0.0071594925,0.0071594925,1.0,0.0
7.7,1.15449975E-5,1.1123308E-5,1.1123308E-5,1.0,0.0,4.947762E-5,4.767045E-5,4.767045E-5,1.0,0.0,6.022235E-4,5.80234E-4,5.80234E-4,1.0,0.0,0.006005941,0.0060248766,0.0060248766,1.0,0.0
7.8,9.1391985E-6,9.725346E-6,9.725346E-6,1.0,0.0,3.9167408E-5,4.1679392E-5,4.1679392E-5,1.0,0.0,4.767588E-4,5.0732907E-4,5.0732907E-4,1.0,0.0,0.0047573727,0.005287112,0.005287112,1.0,0.0
7.9,6.973017E-6,7.569489E-6,7.569489E-6,1.0,0.0,2.9884017E-5,3.2440268E-5,3.2440268E-5,1.0,0.0,3.6377716E-4,3.9488924E-4,3.9488924E-4,1.0,0.0,0.0036318225,0.004150055,0.004150055,1.0,0.0
8.0,5.7638235E-6,6.431323E-6,6.431323E-6,1.0,0.0,2.4701867E-5,2.7562526E-5,2.7562526E-5,1.0,0.0,3.0070372E-4,3.355226E-4,3.355226E-4,1.0,0.0,0.0030029714,0.0035433962,0.0035433962,1.0,0.0
8.1,5.1124434E-6,5.6517993E-6,5.6517993E-6,1.0,0.0,2.1910288E-5,2.4221774E-5,2.4221774E-5,1.0,0.0,2.6672508E-4,2.948607E-4,2.948607E-4,1.0,0.0,0.0026640517,0.0031224068,0.0031224068,1.0,0.0
8.2,1.1075938E-6,5.5545894E-7,5.5545894E-7,1.0,0.0,4.7468216E-6,2.3805362E-6,2.3805362E-6,1.0,0.0,5.779102E-5,2.8982668E-5,2.8982668E-5,1.0,0.0,5.777599E-4,3.25582E-4,3.25582E-4,1.0,0.0
8.3,1.3584393E-8,4.679043E-9,4.679043E-9,1.0,0.0,5.8218827E-8,2.005304E-8,2.005304E-8,1.0,0.0,7.0881396E-7,2.4414575E-7,2.4414575E-7,1.0,0.0,7.0881174E-6,2.732244E-6,2.732244E-6,1.0,0.0
