Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.6865185E-5,1.4289482E-5,1.4289482E-5,1.0,0.0,2.8653358E-4,6.123929E-5,6.123929E-5,1.0,0.0,0.0034829667,7.453497E-4,7.453497E-4,1.0,0.0,0.03428881,0.0076001287,0.0076398244,1.005223,4.0E-5
6.1,6.544851E-5,1.4289482E-5,1.4289482E-5,1.0,0.0,2.8046346E-4,6.123929E-5,6.123929E-5,1.0,0.0,0.0034092965,7.453497E-4,7.453497E-4,1.0,0.0,0.033574644,0.0076001277,0.0076398235,1.005223,4.0E-5
6.2,6.544851E-5,1.4289482E-5,1.4289482E-5,1.0,0.0,2.8046346E-4,6.123929E-5,6.123929E-5,1.0,0.0,0.0034092965,7.453497E-4,7.453497E-4,1.0,0.0,0.033574644,0.0076001277,0.0076398235,1.005223,4.0E-5
6.3,5.2402065E-5,1.42894805E-5,1.42894805E-5,1.0,0.0,2.2456095E-4,6.123928E-5,6.123928E-5,1.0,0.0,0.0027306017,7.453496E-4,7.453496E-4,1.0,0.0,0.02697292,0.0076001207,0.0076398165,1.005223,4.0E-5
6.4,4.542238E-5,1.428948E-5,1.428948E-5,1.0,0.0,1.9465282E-4,6.123928E-5,6.123928E-5,1.0,0.0,0.0023673223,7.4534956E-4,7.4534956E-4,1.0,0.0,0.023422617,0.0076001165,0.007639813,1.005223,4.0E-5
6.5,2.9672969E-5,1.4289478E-5,1.4289478E-5,1.0,0.0,1.2716366E-4,6.1239276E-5,6.1239276E-5,1.0,0.0,0.0015471181,7.4534945E-4,7.4534945E-4,1.0,0.0,0.015363912,0.0076001086,0.007639805,1.005223,4.0E-5
6.6,2.6056105E-5,1.3954187E-5,1.3954187E-5,1.0,0.0,1.1166424E-4,5.980238E-5,5.980238E-5,1.0,0.0,0.0013586642,7.2786695E-4,7.2786695E-4,1.0,0.0,0.013503874,0.0074239536,0.007463657,1.005348,4.0E-5
6.7,1.4611248E-5,1.3533273E-5,1.3533273E-5,1.0,0.0,6.261813E-5,5.7998543E-5,5.7998543E-5,1.0,0.0,7.6210906E-4,7.059196E-4,7.059196E-4,1.0,0.0,0.0075950073,0.0072047086,0.0072444207,1.0055119,4.0E-5
6.8,1.30607E-5,1.1122107E-5,1.1122107E-5,1.0,0.0,5.597323E-5,4.766535E-5,4.766535E-5,1.0,0.0,6.8126095E-4,5.8017997E-4,5.8017997E-4,1.0,0.0,0.006791762,0.0059501696,0.005979991,1.0050119,3.0E-5
6.9,1.0443096E-5,8.325606E-6,8.325606E-6,1.0,0.0,4.4755358E-5,3.5680696E-5,3.5680696E-5,1.0,0.0,5.447602E-4,4.343283E-4,4.343283E-4,1.0,0.0,0.005434267,0.0044776234,0.0044776234,1.0,0.0
7.0,8.045912E-6,6.8583013E-6,6.8583013E-6,1.0,0.0,3.4482026E-5,2.9392395E-5,2.9392395E-5,1.0,0.0,4.197378E-4,3.577947E-4,3.577947E-4,1.0,0.0,0.0041894587,0.0036954794,0.0036954794,1.0,0.0
7.1,8.045912E-6,6.8583013E-6,6.8583013E-6,1.0,0.0,3.4482026E-5,2.9392395E-5,2.9392395E-5,1.0,0.0,4.197378E-4,3.577947E-4,3.577947E-4,1.0,0.0,0.0041894587,0.0036954794,0.0036954794,1.0,0.0
7.2,7.375506E-6,6.363076E-6,6.363076E-6,1.0,0.0,3.1608928E-5,2.7270045E-5,2.7270045E-5,1.0,0.0,3.8477074E-4,3.319631E-4,3.319631E-4,1.0,0.0,0.003841052,0.0034349547,0.0034349547,1.0,0.0
7.3,6.6063913E-6,5.9136332E-6,5.9136332E-6,1.0,0.0,2.8312797E-5,2.53439E-5,2.53439E-5,1.0,0.0,3.446538E-4,3.0851903E-4,3.0851903E-4,1.0,0.0,0.0034411973,0.0031982542,0.0031982542,1.0,0.0
7.4,6.4313126E-6,5.794679E-6,5.794679E-6,1.0,0.0,2.7562477E-5,2.4834108E-5,2.4834108E-5,1.0,0.0,3.355215E-4,3.0231403E-4,3.0231403E-4,1.0,0.0,0.0033501536,0.0031358104,0.0031358104,1.0,0.0
7.5,6.0742927E-6,5.5891105E-6,5.5891105E-6,1.0,0.0,2.6032423E-5,2.3953115E-5,2.3953115E-5,1.0,0.0,3.1689866E-4,2.9159084E-4,2.9159084E-4,1.0,0.0,0.0031644711,0.003026925,0.003026925,1.0,0.0
7.6,5.6987187E-6,5.4058605E-6,5.4058605E-6,1.0,0.0,2.4422852E-5,2.3167771E-5,2.3167771E-5,1.0,0.0,2.9730765E-4,2.820318E-4,2.820318E-4,1.0,0.0,0.002969102,0.0029294216,0.0029294216,1.0,0.0
7.7,5.1658035E-6,5.0345516E-6,5.0345516E-6,1.0,0.0,2.2138971E-5,2.1576474E-5,2.1576474E-5,1.0,0.0,2.6950863E-4,2.6266254E-4,2.6266254E-4,1.0,0.0,0.00269182,0.0027332145,0.0027332145,1.0,0.0
7.8,3.6864697E-6,4.3012124E-6,4.3012124E-6,1.0,0.0,1.579906E-5,1.843364E-5,1.843364E-5,1.0,0.0,1.9233658E-4,2.2440695E-4,2.2440695E-4,1.0,0.0,0.0019217018,0.0023441645,0.0023441645,1.0,0.0
7.9,3.0265903E-6,3.6608844E-6,3.6608844E-6,1.0,0.0,1.2971037E-5,1.5689413E-5,1.5689413E-5,1.0,0.0,1.5791094E-4,1.9100233E-4,1.9100233E-4,1.0,0.0,0.0015779877,0.0020044385,0.0020044385,1.0,0.0
8.0,2.5271493E-6,3.1761554E-6,3.1761554E-6,1.0,0.0,1.0830595E-5,1.3612026E-5,1.3612026E-5,1.0,0.0,1.3185451E-4,1.6571426E-4,1.6571426E-4,1.0,0.0,0.0013177631,0.0017443164,0.0017443164,1.0,0.0
8.1,2.3749135E-6,3.0030471E-6,3.0030471E-6,1.0,0.0,1.0178161E-5,1.2870141E-5,1.2870141E-5,1.0,0.0,1.2391206E-4,1.5668315E-4,1.5668315E-4,1.0,0.0,0.0012384299,0.0016499175,0.0016499175,1.0,0.0
8.2,1.7186406E-9,1.1860065E-9,1.1860065E-9,1.0,0.0,7.3656024E-9,5.0828852E-9,5.0828852E-9,1.0,0.0,8.9676206E-8,6.188412E-8,6.188412E-8,1.0,0.0,8.9676166E-7,6.615813E-7,6.615813E-7,1.0,0.0
