Time (days),ComCat Data
0.0,0.0
6.751831E-4,0.0
0.0013503662,0.0
0.0020255493,0.0
0.0027007323,0.0
0.0033759156,0.0
0.0040510986,0.0
0.004726282,0.0
0.0054014646,0.0
0.006076648,0.0
0.006751831,1.0
0.007427014,1.0
0.008102197,1.0
0.00877738,1.0
0.009452564,1.0
0.0101277465,2.0
0.010802929,3.0
0.011478113,3.0
0.012153296,3.0
0.012828479,3.0
0.013503662,3.0
0.014178845,3.0
0.014854028,3.0
0.015529212,4.0
0.016204394,5.0
0.016879577,5.0
0.01755476,5.0
0.018229943,5.0
0.018905127,6.0
0.01958031,6.0
0.020255493,6.0
0.020930676,6.0
0.021605859,6.0
0.022281041,6.0
0.022956226,6.0
0.023631409,6.0
0.024306592,6.0
0.024981774,6.0
0.025656957,6.0
0.02633214,6.0
0.027007325,6.0
0.027682507,6.0
0.02835769,6.0
0.029032873,6.0
0.029708056,7.0
0.030383239,7.0
0.031058423,8.0
0.031733606,8.0
0.03240879,8.0
0.03308397,8.0
0.033759154,8.0
0.034434337,9.0
0.03510952,9.0
0.035784703,9.0
0.036459886,9.0
0.037135072,9.0
0.037810255,10.0
0.038485438,11.0
0.03916062,11.0
0.039835803,12.0
0.040510986,12.0
0.04118617,12.0
0.04186135,13.0
0.042536534,13.0
0.043211717,13.0
0.0438869,13.0
0.044562083,13.0
0.04523727,13.0
0.045912452,13.0
0.046587635,14.0
0.047262818,14.0
0.047938,14.0
0.048613183,15.0
0.049288366,16.0
0.04996355,16.0
0.05063873,16.0
0.051313914,16.0
0.051989097,16.0
0.05266428,16.0
0.053339466,16.0
0.05401465,16.0
0.054689832,16.0
0.055365015,16.0
0.056040198,16.0
0.05671538,16.0
0.057390563,16.0
0.058065746,16.0
0.05874093,16.0
0.05941611,16.0
0.060091294,16.0
0.060766477,16.0
0.061441664,17.0
0.062116846,17.0
0.062792026,17.0
0.06346721,17.0
0.06414239,17.0
0.06481758,17.0
0.065492764,17.0
0.06616794,17.0
0.06684313,18.0
0.06751831,18.0
0.068193495,18.0
