Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,2.2589712,0.0,6.0,2.0,1.0,0.8385168,0.0,1.7069378
2.6,1.7667464,0.0,6.0,1.0,1.0,0.7631579,0.0,1.3438995
2.7,1.402512,0.0,5.0,1.0,1.0,0.6866029,0.0,1.069378
2.8,1.1327751,0.0,4.0,1.0,0.0,0.60406697,0.0,0.85406697
2.9,0.9084928,0.0,4.0,1.0,0.0,0.5263158,0.0,0.6782297
3.0,0.70095694,0.0,3.0,0.0,0.0,0.444378,0.0,0.5305024
3.1,0.56279904,0.0,3.0,0.0,0.0,0.38157895,0.0,0.43122008
3.2,0.44976076,0.0,2.0,0.0,0.0,0.3223684,0.0,0.33971292
3.3,0.36363637,0.0,2.0,0.0,0.0,0.27332535,0.0,0.2757177
3.4,0.298445,0.0,2.0,0.0,0.0,0.22906698,0.0,0.22727273
3.5,0.23504785,0.0,2.0,0.0,0.0,0.18361244,0.0,0.17583732
3.6,0.17404306,0.0,1.0,0.0,0.0,0.14473684,0.0,0.13157895
3.7,0.13277511,0.0,1.0,0.0,0.0,0.11602871,0.0,0.10406698
3.8,0.1076555,0.0,1.0,0.0,0.0,0.095095694,0.0,0.08373206
3.9,0.08971292,0.0,1.0,0.0,0.0,0.07954545,0.0,0.070574164
4.0,0.06758373,0.0,1.0,0.0,0.0,0.0604067,0.0,0.05382775
4.1,0.05203349,0.0,1.0,0.0,0.0,0.04665072,0.0,0.042464115
4.2,0.045454547,0.0,1.0,0.0,0.0,0.04007177,0.0,0.035885166
4.3,0.033492822,0.0,1.0,0.0,0.0,0.02930622,0.0,0.026913876
4.4,0.02930622,0.0,1.0,0.0,0.0,0.02631579,0.0,0.024521532
4.5,0.023923445,0.0,0.0,0.0,0.0,0.020933015,0.0,0.019138755
4.6,0.01854067,0.0,0.0,0.0,0.0,0.017344497,0.0,0.014354067
4.7,0.015550239,0.0,0.0,0.0,0.0,0.014354067,0.0,0.011961723
4.8,0.014354067,0.0,0.0,0.0,0.0,0.013755981,0.0,0.011363637
4.9,0.011363637,0.0,0.0,0.0,0.0,0.010765551,0.0,0.008971292
5.0,0.010167464,0.0,0.0,0.0,0.0,0.009569378,0.0,0.008373206
5.1,0.008971292,0.0,0.0,0.0,0.0,0.008373206,0.0,0.0071770335
5.2,0.0071770335,0.0,0.0,0.0,0.0,0.0065789474,0.0,0.0059808614
5.3,0.0059808614,0.0,0.0,0.0,0.0,0.0053827753,0.0,0.004784689
5.4,0.004186603,0.0,0.0,0.0,0.0,0.004186603,0.0,0.0035885167
5.5,0.004186603,0.0,0.0,0.0,0.0,0.004186603,0.0,0.0035885167
5.6,0.004186603,0.0,0.0,0.0,0.0,0.004186603,0.0,0.0035885167
5.7,0.0029904307,0.0,0.0,0.0,0.0,0.0029904307,0.0,0.0023923444
5.8,0.0017942584,0.0,0.0,0.0,0.0,0.0017942584,0.0,0.0011961722
5.9,0.0017942584,0.0,0.0,0.0,0.0,0.0017942584,0.0,0.0011961722
6.0,5.980861E-4,0.0,0.0,0.0,0.0,5.980861E-4,0.0,5.980861E-4
6.1,5.980861E-4,0.0,0.0,0.0,0.0,5.980861E-4,0.0,5.980861E-4
6.2,5.980861E-4,0.0,0.0,0.0,0.0,5.980861E-4,0.0,5.980861E-4
6.3,5.980861E-4,0.0,0.0,0.0,0.0,5.980861E-4,0.0,5.980861E-4
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
