Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,40.811905,15.0,88.0,27.0,24.0,1.0,0.004285714,20.831905
2.6,32.353333,11.0,69.0,21.0,20.0,1.0,0.004285714,16.495237
2.7,25.73381,8.0,59.0,17.0,15.0,1.0,0.004285714,13.133333
2.8,20.429523,6.0,46.0,13.0,12.0,1.0,0.004285714,10.452857
2.9,16.27,4.0,38.0,11.0,10.0,0.9995238,0.004285714,8.317619
3.0,12.93,3.0,30.0,8.0,8.0,0.9995238,0.004285714,6.5928574
3.1,10.251429,2.0,23.0,7.0,5.0,0.99714285,0.004285714,5.234286
3.2,8.151428,1.0,19.0,5.0,4.0,0.99,0.004285714,4.1709523
3.3,6.455238,0.0,15.0,4.0,3.0,0.97238094,0.004285714,3.3033333
3.4,5.128095,0.0,13.0,3.0,3.0,0.9538095,0.004285714,2.6404762
3.5,4.1033335,0.0,10.0,3.0,2.0,0.9114286,0.004285714,2.1161904
3.6,3.2680953,0.0,9.0,2.0,1.0,0.8552381,0.004285714,1.6919048
3.7,2.622381,0.0,8.0,2.0,1.0,0.7866667,0.004285714,1.3533334
3.8,2.0638096,0.0,6.0,1.0,0.0,0.70047617,0.004285714,1.0680952
3.9,1.6280953,0.0,5.0,1.0,0.0,0.62714285,0.004285714,0.8457143
4.0,1.3023809,0.0,5.0,1.0,0.0,0.5485714,0.004285714,0.66761905
4.1,1.0466666,0.0,4.0,0.0,0.0,0.46714285,0.004285714,0.5347619
4.2,0.8095238,0.0,3.0,0.0,0.0,0.38904762,0.004285714,0.4109524
4.3,0.64,0.0,3.0,0.0,0.0,0.33142856,0.004285714,0.3295238
4.4,0.49285713,0.0,3.0,0.0,0.0,0.26238096,0.004285714,0.25047618
4.5,0.39619046,0.0,2.0,0.0,0.0,0.22190475,0.004285714,0.20333333
4.6,0.31857142,0.0,2.0,0.0,0.0,0.18380952,0.004285714,0.16380952
4.7,0.24857143,0.0,2.0,0.0,0.0,0.15095238,0.004285714,0.13
4.8,0.19714285,0.0,1.0,0.0,0.0,0.12571429,0.004285714,0.10142857
4.9,0.15476191,0.0,1.0,0.0,0.0,0.10380952,0.004285714,0.0847619
5.0,0.114285715,0.0,1.0,0.0,0.0,0.07666667,0.004285714,0.06333333
5.1,0.087142855,0.0,1.0,0.0,0.0,0.06047619,0.004285714,0.04904762
5.2,0.06952381,0.0,1.0,0.0,0.0,0.04904762,0.004285714,0.03857143
5.3,0.055238094,0.0,1.0,0.0,0.0,0.04047619,0.004285714,0.032857142
5.4,0.046190478,0.0,1.0,0.0,0.0,0.033333335,0.004285714,0.026666667
5.5,0.03952381,0.0,1.0,0.0,0.0,0.028571429,0.004285714,0.023333333
5.6,0.02904762,0.0,0.0,0.0,0.0,0.021904763,0.004285714,0.016666668
5.7,0.022380952,0.0,0.0,0.0,0.0,0.018095238,0.004285714,0.013809524
5.8,0.017619047,0.0,0.0,0.0,0.0,0.014761905,0.004285714,0.011428571
5.9,0.013809524,0.0,0.0,0.0,0.0,0.011428571,0.004285714,0.009047619
6.0,0.011428571,0.0,0.0,0.0,0.0,0.01,0.004285714,0.0076190475
6.1,0.009047619,0.0,0.0,0.0,0.0,0.008095238,0.0038095238,0.006190476
6.2,0.0057142857,0.0,0.0,0.0,0.0,0.0057142857,0.0033333334,0.0038095238
6.3,0.0052380953,0.0,0.0,0.0,0.0,0.0052380953,0.0033333334,0.0038095238
6.4,0.004285714,0.0,0.0,0.0,0.0,0.004285714,0.0028571428,0.0028571428
6.5,0.0033333334,0.0,0.0,0.0,0.0,0.0033333334,0.0028571428,0.0019047619
6.6,0.0033333334,0.0,0.0,0.0,0.0,0.0033333334,0.0028571428,0.0019047619
6.7,0.0033333334,0.0,0.0,0.0,0.0,0.0033333334,0.0028571428,0.0019047619
6.8,0.0033333334,0.0,0.0,0.0,0.0,0.0033333334,0.0028571428,0.0019047619
6.9,0.0023809525,0.0,0.0,0.0,0.0,0.0023809525,0.0019047619,0.0014285714
7.0,0.0023809525,0.0,0.0,0.0,0.0,0.0023809525,0.0019047619,0.0014285714
7.1,0.0019047619,0.0,0.0,0.0,0.0,0.0019047619,0.0019047619,9.5238094E-4
7.2,0.0014285714,0.0,0.0,0.0,0.0,0.0014285714,0.0014285714,9.5238094E-4
7.3,0.0014285714,0.0,0.0,0.0,0.0,0.0014285714,0.0014285714,9.5238094E-4
7.4,9.5238094E-4,0.0,0.0,0.0,0.0,9.5238094E-4,9.5238094E-4,4.7619047E-4
7.5,9.5238094E-4,0.0,0.0,0.0,0.0,9.5238094E-4,9.5238094E-4,4.7619047E-4
7.6,4.7619047E-4,0.0,0.0,0.0,0.0,4.7619047E-4,4.7619047E-4,4.7619047E-4
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
