Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,366.79333,202.0,870.0,267.0,250.0,1.0,0.027619047,178.80809
2.6,291.4719,158.0,690.0,213.0,207.0,1.0,0.027619047,142.04762
2.7,231.62143,123.0,552.0,170.0,163.0,1.0,0.027619047,112.85333
2.8,184.08333,96.0,438.0,136.0,124.0,1.0,0.027619047,89.75667
2.9,146.29666,74.0,354.0,108.0,94.0,1.0,0.027619047,71.35381
3.0,115.973335,57.0,286.0,86.0,72.0,1.0,0.027619047,56.56286
3.1,92.0119,43.0,228.0,68.0,59.0,1.0,0.027619047,44.83619
3.2,73.11905,33.0,183.0,54.0,54.0,1.0,0.027619047,35.633335
3.3,57.98476,25.0,143.0,43.0,38.0,1.0,0.027619047,28.277618
3.4,46.004284,19.0,114.0,34.0,31.0,1.0,0.027619047,22.389524
3.5,36.64619,14.0,91.0,27.0,24.0,1.0,0.027619047,17.765715
3.6,29.145239,10.0,71.0,22.0,21.0,1.0,0.027619047,14.147619
3.7,23.225239,8.0,58.0,17.0,15.0,1.0,0.027619047,11.25381
3.8,18.44381,5.0,45.0,14.0,13.0,1.0,0.027619047,8.940476
3.9,14.66381,4.0,37.0,11.0,8.0,1.0,0.027619047,7.1090474
4.0,11.696667,2.0,29.0,9.0,7.0,0.9995238,0.027619047,5.6633334
4.1,9.316191,2.0,25.0,7.0,5.0,0.99857146,0.027619047,4.536667
4.2,7.3938093,1.0,20.0,5.0,4.0,0.9885714,0.027619047,3.5866666
4.3,5.8576193,0.0,17.0,4.0,3.0,0.9695238,0.027619047,2.8438096
4.4,4.604762,0.0,14.0,3.0,3.0,0.93857145,0.027619047,2.2414286
4.5,3.6285715,0.0,12.0,3.0,1.0,0.8938095,0.027619047,1.7804762
4.6,2.8709524,0.0,10.0,2.0,1.0,0.8261905,0.027619047,1.4047619
4.7,2.2504761,0.0,8.0,1.0,1.0,0.7538095,0.027619047,1.0914285
4.8,1.76,0.0,7.0,1.0,0.0,0.6757143,0.027619047,0.8428571
4.9,1.3947619,0.0,6.0,1.0,0.0,0.5904762,0.027619047,0.67
5.0,1.0971428,0.0,5.0,1.0,0.0,0.51,0.027619047,0.5285714
5.1,0.8704762,0.0,4.0,0.0,0.0,0.43761906,0.027619047,0.42619047
5.2,0.6952381,0.0,4.0,0.0,0.0,0.37428573,0.027619047,0.34047619
5.3,0.5619048,0.0,3.0,0.0,0.0,0.31904763,0.027619047,0.28142858
5.4,0.45285714,0.0,3.0,0.0,0.0,0.26714286,0.027619047,0.22904763
5.5,0.3595238,0.0,2.0,0.0,0.0,0.2242857,0.027619047,0.18190476
5.6,0.26666668,0.0,2.0,0.0,0.0,0.17952381,0.027619047,0.1352381
5.7,0.20428571,0.0,2.0,0.0,0.0,0.14238095,0.027619047,0.10714286
5.8,0.15095238,0.0,2.0,0.0,0.0,0.11285714,0.027619047,0.08
5.9,0.113809526,0.0,1.0,0.0,0.0,0.08761905,0.027619047,0.05952381
6.0,0.08523809,0.0,1.0,0.0,0.0,0.07,0.027619047,0.046190478
6.1,0.066190474,0.0,1.0,0.0,0.0,0.056190476,0.025714286,0.037142858
6.2,0.043809526,0.0,1.0,0.0,0.0,0.037619047,0.02047619,0.021904763
