Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,,,,,,,,,
0.684394,276.0,,,,,,,,,
1.368788,401.0,,,,,,,,,
2.0531821,488.0,,,,,,,,,
2.737576,563.0,,,,,,,,,
3.4219701,612.0,,,,,,,,,
4.1063643,656.0,,,,,,,,,
4.790758,718.0,,,,,,,,,
5.475152,778.0,,,,,,,,,
6.1595464,814.0,,,,,,,,,
6.8439403,838.0,,,,,,,,,
7.528334,860.0,,,,,,,,,
8.2127285,879.0,,,,,,,,,
8.897122,896.0,,,,,,,,,
9.581516,916.0,,,,,,,,,
10.26591,942.0,,,,,,,,,
10.950304,963.0,,,,,,,,,
11.634699,984.0,,,,,,,,,
12.319093,1012.0,,,,,,,,,
13.003487,1023.0,,,,,,,,,
13.6878805,1038.0,,,,,,,,,
14.372274,1044.0,,,,,,,,,
15.056668,1059.0,,,,,,,,,
15.741062,1068.0,,,,,,,,,
16.425457,1073.0,,,,,,,,,
17.10985,1077.0,,,,,,,,,
17.794245,1084.0,,,,,,,,,
18.47864,1094.0,,,,,,,,,
19.163033,1100.0,,,,,,,,,
19.847427,1106.0,,,,,,,,,
20.53182,1124.0,,,,,,,,,
21.216215,1127.0,,,,,,,,,
21.900608,1134.0,,,,,,,,,
22.585003,1138.0,,,,,,,,,
23.269398,1147.0,,,,,,,,,
23.95379,1156.0,,,,,,,,,
24.638186,1163.0,,,,,,,,,
25.322578,1163.0,,,,,,,,,
26.006973,1169.0,,,,,,,,,
26.691366,1175.0,,,,,,,,,
27.375761,1179.0,,,,,,,,,
28.060156,1185.0,,,,,,,,,
28.744549,1188.0,,,,,,,,,
29.428944,1193.0,,,,,,,,,
30.113337,1198.0,,,,,,,,,
30.797731,1200.0,,,,,,,,,
31.482124,1201.0,,,,,,,,,
32.16652,1206.0,,,,,,,,,
32.850914,1209.0,,,,,,,,,
33.53531,1211.0,,,,,,,,,
34.2197,1214.0,,,,,,,,,
34.904095,1217.0,,,,,,,,,
35.58849,1217.0,,,,,,,,,
36.272884,1219.0,,,,,,,,,
36.95728,1221.0,,,,,,,,,
37.64167,1221.0,,,,,,,,,
38.326065,1225.0,,,,,,,,,
39.01046,1228.0,,,,,,,,,
39.694855,1232.0,,,,,,,,,
40.379246,1242.0,,,,,,,,,
41.06364,1249.0,,,,,,,,,
41.748035,1253.0,,,,,,,,,
42.43243,1256.0,,,,,,,,,
43.116825,1258.0,,,,,,,,,
43.801216,1266.0,,,,,,,,,
44.48561,1268.0,,,,,,,,,
45.170006,1269.0,,,,,,,,,
45.8544,1273.0,,,,,,,,,
46.538795,1278.0,,,,,,,,,
47.223186,1280.0,,,,,,,,,
47.90758,1290.0,,,,,,,,,
48.591976,1296.0,,,,,,,,,
49.27637,1300.0,,,,,,,,,
49.960766,1304.0,,,,,,,,,
50.645157,1306.0,,,,,,,,,
51.32955,1308.0,,,,,,,,,
52.013947,1312.0,,,,,,,,,
52.69834,1313.0,,,,,,,,,
53.382732,1314.0,,,,,,,,,
54.067127,1315.0,,,,,,,,,
54.751522,1315.0,,,,,,,,,
55.435917,1317.0,,,,,,,,,
56.12031,1319.0,,,,,,,,,
56.804703,1320.0,,,,,,,,,
57.489098,1320.0,,,,,,,,,
58.173492,1321.0,,,,,,,,,
58.857887,1322.0,,,,,,,,,
59.542282,1329.0,,,,,,,,,
60.226673,1329.0,,,,,,,,,
60.911068,1330.0,,,,,,,,,
61.595463,1330.0,,,,,,,,,
62.279858,1331.0,,,,,,,,,
62.96425,1332.0,,,,,,,,,
63.648643,1332.0,,,,,,,,,
64.33304,1337.0,,,,,,,,,
65.01743,1339.0,,,,,,,,,
65.70183,1340.0,,,,,,,,,
66.38622,1342.0,,,,,,,,,
67.07062,1343.0,,,,,,,,,
67.755005,1343.0,,,,,,,,,
68.4394,1343.0,,,,,,,,,
69.123795,1343.0,,,,,,,,,
69.80819,1344.0,,,,,,,,,
70.492584,1344.0,,,,,,,,,
71.17698,1344.0,,,,,,,,,
71.861374,1344.0,,,,,,,,,
72.54577,1344.0,,,,,,,,,
73.23016,1344.0,,,,,,,,,
73.91456,1346.0,,,,,,,,,
74.598946,1347.0,,,,,,,,,
75.28334,1348.0,,,,,,,,,
75.967735,1348.0,,,,,,,,,
76.65213,1350.0,,,,,,,,,
77.336525,1352.0,,,,,,,,,
78.02092,1353.0,,,,,,,,,
78.705315,1353.0,,,,,,,,,
79.38971,1354.0,,,,,,,,,
80.074104,1354.0,,,,,,,,,
80.75849,1356.0,,,,,,,,,
81.44289,1357.0,,,,,,,,,
82.12728,1358.0,,,,,,,,,
82.811676,1360.0,,,,,,,,,
83.49607,1360.0,,,,,,,,,
84.180466,1362.0,,,,,,,,,
84.86486,1363.0,,,,,,,,,
85.549255,1366.0,,,,,,,,,
86.23365,1366.0,,,,,,,,,
86.918045,1367.0,,,,,,,,,
87.60243,1369.0,,,,,,,,,
88.28683,1370.0,,,,,,,,,
88.97122,1370.0,,,,,,,,,
89.65562,1370.0,,,,,,,,,
90.34001,1370.0,,,,,,,,,
91.02441,1370.0,,,,,,,,,
91.7088,1372.0,,,,,,,,,
92.393196,1372.0,,,,,,,,,
93.07759,1372.0,,,,,,,,,
93.76198,1373.0,,,,,,,,,
94.44637,1373.0,,,,,,,,,
95.13077,1375.0,,,,,,,,,
95.81516,1376.0,,,,,,,,,
96.49956,1376.0,,,,,,,,,
97.18395,1376.0,,,,,,,,,
97.86835,1377.0,,,,,,,,,
98.55274,1377.0,,,,,,,,,
99.23714,1378.0,,,,,,,,,
99.92153,1379.0,,,,,,,,,
100.60592,1380.0,,,,,,,,,
101.29031,1381.0,,,,,,,,,
101.97471,1381.0,,,,,,,,,
102.6591,1381.0,,,,,,,,,
103.3435,1386.0,,,,,,,,,
104.02789,1386.0,,,,,,,,,
104.71229,1388.0,,,,,,,,,
105.39668,1388.0,,,,,,,,,
106.08108,1388.0,,,,,,,,,
106.765465,1389.0,,,,,,,,,
107.44986,1390.0,,,,,,,,,
108.134254,1390.0,,,,,,,,,
108.81865,1391.0,,,,,,,,,
109.503044,1392.0,,,,,,,,,
110.18744,1392.0,,,,,,,,,
110.87183,1392.0,,,,,,,,,
111.55623,1392.0,,,,,,,,,
112.24062,1392.0,,,,,,,,,
112.92501,1392.0,,,,,,,,,
113.609406,1394.0,,,,,,,,,
114.2938,1394.0,,,,,,,,,
114.978195,1395.0,,,,,,,,,
115.66259,1395.0,,,,,,,,,
116.346985,1395.0,,,,,,,,,
117.03138,1397.0,,,,,,,,,
117.715775,1400.0,,,,,,,,,
118.40017,1400.0,,,,,,,,,
119.084564,1400.0,,,,,,,,,
119.76895,1400.0,,,,,,,,,
120.45335,1401.0,,,,,,,,,
121.13774,1403.0,,,,,,,,,
121.822136,1403.0,,,,,,,,,
122.50653,1405.0,,,,,,,,,
123.190926,1406.0,,,,,,,,,
123.87532,1406.0,,,,,,,,,
124.559715,1408.0,,,,,,,,,
125.24411,1410.0,,,,,,,,,
125.9285,1411.0,,,,,,,,,
126.61289,1412.0,,,,,,,,,
127.29729,1413.0,,,,,,,,,
127.98168,1413.0,,,,,,,,,
128.66608,1413.0,,,,,,,,,
129.35046,1413.0,,,,,,,,,
130.03487,1413.0,,,,,,,,,
130.71925,1416.0,,,,,,,,,
131.40366,1416.0,,,,,,,,,
132.08804,1416.0,,,,,,,,,
132.77245,1416.0,,,,,,,,,
133.45683,1417.0,,,,,,,,,
134.14124,1420.0,,,,,,,,,
134.82562,1421.0,,,,,,,,,
135.51001,1421.0,,,,,,,,,
