Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6710783E-5,4.253155E-6,4.253155E-6,1.0,0.0,7.161568E-5,1.8227684E-5,1.8227684E-5,1.0,0.0,8.7157206E-4,2.2189997E-4,2.4189553E-4,1.0901107,2.0E-5,0.008681616,0.002216837,0.0022367926,1.0090019,2.0E-5
6.1,1.6710783E-5,4.253155E-6,4.253155E-6,1.0,0.0,7.161568E-5,1.8227684E-5,1.8227684E-5,1.0,0.0,8.7157206E-4,2.2189997E-4,2.4189553E-4,1.0901107,2.0E-5,0.008681616,0.002216837,0.0022367926,1.0090019,2.0E-5
6.2,1.6710783E-5,4.253155E-6,4.253155E-6,1.0,0.0,7.161568E-5,1.8227684E-5,1.8227684E-5,1.0,0.0,8.7157206E-4,2.2189997E-4,2.4189553E-4,1.0901107,2.0E-5,0.008681616,0.002216837,0.0022367926,1.0090019,2.0E-5
6.3,1.6710783E-5,4.253155E-6,4.253155E-6,1.0,0.0,7.161568E-5,1.8227684E-5,1.8227684E-5,1.0,0.0,8.7157206E-4,2.2189997E-4,2.4189553E-4,1.0901107,2.0E-5,0.008681616,0.002216837,0.0022367926,1.0090019,2.0E-5
6.4,7.982846E-6,3.684557E-6,3.684557E-6,1.0,0.0,3.421175E-5,1.5790865E-5,1.5790865E-5,1.0,0.0,4.1644843E-4,1.9223717E-4,2.1223332E-4,1.1040182,2.0E-5,0.0041566887,0.0019207436,0.0019407052,1.0103927,2.0E-5
6.5,7.982846E-6,3.684557E-6,3.684557E-6,1.0,0.0,3.421175E-5,1.5790865E-5,1.5790865E-5,1.0,0.0,4.1644843E-4,1.9223717E-4,2.1223332E-4,1.1040182,2.0E-5,0.0041566887,0.0019207436,0.0019407052,1.0103927,2.0E-5
6.6,7.048869E-6,3.4267441E-6,3.4267441E-6,1.0,0.0,3.0209088E-5,1.4685965E-5,1.4685965E-5,1.0,0.0,3.677336E-4,1.7878728E-4,1.987837E-4,1.1118448,2.0E-5,0.0036712566,0.001786466,0.0018064303,1.0111753,2.0E-5
6.7,6.987307E-6,3.3646986E-6,3.3646986E-6,1.0,0.0,2.9945259E-5,1.44200585E-5,1.44200585E-5,1.0,0.0,3.6452254E-4,1.7555038E-4,1.9554688E-4,1.1139075,2.0E-5,0.0036392517,0.0017541483,0.0017741132,1.0113815,2.0E-5
6.8,6.3737602E-6,3.1202458E-6,3.1202458E-6,1.0,0.0,2.731583E-5,1.3372414E-5,1.3372414E-5,1.0,0.0,3.3251947E-4,1.6279727E-4,1.8279401E-4,1.1228322,2.0E-5,0.0033202237,0.0016268088,0.0016467762,1.012274,2.0E-5
6.9,6.112211E-6,2.9353646E-6,2.9353646E-6,1.0,0.0,2.6194928E-5,1.2580074E-5,1.2580074E-5,1.0,0.0,3.1887658E-4,1.5315192E-4,1.7314886E-4,1.1305693,2.0E-5,0.003184194,0.0015304915,0.0015504609,1.0130477,2.0E-5
7.0,5.5140117E-6,2.6438208E-6,2.6438208E-6,1.0,0.0,2.3631264E-5,1.1330613E-5,1.1330613E-5,1.0,0.0,2.8767265E-4,1.3794174E-4,1.5793898E-4,1.1449687,2.0E-5,0.0028730053,0.0013785864,0.0013985588,1.0144876,2.0E-5
7.1,4.8151105E-6,2.1359176E-6,2.1359176E-6,1.0,0.0,2.0636026E-5,9.153901E-6,9.153901E-6,1.0,0.0,2.5121463E-4,1.11443274E-4,1.2144216E-4,1.0897218,1.0E-5,0.0025093083,0.0011138958,0.0011238847,1.0089675,1.0E-5
7.2,3.818335E-6,1.2950411E-6,1.2950411E-6,1.0,0.0,1.6364189E-5,5.5501646E-6,5.5501646E-6,1.0,0.0,1.9921579E-4,6.757124E-5,6.757124E-5,1.0,0.0,0.0019903728,6.755152E-4,6.755152E-4,1.0,0.0
7.3,2.7166698E-6,7.3943045E-7,7.3943045E-7,1.0,0.0,1.1642818E-5,3.168984E-6,3.168984E-6,1.0,0.0,1.4174209E-4,3.858172E-5,3.858172E-5,1.0,0.0,0.0014165172,3.857522E-4,3.857522E-4,1.0,0.0
7.4,2.0893426E-6,5.4707E-7,5.4707E-7,1.0,0.0,8.954295E-6,2.3445837E-6,2.3445837E-6,1.0,0.0,1.0901308E-4,2.8544939E-5,2.8544939E-5,1.0,0.0,0.0010895962,2.8541326E-4,2.8541326E-4,1.0,0.0
7.5,1.1681728E-6,3.6088196E-7,3.6088196E-7,1.0,0.0,5.0064455E-6,1.5466361E-6,1.5466361E-6,1.0,0.0,6.0951766E-5,1.8830136E-5,1.8830136E-5,1.0,0.0,6.093505E-4,1.8828588E-4,1.8828588E-4,1.0,0.0
7.6,1.3154387E-7,7.1417645E-8,7.1417645E-8,1.0,0.0,5.6375933E-7,3.0607558E-7,3.0607558E-7,1.0,0.0,6.863748E-6,3.7264656E-6,3.7264656E-6,1.0,0.0,6.863536E-5,3.7264188E-5,3.7264188E-5,1.0,0.0
