Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.0684236E-5,2.5666124E-5,4.5665613E-5,1.7792172,2.0E-5,8.864371E-5,1.0999313E-4,1.8998433E-4,1.7272382,8.0E-5,0.0010787029,0.0013383607,0.0017378253,1.2984731,4.0E-4,0.010734817,0.013305875,0.014489908,1.0889857,0.0012
6.1,2.0684236E-5,2.5666124E-5,4.5665613E-5,1.7792172,2.0E-5,8.864371E-5,1.0999313E-4,1.8998433E-4,1.7272382,8.0E-5,0.0010787029,0.0013383607,0.0017378253,1.2984731,4.0E-4,0.010734817,0.013305875,0.014489908,1.0889857,0.0012
6.2,2.0684236E-5,2.5666124E-5,4.5665613E-5,1.7792172,2.0E-5,8.864371E-5,1.0999313E-4,1.8998433E-4,1.7272382,8.0E-5,0.0010787029,0.0013383607,0.0017378253,1.2984731,4.0E-4,0.010734817,0.013305875,0.014489908,1.0889857,0.0012
6.3,2.0240292E-5,2.5165808E-5,3.5165558E-5,1.3973546,1.0E-5,8.6741224E-5,1.078491E-4,1.7784155E-4,1.648985,7.0E-5,0.0010555626,0.0013122887,0.0016818031,1.2815801,3.7E-4,0.010505628,0.013048234,0.014173359,1.0862281,0.00114
6.4,2.0240292E-5,2.5165808E-5,3.5165558E-5,1.3973546,1.0E-5,8.6741224E-5,1.078491E-4,1.7784155E-4,1.648985,7.0E-5,0.0010555626,0.0013122887,0.0016818031,1.2815801,3.7E-4,0.010505628,0.013048234,0.014173359,1.0862281,0.00114
6.5,1.9962767E-5,2.4854826E-5,3.4854576E-5,1.4023263,1.0E-5,8.55519E-5,1.06516425E-4,1.7650897E-4,1.6571057,7.0E-5,0.0010410968,0.0012960827,0.0016656033,1.2851056,3.7E-4,0.010362327,0.012888063,0.0140133705,1.0873139,0.00114
6.6,1.8937297E-5,2.3350483E-5,3.335025E-5,1.4282466,1.0E-5,8.115732E-5,1.0006974E-4,1.7006273E-4,1.6994421,7.0E-5,9.876423E-4,0.0012176827,0.0015372931,1.2624742,3.2E-4,0.009832645,0.012112815,0.013159975,1.0864506,0.00106
6.7,1.8621096E-5,2.295049E-5,3.295026E-5,1.4357105,1.0E-5,7.980225E-5,9.835562E-5,1.583497E-4,1.6099713,6.0E-5,9.711593E-4,0.0011968364,0.0014864893,1.2420155,2.9E-4,0.009669261,0.0119066,0.012884812,1.0821571,9.9E-4
6.8,1.7830353E-5,2.1840395E-5,3.1840176E-5,1.4578571,1.0E-5,7.641356E-5,9.359841E-5,1.535928E-4,1.6409765,6.0E-5,9.29938E-4,0.001138979,0.0014186602,1.2455542,2.8E-4,0.009260561,0.011334638,0.0122639835,1.0819917,9.4E-4
6.9,1.3135183E-5,1.5319123E-5,1.5319123E-5,1.0,0.0,5.6292425E-5,6.565177E-5,8.5650456E-5,1.3046176,2.0E-5,6.8514474E-4,7.9902366E-4,9.189278E-4,1.1500633,1.2E-4,0.006830362,0.007963003,0.008568145,1.0759943,6.1E-4
7.0,1.1507512E-5,1.3165924E-5,1.3165924E-5,1.0,0.0,4.9316975E-5,5.6424204E-5,7.642307E-5,1.3544378,2.0E-5,6.002687E-4,6.8675395E-4,7.766921E-4,1.1309613,9.0E-5,0.0059864987,0.006847581,0.007324294,1.0696177,4.8E-4
7.1,9.715903E-6,1.0873695E-5,1.0873695E-5,1.0,0.0,4.1638916E-5,4.660074E-5,6.659981E-5,1.4291577,2.0E-5,5.068359E-4,5.6722056E-4,6.3718087E-4,1.1233388,7.0E-5,0.0050568148,0.005658272,0.0058969143,1.0421758,2.4E-4
7.2,9.233269E-6,1.029409E-5,1.029409E-5,1.0,0.0,3.9570554E-5,4.411681E-5,5.4116368E-5,1.226661,1.0E-5,4.81665E-4,5.36994E-4,5.8696716E-4,1.0930609,5.0E-5,0.0048062233,0.0053573963,0.005536432,1.0334184,1.8E-4
7.3,8.8041315E-6,9.815294E-6,9.815294E-6,1.0,0.0,3.7731446E-5,4.206489E-5,5.2064468E-5,1.237718,1.0E-5,4.592835E-4,5.120239E-4,5.520034E-4,1.0780814,4.0E-5,0.0045833546,0.005108869,0.0052780006,1.0331055,1.7E-4
7.4,8.708749E-6,9.714266E-6,9.714266E-6,1.0,0.0,3.7322676E-5,4.1631927E-5,5.1631512E-5,1.2401903,1.0E-5,4.5430884E-4,5.06755E-4,5.467348E-4,1.0788935,4.0E-5,0.004533812,0.0050564217,0.005225562,1.0334506,1.7E-4
7.5,8.612678E-6,9.611865E-6,9.611865E-6,1.0,0.0,3.6910955E-5,4.1193078E-5,5.1192666E-5,1.2427492,1.0E-5,4.492982E-4,5.014145E-4,5.4139446E-4,1.0797343,4.0E-5,0.004483909,0.005003258,0.0051724077,1.0338079,1.7E-4
7.6,8.319024E-6,9.290772E-6,9.290772E-6,1.0,0.0,3.5652476E-5,3.9817012E-5,4.9816616E-5,1.2511389,1.0E-5,4.3398244E-4,4.846685E-4,5.14654E-4,1.061868,3.0E-5,0.0043313587,0.0048365393,0.004975862,1.0288063,1.4E-4
7.7,7.4718328E-6,8.351379E-6,8.351379E-6,1.0,0.0,3.2021748E-5,3.5791152E-5,3.5791152E-5,1.0,0.0,3.8979502E-4,4.356742E-4,4.5566552E-4,1.0458858,2.0E-5,0.00389112,0.004348607,0.0044382154,1.0206063,9.0E-5
7.8,3.4586725E-7,3.649536E-7,3.649536E-7,1.0,0.0,1.4822873E-6,1.5640859E-6,1.5640859E-6,1.0,0.0,1.80467E-5,1.9042584E-5,1.9042584E-5,1.0,0.0,1.8045233E-4,1.9040996E-4,1.9040996E-4,1.0,0.0
7.9,2.5591178E-9,2.670403E-9,2.670403E-9,1.0,0.0,1.0967647E-8,1.1444584E-8,1.1444584E-8,1.0,0.0,1.335311E-7,1.3933781E-7,1.3933781E-7,1.0,0.0,1.3353102E-6,1.393378E-6,1.393378E-6,1.0,0.0
