Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.144392E-5,1.9801442E-5,1.9801442E-5,1.0,0.0,9.189928E-5,8.486069E-5,8.486069E-5,1.0,0.0,0.0011182994,0.001032709,0.001032709,1.0,0.0,0.011126885,0.0102856755,0.010295573,1.0009623,1.0E-5
6.1,2.144392E-5,1.9801442E-5,1.9801442E-5,1.0,0.0,9.189928E-5,8.486069E-5,8.486069E-5,1.0,0.0,0.0011182994,0.001032709,0.001032709,1.0,0.0,0.011126885,0.0102856755,0.010295573,1.0009623,1.0E-5
6.2,2.144392E-5,1.9801442E-5,1.9801442E-5,1.0,0.0,9.189928E-5,8.486069E-5,8.486069E-5,1.0,0.0,0.0011182994,0.001032709,0.001032709,1.0,0.0,0.011126885,0.0102856755,0.010295573,1.0009623,1.0E-5
6.3,1.9751555E-5,1.7780232E-5,1.7780232E-5,1.0,0.0,8.4646774E-5,7.619886E-5,7.619886E-5,1.0,0.0,0.0010300872,9.2734117E-4,9.2734117E-4,1.0,0.0,0.010253254,0.00924078,0.009250687,1.0010722,1.0E-5
6.4,1.9751555E-5,1.7780232E-5,1.7780232E-5,1.0,0.0,8.4646774E-5,7.619886E-5,7.619886E-5,1.0,0.0,0.0010300872,9.2734117E-4,9.2734117E-4,1.0,0.0,0.010253254,0.00924078,0.009250687,1.0010722,1.0E-5
6.5,1.9751555E-5,1.7780232E-5,1.7780232E-5,1.0,0.0,8.4646774E-5,7.619886E-5,7.619886E-5,1.0,0.0,0.0010300872,9.2734117E-4,9.2734117E-4,1.0,0.0,0.010253254,0.00924078,0.009250687,1.0010722,1.0E-5
6.6,1.9188685E-5,1.7040773E-5,1.7040773E-5,1.0,0.0,8.2234634E-5,7.3029936E-5,7.3029936E-5,1.0,0.0,0.0010007467,8.88793E-4,8.88793E-4,1.0,0.0,0.00996252,0.008858645,0.0088685565,1.0011189,1.0E-5
6.7,1.7608272E-5,1.4765431E-5,1.4765431E-5,1.0,0.0,7.546184E-5,6.327894E-5,6.327894E-5,1.0,0.0,9.183606E-4,7.7015854E-4,7.7015854E-4,1.0,0.0,0.009145746,0.0076815356,0.0076815356,1.0,0.0
6.8,1.697165E-5,1.3814008E-5,1.3814008E-5,1.0,0.0,7.273361E-5,5.9201597E-5,5.9201597E-5,1.0,0.0,8.8517193E-4,7.205498E-4,7.205498E-4,1.0,0.0,0.008816543,0.007188179,0.007188179,1.0,0.0
6.9,1.600365E-5,1.2875764E-5,1.2875764E-5,1.0,0.0,6.858527E-5,5.518072E-5,5.518072E-5,1.0,0.0,8.347058E-4,6.7162595E-4,6.7162595E-4,1.0,0.0,0.008315775,0.006701624,0.006701624,1.0,0.0
7.0,1.3314581E-5,1.047288E-5,1.047288E-5,1.0,0.0,5.7061243E-5,4.4883014E-5,4.4883014E-5,1.0,0.0,6.944992E-4,5.463164E-4,5.463164E-4,1.0,0.0,0.006923327,0.0054535507,0.0054535507,1.0,0.0
7.1,1.2865345E-5,9.961584E-6,9.961584E-6,1.0,0.0,5.5136024E-5,4.2691816E-5,4.2691816E-5,1.0,0.0,6.710743E-4,5.1965145E-4,5.1965145E-4,1.0,0.0,0.0066905143,0.0051878393,0.0051878393,1.0,0.0
7.2,1.1650051E-5,8.6549435E-6,8.6549435E-6,1.0,0.0,4.9927836E-5,3.7092097E-5,3.7092097E-5,1.0,0.0,6.0770183E-4,4.515045E-4,4.515045E-4,1.0,0.0,0.0060604266,0.0045072963,0.0045072963,1.0,0.0
7.3,1.0008533E-5,7.2187468E-6,7.2187468E-6,1.0,0.0,4.2893007E-5,3.0937128E-5,3.0937128E-5,1.0,0.0,5.220972E-4,3.7659588E-4,3.7659588E-4,1.0,0.0,0.005208723,0.0037599544,0.0037599544,1.0,0.0
7.4,9.116759E-6,6.4250403E-6,6.4250403E-6,1.0,0.0,3.907124E-5,2.7535605E-5,2.7535605E-5,1.0,0.0,4.7558855E-4,3.351958E-4,3.351958E-4,1.0,0.0,0.00474572,0.0033470544,0.0033470544,1.0,0.0
7.5,7.870524E-6,5.3952663E-6,5.3952663E-6,1.0,0.0,3.3730383E-5,2.3122373E-5,2.3122373E-5,1.0,0.0,4.1059E-4,2.814798E-4,2.814798E-4,1.0,0.0,0.0040983222,0.0028113597,0.0028113597,1.0,0.0
7.6,6.9774537E-6,4.688735E-6,4.688735E-6,1.0,0.0,2.990303E-5,2.009443E-5,2.009443E-5,1.0,0.0,3.640086E-4,2.446234E-4,2.446234E-4,1.0,0.0,0.003634129,0.002443658,0.002443658,1.0,0.0
7.7,4.1616954E-6,2.3346995E-6,2.3346995E-6,1.0,0.0,1.7835715E-5,1.00058205E-5,1.00058205E-5,1.0,0.0,2.171282E-4,1.218148E-4,1.218148E-4,1.0,0.0,0.0021691616,0.0012175537,0.0012175537,1.0,0.0
7.8,2.2692414E-7,9.406994E-8,9.406994E-8,1.0,0.0,9.725317E-7,4.0315683E-7,4.0315683E-7,1.0,0.0,1.1840509E-5,4.9084265E-6,4.9084265E-6,1.0,0.0,1.1839878E-4,4.9083512E-5,4.9083512E-5,1.0,0.0
7.9,6.676829E-9,3.4456322E-9,3.4456322E-9,1.0,0.0,2.861498E-8,1.4766996E-8,1.4766996E-8,1.0,0.0,3.4838732E-7,1.7978816E-7,1.7978816E-7,1.0,0.0,3.4838679E-6,1.7978803E-6,1.7978803E-6,1.0,0.0
