Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.5181727E-5,2.5448939E-5,1.054469E-4,4.14347,8.0E-5,1.0791722E-4,1.0906234E-4,3.5903507E-4,3.292017,2.5E-4,0.0013131002,0.0013270286,0.0023356883,1.7600889,0.00101,0.013053683,0.0132706575,0.015806552,1.1910903,0.00257
6.1,2.5077732E-5,2.5349935E-5,1.05347906E-4,4.1557465,8.0E-5,1.0747157E-4,1.0863807E-4,3.586109E-4,3.300969,2.5E-4,0.001307681,0.0013218696,0.0023305344,1.7630594,0.00101,0.013000126,0.013219682,0.015755707,1.1918371,0.00257
6.2,2.494612E-5,2.5231444E-5,1.05229425E-4,4.170567,8.0E-5,1.0690756E-4,1.081303E-4,3.5810328E-4,3.3117754,2.5E-4,0.0013008224,0.0013156948,0.002324366,1.7666452,0.00101,0.012932341,0.013158667,0.01569485,1.1927385,0.00257
6.3,2.4733758E-5,2.5050496E-5,1.0504849E-4,4.1934695,8.0E-5,1.0599751E-4,1.0735487E-4,3.5732804E-4,3.3284752,2.5E-4,0.0012897556,0.0013062654,0.002314946,1.7721866,0.00101,0.012822957,0.013065485,0.015601907,1.1941315,0.00257
6.4,2.3237335E-5,2.3427247E-5,1.0342537E-4,4.414747,8.0E-5,9.958477E-5,1.0039864E-4,3.5037354E-4,3.4898236,2.5E-4,0.0012117702,0.0012216709,0.0022204493,1.8175511,0.001,0.012051838,0.012229123,0.014738061,1.2051609,0.00254
6.5,2.2732203E-5,2.324089E-5,1.0323903E-4,4.442129,8.0E-5,9.742009E-5,9.960002E-5,3.4957513E-4,3.5097895,2.5E-4,0.0011854442,0.0012119586,0.0022107465,1.8241107,0.001,0.011791403,0.012133065,0.014642247,1.2068052,0.00254
6.6,2.1319436E-5,2.2018492E-5,1.0201673E-4,4.6332297,8.0E-5,9.136581E-5,9.436157E-5,3.4433798E-4,3.6491337,2.5E-4,0.001111811,0.0011482489,0.0021471006,1.8698913,0.001,0.011062649,0.011502709,0.0140134925,1.2182776,0.00254
6.7,1.970802E-5,2.0632551E-5,1.006309E-4,4.8772883,8.0E-5,8.446021E-5,8.842224E-5,3.3840013E-4,3.8270931,2.5E-4,0.001027818,0.0010760108,0.0020749348,1.9283587,0.001,0.010230771,0.010787524,0.013290232,1.2320002,0.00253
6.8,1.8744462E-5,2.0137257E-5,1.0013564E-4,4.972656,8.0E-5,8.033094E-5,8.629968E-5,3.362781E-4,3.896632,2.5E-4,9.775903E-4,0.0010501939,0.0020491437,1.9512051,0.001,0.009733009,0.010531827,0.013035181,1.2376943,0.00253
6.9,1.7559682E-5,1.918773E-5,9.9186196E-5,5.169251,8.0E-5,7.5253614E-5,8.2230545E-5,3.3220998E-4,4.039983,2.5E-4,9.158276E-4,0.0010006985,0.0019996979,1.998302,0.001,0.0091206245,0.010041477,0.012546073,1.2494249,0.00253
7.0,1.6794445E-5,1.8447652E-5,9.844617E-5,5.3365154,8.0E-5,7.197421E-5,7.905898E-5,3.290392E-4,4.1619463,2.5E-4,8.759337E-4,9.6211943E-4,0.0019611572,2.038372,0.001,0.008724891,0.009658911,0.012154571,1.258379,0.00252
7.1,1.6337795E-5,1.7947235E-5,9.79458E-5,5.457431,8.0E-5,7.0017246E-5,7.691446E-5,3.2689524E-4,4.250114,2.5E-4,8.521265E-4,9.360327E-4,0.0019350966,2.0673387,0.001,0.008488664,0.009400203,0.011896514,1.2655593,0.00252
7.2,1.5780008E-5,1.7395014E-5,9.7393626E-5,5.598939,8.0E-5,6.762685E-5,7.4547934E-5,3.1453004E-4,4.219165,2.4E-4,8.2304585E-4,9.072445E-4,0.0018963463,2.0902262,9.9E-4,0.008200042,0.009114642,0.011591855,1.271784,0.0025
7.3,1.5058865E-5,1.6846432E-5,9.6845084E-5,5.7487,8.0E-5,6.45364E-5,7.219701E-5,3.021804E-4,4.1854978,2.3E-4,7.854473E-4,8.786453E-4,0.0018577842,2.1143734,9.8E-4,0.00782677,0.008830524,0.011288624,1.2783641,0.00248
7.4,1.4887923E-5,1.6681694E-5,9.668036E-5,5.795596,8.0E-5,6.380382E-5,7.149102E-5,3.014746E-4,4.216957,2.3E-4,7.7653467E-4,8.7005686E-4,0.0018192303,2.0909326,9.5E-4,0.0077382675,0.0087450985,0.011114197,1.270906,0.00239
7.5,1.4509299E-5,1.6272028E-5,8.627089E-5,5.301791,7.0E-5,6.218123E-5,6.9735404E-5,2.4972286E-4,3.5810053,1.8E-4,7.567935E-4,8.48699E-4,0.0016979777,2.0006828,8.5E-4,0.0075422134,0.008532574,0.0106444,1.2475016,0.00213
7.6,1.2756717E-5,1.4262631E-5,8.4261635E-5,5.9078603,7.0E-5,5.4670498E-5,6.1124134E-5,1.9111618E-4,3.1266894,1.3E-4,6.6541E-4,7.439329E-4,0.0013634717,1.8327885,6.2E-4,0.006634211,0.0074909073,0.008910195,1.1894681,0.00143
7.7,1.0328985E-5,1.16585425E-5,5.1658077E-5,4.4309206,4.0E-5,4.4266326E-5,4.996423E-5,1.1996073E-4,2.4009323,7.0E-5,5.388092E-4,6.081451E-4,9.5793227E-4,1.5751705,3.5E-4,0.0053750467,0.0061408286,0.0068961615,1.1230018,7.6E-4
7.8,7.0306583E-6,9.058178E-6,2.9057997E-5,3.2079294,2.0E-5,3.0131043E-5,3.8820188E-5,7.881864E-5,2.0303516,4.0E-5,3.667837E-4,4.7253346E-4,7.1242003E-4,1.5076605,2.4E-4,0.003661789,0.0047772904,0.0053147106,1.1124948,5.4E-4
7.9,4.060633E-6,5.557106E-6,5.557106E-6,1.0,0.0,1.7402595E-5,2.381595E-5,3.381571E-5,1.4198767,1.0E-5,2.11856E-4,2.8992072E-4,4.0988592E-4,1.4137863,1.2E-4,0.0021165414,0.002931598,0.003190836,1.0884289,2.6E-4
8.0,1.6729537E-6,2.1083472E-6,2.1083472E-6,1.0,0.0,7.169782E-6,9.0357435E-6,9.0357435E-6,1.0,0.0,8.7288594E-5,1.1000465E-4,1.4000136E-4,1.2726858,3.0E-5,8.7254314E-4,0.0011128251,0.0011627695,1.0448806,5.0E-5
8.1,3.6733252E-7,3.1931708E-7,3.1931708E-7,1.0,0.0,1.5742813E-6,1.3685012E-6,1.3685012E-6,1.0,0.0,1.9166706E-5,1.6661392E-5,1.6661392E-5,1.0,0.0,1.9165053E-4,1.6867582E-4,1.6867582E-4,1.0,0.0
