Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0679566E-5,3.1490625E-5,3.1490625E-5,1.0,0.0,1.3147724E-4,1.3495407E-4,1.3495407E-4,1.0,0.0,0.0015995599,0.0016420449,0.0016420449,1.0,0.0,0.015880952,0.01632073,0.018194405,1.1148033,0.0019047619
6.1,3.0679566E-5,3.1490625E-5,3.1490625E-5,1.0,0.0,1.3147724E-4,1.3495407E-4,1.3495407E-4,1.0,0.0,0.0015995599,0.0016420449,0.0016420449,1.0,0.0,0.015880952,0.01632073,0.018194405,1.1148033,0.0019047619
6.2,1.514536E-5,1.3644339E-5,1.3644339E-5,1.0,0.0,6.490707E-5,5.8474492E-5,5.8474492E-5,1.0,0.0,7.8995706E-4,7.117063E-4,7.117063E-4,1.0,0.0,0.007871548,0.0070954734,0.0070954734,1.0,0.0
6.3,1.514536E-5,1.3644339E-5,1.3644339E-5,1.0,0.0,6.490707E-5,5.8474492E-5,5.8474492E-5,1.0,0.0,7.8995706E-4,7.117063E-4,7.117063E-4,1.0,0.0,0.007871548,0.0070954734,0.0070954734,1.0,0.0
6.4,1.2532521E-5,1.0696432E-5,1.0696432E-5,1.0,0.0,5.37097E-5,4.5841076E-5,4.5841076E-5,1.0,0.0,6.537194E-4,5.57978E-4,5.57978E-4,1.0,0.0,0.0065179965,0.0055663614,0.0055663614,1.0,0.0
6.5,1.1094058E-5,9.089214E-6,9.089214E-6,1.0,0.0,4.7545094E-5,3.8953214E-5,3.8953214E-5,1.0,0.0,5.787078E-4,4.7415623E-4,4.7415623E-4,1.0,0.0,0.0057720304,0.0047318535,0.0047318535,1.0,0.0
6.6,9.688328E-6,7.5362186E-6,7.5362186E-6,1.0,0.0,4.1520743E-5,3.2297696E-5,3.2297696E-5,1.0,0.0,5.053978E-4,3.9315605E-4,3.9315605E-4,1.0,0.0,0.0050424994,0.003924862,0.003924862,1.0,0.0
6.7,8.974824E-6,6.7534575E-6,6.7534575E-6,1.0,0.0,3.8462964E-5,2.894308E-5,2.894308E-5,1.0,0.0,4.6818596E-4,3.5232725E-4,3.5232725E-4,1.0,0.0,0.004672008,0.0035179078,0.0035179078,1.0,0.0
6.8,7.4780046E-6,5.1192933E-6,5.1192933E-6,1.0,0.0,3.20482E-5,2.1939652E-5,2.1939652E-5,1.0,0.0,3.9011694E-4,2.670839E-4,2.670839E-4,1.0,0.0,0.0038943281,0.0026677675,0.0026677675,1.0,0.0
6.9,6.3409307E-6,3.909973E-6,3.909973E-6,1.0,0.0,2.7175134E-5,1.6756925E-5,1.6756925E-5,1.0,0.0,3.3080703E-4,2.0399745E-4,2.0399745E-4,1.0,0.0,0.0033031502,0.0020382002,0.0020382002,1.0,0.0
7.0,5.1239335E-6,2.6076711E-6,2.6076711E-6,1.0,0.0,2.195953E-5,1.1175687E-5,1.1175687E-5,1.0,0.0,2.6732447E-4,1.3605575E-4,1.3605575E-4,1.0,0.0,0.0026700313,0.0013597498,0.0013597498,1.0,0.0
7.1,4.438899E-6,2.1000378E-6,2.1000378E-6,1.0,0.0,1.9023713E-5,9.000132E-6,9.000132E-6,1.0,0.0,2.315891E-4,1.0957132E-4,1.0957132E-4,1.0,0.0,0.002313479,0.001095195,0.001095195,1.0,0.0
7.2,3.50367E-6,1.2627978E-6,1.2627978E-6,1.0,0.0,1.5015643E-5,5.41198E-6,5.41198E-6,1.0,0.0,1.8280011E-4,6.588895E-5,6.588895E-5,1.0,0.0,0.0018264982,6.5870234E-4,6.5870234E-4,1.0,0.0
7.3,2.561638E-6,7.1292993E-7,7.1292993E-7,1.0,0.0,1.0978401E-5,3.0554106E-6,3.0554106E-6,1.0,0.0,1.3365384E-4,3.719901E-5,3.719901E-5,1.0,0.0,0.0013357349,3.719298E-4,3.719298E-4,1.0,0.0
7.4,2.0368864E-6,5.313506E-7,5.313506E-7,1.0,0.0,8.729483E-6,2.2772151E-6,2.2772151E-6,1.0,0.0,1.06276275E-4,2.7724747E-5,2.7724747E-5,1.0,0.0,0.0010622547,2.7721343E-4,2.7721343E-4,1.0,0.0
7.5,1.1681728E-6,3.6088096E-7,3.6088096E-7,1.0,0.0,5.0064455E-6,1.5466319E-6,1.5466319E-6,1.0,0.0,6.0951766E-5,1.8830086E-5,1.8830086E-5,1.0,0.0,6.093505E-4,1.8828535E-4,1.8828535E-4,1.0,0.0
7.6,1.3154387E-7,7.141681E-8,7.141681E-8,1.0,0.0,5.6375933E-7,3.06072E-7,3.06072E-7,1.0,0.0,6.863748E-6,3.726422E-6,3.726422E-6,1.0,0.0,6.863536E-5,3.726375E-5,3.726375E-5,1.0,0.0
