Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.8091932E-4,3.5895355E-4,3.5895355E-4,1.0,0.0,7.751381E-4,0.0015374754,0.0015374754,1.0,0.0,0.00939654,0.018560536,0.018560536,1.0,0.0,0.090090066,0.16745043,0.16745876,1.0000497,1.0E-5
6.1,1.8091932E-4,3.5895355E-4,3.5895355E-4,1.0,0.0,7.751381E-4,0.0015374754,0.0015374754,1.0,0.0,0.00939654,0.018560536,0.018560536,1.0,0.0,0.090090066,0.16745043,0.16745876,1.0000497,1.0E-5
6.2,1.8091932E-4,3.5895355E-4,3.5895355E-4,1.0,0.0,7.751381E-4,0.0015374754,0.0015374754,1.0,0.0,0.00939654,0.018560536,0.018560536,1.0,0.0,0.090090066,0.16745043,0.16745876,1.0000497,1.0E-5
6.3,1.7322872E-4,3.4447733E-4,3.4447733E-4,1.0,0.0,7.4219756E-4,0.0014755058,0.0014755058,1.0,0.0,0.0089988755,0.01781861,0.01781861,1.0,0.0,0.08643075,0.16138272,0.16139111,1.000052,1.0E-5
6.4,1.6334097E-4,3.252423E-4,3.252423E-4,1.0,0.0,6.998449E-4,0.0013931596,0.0013931596,1.0,0.0,0.008487372,0.016831836,0.016831836,1.0,0.0,0.081704415,0.15327708,0.15328556,1.0000552,1.0E-5
6.5,1.5600289E-4,3.1194303E-4,3.1194303E-4,1.0,0.0,6.684125E-4,0.0013362222,0.0013362222,1.0,0.0,0.008107598,0.016149063,0.016149063,1.0,0.0,0.078181036,0.14754114,0.14754966,1.0000578,1.0E-5
6.6,1.4046066E-4,2.8199627E-4,2.8199627E-4,1.0,0.0,6.018354E-4,0.0012080024,0.0012080024,1.0,0.0,0.0073027555,0.014609767,0.014609767,1.0,0.0,0.07067384,0.1345753,0.13458396,1.0000643,1.0E-5
6.7,1.14696966E-4,2.3422056E-4,2.3422056E-4,1.0,0.0,4.914658E-4,0.0010034214,0.0010034214,1.0,0.0,0.0059671924,0.0121493,0.0121493,1.0,0.0,0.058094822,0.11336377,0.11337264,1.0000782,1.0E-5
6.8,9.3874296E-5,1.8987284E-4,1.8987284E-4,1.0,0.0,4.0225635E-4,8.1349065E-4,8.1349065E-4,1.0,0.0,0.0048864787,0.0098600155,0.0098600155,1.0,0.0,0.047804173,0.09312322,0.09313229,1.0000974,1.0E-5
6.9,5.551852E-5,1.0810228E-4,1.0810228E-4,1.0,0.0,2.3791482E-4,4.6321383E-4,4.6321383E-4,1.0,0.0,0.0028927654,0.0056251655,0.0056251655,1.0,0.0,0.028553981,0.05460773,0.05461718,1.0001731,1.0E-5
