Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7496446E-4,5.122553E-4,5.122553E-4,1.0,0.0,0.0011778869,0.0021935727,0.0021935727,1.0,0.0,0.0142467655,0.026389794,0.02639953,1.000369,1.0E-5,0.13367249,0.23030382,0.23032692,1.0001003,3.0E-5
6.1,2.5356023E-4,4.9252063E-4,4.9252063E-4,1.0,0.0,0.001086234,0.002109134,0.002109134,1.0,0.0,0.013144928,0.02537299,0.025382735,1.0003841,1.0E-5,0.123940155,0.2215077,0.22153105,1.0001054,3.0E-5
6.2,2.4820742E-4,4.833661E-4,4.833661E-4,1.0,0.0,0.0010633124,0.002069963,0.002069963,1.0,0.0,0.01286919,0.024907883,0.024917634,1.0003915,1.0E-5,0.12148927,0.21799277,0.21801624,1.0001076,3.0E-5
6.3,2.3205351E-4,4.641945E-4,4.641945E-4,1.0,0.0,9.94136E-4,0.0019879257,0.0019879257,1.0,0.0,0.012036599,0.023926146,0.023935908,1.0004079,1.0E-5,0.11405133,0.20976965,0.20979336,1.000113,3.0E-5
6.4,2.0304754E-4,4.0387732E-4,4.0387732E-4,1.0,0.0,8.6991355E-4,0.0017297696,0.0017297696,1.0,0.0,0.010539869,0.020850426,0.020850426,1.0,0.0,0.100537635,0.18690282,0.18691908,1.000087,2.0E-5
6.5,1.854992E-4,3.7466668E-4,3.7466668E-4,1.0,0.0,7.9475436E-4,0.0016047389,0.0016047389,1.0,0.0,0.009633281,0.019359555,0.019359555,1.0,0.0,0.0922623,0.175055,0.1750715,1.0000943,2.0E-5
6.6,1.6586106E-4,3.4469576E-4,3.4469576E-4,1.0,0.0,7.106394E-4,0.0014764416,0.0014764416,1.0,0.0,0.008617763,0.017830309,0.017830309,1.0,0.0,0.08291132,0.16241525,0.162432,1.0001031,2.0E-5
6.7,1.4224656E-4,3.1148188E-4,3.1148188E-4,1.0,0.0,6.094856E-4,0.0013342479,0.0013342479,1.0,0.0,0.0073952693,0.016123753,0.016123753,1.0,0.0,0.07153955,0.14795944,0.14797649,1.0001152,2.0E-5
6.8,1.2317259E-4,2.8107816E-4,2.8107816E-4,1.0,0.0,5.2777573E-4,0.0012040709,0.0012040709,1.0,0.0,0.0064067547,0.014562453,0.014562453,1.0,0.0,0.06225166,0.13420543,0.13422275,1.000129,2.0E-5
6.9,9.859898E-5,2.524765E-4,2.524765E-4,1.0,0.0,4.2249862E-4,0.0010815978,0.0010815978,1.0,0.0,0.0051317946,0.013089926,0.013089926,1.0,0.0,0.05014893,0.12035677,0.12037436,1.0001462,2.0E-5
7.0,7.3191884E-5,2.1436923E-4,2.1436923E-4,1.0,0.0,3.136418E-4,9.18405E-4,9.18405E-4,1.0,0.0,0.003811904,0.011124951,0.011124951,1.0,0.0,0.037471764,0.10276148,0.102779426,1.0001746,2.0E-5
7.1,7.1760296E-5,2.1135781E-4,2.1135781E-4,1.0,0.0,3.0750787E-4,9.0550794E-4,9.0550794E-4,1.0,0.0,0.003737482,0.01096952,0.01096952,1.0,0.0,0.03675245,0.101388946,0.10140692,1.0001773,2.0E-5
